"","Sum Sq","Mean Sq","NumDF","DenDF","F value","Pr(>F)"
"scale(Rum_meat_kcal_pop)",9.27512826282776,9.27512826282776,1,327.591717013336,420.717020299557,1.01518827579664e-60
"scale(Dairy_kcal_pop)",0.575492407699362,0.575492407699362,1,343.556291392073,26.1041620246529,5.3770584932857e-07
"scale(FCR_grass_rum_meat)",1.79253114855298,1.79253114855298,1,222.467175677348,81.3086722084243,9.12835704187815e-17
"scale(FCR_grass_mon)",0.983252685475479,0.983252685475479,1,332.904615817465,44.6000452298503,1.01470721651799e-10
