"","Sum Sq","Mean Sq","NumDF","DenDF","F value","Pr(>F)"
"scale(Population)",4.10752418579476,4.10752418579476,1,667.999875213618,552.110669404271,1.90018774003248e-89
"scale(Rum_meat_kcal)",0.160432648825656,0.160432648825656,1,656.964406673471,21.5644687969852,4.13331167282034e-06
"scale(Non_rum_kcal)",0.593615551616143,0.593615551616143,1,667.129416535815,79.790517291418,4.0184740876955e-18
"scale(Dairy_kcal)",0.130242017380468,0.130242017380468,1,663.918542830301,17.5064111975714,3.24846576888549e-05
"scale(Vegetal_kcal)",5.13068275639592,5.13068275639592,1,666.402927566689,689.637982152649,6.7841726722946e-105
"scale(WUEinc)",12.5237782456406,12.5237782456406,1,666.885731911691,1683.376963326,1.40296525344702e-184
