"","Sum Sq","Mean Sq","NumDF","DenDF","F value","Pr(>F)"
"scale(Rum_feed_water)",1.31561242395201,1.31561242395201,1,1112.09455523181,124.301269365828,1.93741825114179e-27
"scale(Mon_feed_water)",3.45674530932874,3.45674530932874,1,1108.03261179329,326.599097121029,3.5131343478964e-64
"scale(Plant_food_water)",7.29405118895932,7.29405118895932,1,1110.62669524588,689.154195491274,1.46080097308168e-118
"scale(Yield)",21.1067638119883,21.1067638119883,1,1106.69550616615,1994.20246135542,7.496440150148e-250
"scale(Delta_initial)",0.0145111995127651,0.0145111995127651,1,132.700441004115,1.37104247924257,0.243731183070235
