Model;Scenario;Region;Variable;Unit;1970;1975;1980;1985;1990;1995;2000;2005;2010;2015;2020;2025;2030;2035;2040;2045;2050;2055;2060;2065;2070
IMAGE-GNMoct2020;SSP4_oct2020;3;weathering;Not specified;89862539.5183;98222174.7596;100594044.001;88458701.6473;93249394.7116;97586632.3735;95896831.4104;92642691.6404;108299130.574;97105893.9726;101069706.684;94458509.9591;93771624.2104;118238626.186;102567365.852;104780995.165;99532285.2626;99882773.9785;120698464.61;103890029.801;107840681.011
IMAGE-GNMoct2020;SSP4_oct2020;1;pointsources;Not specified;118042984.537;150519563.481;178144696.026;201337381.463;223278506.787;261095814.775;292314140.873;324452358.423;372535534.776;434649092.005;528377429.865;606252903.869;693520931.866;792744232.585;867478202.315;925610189.721;937055494.532;1001979242.61;1100870195.86;1112035370.18;1137451258.22
IMAGE-GNMoct2020;SSP4_oct2020;2;pointsources;Not specified;84219197.5677;93472542.2187;116838101.953;142968563.893;168092132.515;200529465.438;233186833.676;332638740.448;431191622.303;519604944.629;608447175.799;626806114.536;693022378.808;724214793.327;711504206.824;637964964.928;593953067.947;574779111.962;562623405.897;522107717.074;469843995.078
IMAGE-GNMoct2020;SSP4_oct2020;3;pointsources;Not specified;364587706.749;357449333.522;348427906.991;314000006.235;277377244.471;250667178.53;216337961.707;186243389.461;161318455.379;144665444.552;144524843.907;120767730.942;108460711.998;105497668.767;87851167.8127;78290424.7099;63053808.5687;60352674.6108;58609471.894;49229213.7808;50412914.0113
IMAGE-GNMoct2020;SSP4_oct2020;1;aquaculture;Not specified;3095743.89257;3899475.76959;4821413.13158;7263036.40246;9881353.12619;13328889.7342;14437711.9861;23058951.4546;26811155.0999;43764079.8828;47483124.0587;49292302.8434;47975175.1393;49717274.1812;51873604.5779;54921510.4009;57262922.7696;58432405.0922;61836067.4589;64978301.1248;67387457.3134
IMAGE-GNMoct2020;SSP4_oct2020;2;aquaculture;Not specified;1284142.49649;2030442.85786;2991717.02727;5680746.04097;12666336.0238;25246301.1702;39543592.5404;52809984.761;75778020.0697;100155319.173;104530166.562;100835342.328;103797975.536;111975647.773;110034473.367;104297111.519;104044651.317;110291951.46;118907811.857;124523744.061;123597111.587
IMAGE-GNMoct2020;SSP4_oct2020;3;aquaculture;Not specified;2126299.21388;3249695.12449;4621911.99959;5124826.96192;5384539.50226;4793407.25942;2928508.44266;2412095.84046;2313997.05224;1962406.83272;2092208.21789;1995665.55056;1994232.40793;2144247.35067;2048354.99646;2093773.46023;2002567.78024;1997047.68574;2083588.94553;1861555.97884;1915133.24267
IMAGE-GNMoct2020;SSP4_oct2020;1;veg_flooding;Not specified;155927231.194;157058739.673;141287485.979;144757324.112;140739319.295;134838740.107;136701777.951;123310820.674;148081708.532;145551209.258;136171133.698;133412658.466;125684352.383;155552786.806;144915551.525;131573883.783;128546544.352;115619047.389;141982656.8;132467446.09;127670913.159
IMAGE-GNMoct2020;SSP4_oct2020;2;veg_flooding;Not specified;134184918.585;158781534.78;119462056.52;107456195.389;122989167.895;114292415.801;148280743.889;134789617.591;125414242.235;113469619.74;100016426.946;126488186.265;115228148.691;108002618.148;99168317.7582;90029128.9409;122272506.468;106180959.191;99737069.2836;85526545.1827;75596258.245
IMAGE-GNMoct2020;SSP4_oct2020;3;veg_flooding;Not specified;32785590.4183;37324862.8526;34865904.7777;33574305.2019;34581275.3256;35320039.8418;31742371.0113;31777228.8565;35453185.6205;32413068.7525;32535487.9177;28255690.3662;28438143.5166;34375335.9328;34387963.792;33940774.5903;28815579.8963;28867152.3696;32673315.7136;30882489.68;30931597.7851
IMAGE-GNMoct2020;SSP5_oct2020;1;pload;Not specified;1510570069.04;1701295166.92;1735904810.15;1719643889.92;1783178328.74;1834378598.72;1823575876.15;1846141721.48;2073342012.44;2211153511.11;2373337296.25;2407808023.18;2473676542.87;2792943989.49;2914069608.95;2971081172.26;2783042987.67;2652292747.08;2974524497.54;2939865704.64;2713133679.45
IMAGE-GNMoct2020;SSP5_oct2020;2;pload;Not specified;830099629.781;894791466.944;861655057.822;951608734.314;1066209387.49;1105619416.68;1220769160.45;1346528622.76;1508188195.23;1683710689.91;1736197867.21;1778474986.09;1819916590.74;1744847262.53;1587735095.72;1513428475.36;1450370187.2;1363256527.02;1428232214.58;1378112175.26;1354989509.13
IMAGE-GNMoct2020;SSP5_oct2020;3;pload;Not specified;1055680286.39;1067531723.0;1092137110.85;1016332755.84;914637394.905;909370317.101;820528740.512;791944516.67;824446154.159;709298695.168;717698594.181;653360323.964;676320202.097;755517125.533;600521541.858;624463011.662;538853789.508;554802174.19;633033476.518;546561038.68;609141622.947
IMAGE-GNMoct2020;SSP5_oct2020;1;sro_nat;Not specified;103912165.794;104207428.373;98399668.4183;93583542.7576;93126189.4052;92720171.4772;90412092.1817;87748862.4354;90490245.1721;90782422.6477;91626733.6597;86795204.7035;82272700.1186;82234019.3328;83105167.1091;83591558.2617;77579705.9568;73700087.3973;75497605.4228;76085491.477;73838958.4984
IMAGE-GNMoct2020;SSP5_oct2020;2;sro_nat;Not specified;106236256.1;107146044.463;99928807.0273;100000315.762;99102137.6412;95082831.2593;101973851.912;97825093.0014;100539997.364;98698744.0531;96394903.8549;102728825.849;98509829.6458;100549388.623;96344397.5012;93783593.6864;98216954.5209;92103531.0531;97406855.8833;93024309.5489;89919678.1956
IMAGE-GNMoct2020;SSP5_oct2020;3;sro_nat;Not specified;62331639.8038;68679620.7416;68640938.7458;68149035.1026;66858303.7029;69062765.0444;67531859.7432;72796314.5082;72258958.7683;68782118.0626;69155278.212;66722462.9392;69688822.7498;70495087.6028;65538050.0545;66056663.9559;62169421.6962;64266969.2663;64903031.285;61718889.8751;62629433.8551
IMAGE-GNMoct2020;SSP5_oct2020;1;sro_agri;Not specified;703051823.083;848120283.191;929736676.557;886933030.618;931260538.702;960634886.359;912565826.54;947278377.562;1011284203.68;1042244681.57;1121592354.36;1082084266.99;1116892130.31;1200218058.67;1247011122.01;1312810966.85;1206543524.32;1233877505.65;1385450966.35;1410431181.03;1416505243.58
IMAGE-GNMoct2020;SSP5_oct2020;2;sro_agri;Not specified;367157464.502;375728931.676;402014888.843;475836876.232;534065784.76;551871583.812;553927209.319;598001205.087;642376636.065;701099640.855;693005795.631;692370955.029;738335768.876;729777946.042;704173658.649;701067921.396;692315104.772;688544670.415;714446569.782;715740156.884;712300545.295
IMAGE-GNMoct2020;SSP5_oct2020;3;sro_agri;Not specified;503986510.69;502606035.998;534986404.33;507025880.694;437186637.191;451940294.052;406091208.197;406072796.363;444802426.764;364369762.996;371977834.754;345358553.449;379534970.857;443804996.082;337770461.519;366792047.957;312643066.796;324078798.584;377106626.995;306955888.942;360201719.586
IMAGE-GNMoct2020;SSP5_oct2020;1;weathering;Not specified;426540120.542;437489676.433;383514870.039;385769574.57;384892421.428;371760096.267;377144326.62;340292350.927;424139165.181;454162025.749;455776789.088;455365670.744;425664294.844;538952371.039;531766676.516;498134162.73;466984082.617;429069684.142;568201053.757;607072443.013;525101988.464
IMAGE-GNMoct2020;SSP5_oct2020;2;weathering;Not specified;137017650.53;157631970.948;120419486.451;119666036.997;129293828.656;118596819.2;143856929.113;130463981.872;132887677.199;150682421.458;180498026.655;201670921.608;214677410.215;234932898.627;175430521.214;185299501.604;185943770.543;178554216.228;244351460.982;244913288.008;291627845.005
IMAGE-GNMoct2020;SSP5_oct2020;3;weathering;Not specified;89862539.5183;98222174.7596;100594044.001;88458701.6473;93249394.7116;97586632.3735;95896831.4104;92642691.6404;108299130.574;97105893.9726;100765331.784;95507595.8228;95817855.5043;117073805.733;100379343.83;104976101.93;97263216.7969;99810750.9259;119248273.024;112314321.27;116595822.765
IMAGE-GNMoct2020;SSP5_oct2020;1;pointsources;Not specified;118042984.537;150519563.481;178144696.026;201337381.463;223278506.787;261095814.775;292314140.873;324452358.423;372535534.776;434649092.005;516472098.257;595160181.198;674740423.868;768414125.61;853841078.813;882271833.918;840196980.582;741204069.209;741888526.167;646255312.136;512761473.773
IMAGE-GNMoct2020;SSP5_oct2020;2;pointsources;Not specified;84219197.5677;93472542.2187;116838101.953;142968563.893;168092132.515;200529465.438;233186833.676;332638740.448;431191622.303;519604944.629;567223281.434;546434973.859;548380320.184;474045384.134;407668241.867;335378844.619;241516443.354;196800475.198;165591596.35;124547276.917;78668832.147
IMAGE-GNMoct2020;SSP5_oct2020;3;pointsources;Not specified;364587706.749;357449333.522;348427906.991;314000006.235;277377244.471;250667178.53;216337961.707;186243389.461;161318455.379;144665444.552;140422965.129;116439222.119;101120285.455;89530035.3492;63293182.0204;53423398.6166;38620687.8746;38530682.9155;40392044.0512;35379766.489;38359974.6871
IMAGE-GNMoct2020;SSP5_oct2020;1;aquaculture;Not specified;3095743.89257;3899475.76959;4821413.13158;7263036.40246;9881353.12619;13328889.7342;14437711.9861;23058951.4546;26811155.0999;43764079.8828;47672560.8067;49375220.4238;47176412.117;48512166.5297;50510390.7039;53748552.7736;54859714.7584;53790984.2417;57181057.4891;59757589.043;60129914.565
IMAGE-GNMoct2020;SSP5_oct2020;2;aquaculture;Not specified;1284142.49649;2030442.85786;2991717.02727;5680746.04097;12666336.0238;25246301.1702;39543592.5404;52809984.761;75778020.0697;100155319.173;106131589.041;103222657.309;100637040.429;100718782.095;102768199.342;106145127.734;107561073.224;107348137.963;111963210.71;116143148.672;114862508.281
IMAGE-GNMoct2020;SSP5_oct2020;3;aquaculture;Not specified;2126299.21388;3249695.12449;4621911.99959;5124826.96192;5384539.50226;4793407.25942;2928508.44266;2412095.84046;2313997.05224;1962406.83272;2096773.42937;2038062.35099;1980920.45102;2099778.76586;1910066.31173;1958111.67423;1846907.43763;1806177.39545;1896261.98738;1706959.25189;1723664.48543
IMAGE-GNMoct2020;SSP5_oct2020;1;veg_flooding;Not specified;155927231.194;157058739.673;141287485.979;144757324.112;140739319.295;134838740.107;136701777.951;123310820.674;148081708.532;145551209.258;140196760.075;139027479.125;126930581.605;154613248.316;147835173.799;140524097.731;136878979.431;120650416.434;146305288.356;140263687.942;124796100.566
IMAGE-GNMoct2020;SSP5_oct2020;2;veg_flooding;Not specified;134184918.585;158781534.78;119462056.52;107456195.389;122989167.895;114292415.801;148280743.889;134789617.591;125414242.235;113469619.74;92944270.5944;132046652.433;119376221.391;104822863.009;101350077.144;91753486.3191;124816840.787;99905496.1676;94472520.8771;83743995.2285;67610100.2039
IMAGE-GNMoct2020;SSP5_oct2020;3;veg_flooding;Not specified;32785590.4183;37324862.8526;34865904.7777;33574305.2019;34581275.3256;35320039.8418;31742371.0113;31777228.8565;35453185.6205;32413068.7525;33280410.8721;27294427.283;28177347.0802;32513422.0003;31630438.1226;31256687.5279;26310488.9065;26308795.1034;29487239.1754;28485212.8522;29631007.5685
