Model;Scenario;Region;Variable;Unit;1970;1975;1980;1985;1990;1995;2000;2005;2010;2015;2020;2025;2030;2035;2040;2045;2050;2055;2060;2065;2070
IMAGE-GNMoct2020;SSP1_oct2020;1;veg_flooding;Not specified;155927231.194;157058739.673;141287485.979;144757324.112;140739319.295;134838740.107;136701777.951;123310820.674;148081708.532;145551209.258;141437211.935;141824657.364;131640933.242;161907088.126;155732676.124;135331252.613;130177349.498;121188611.091;148680394.453;140244741.235;127425865.588
IMAGE-GNMoct2020;SSP1_oct2020;2;veg_flooding;Not specified;134184918.585;158781534.78;119462056.52;107456195.389;122989167.895;114292415.801;148280743.889;134789617.591;125414242.235;113469619.74;97181178.5163;133591095.738;113874868.642;107036876.339;104212992.838;89456321.322;119259719.41;100095010.23;98173211.1659;94980725.0648;78709309.2855
IMAGE-GNMoct2020;SSP1_oct2020;3;veg_flooding;Not specified;32785590.4183;37324862.8526;34865904.7777;33574305.2019;34581275.3256;35320039.8418;31742371.0113;31777228.8565;35453185.6205;32413068.7525;32553776.3219;28459411.1266;28289225.7434;32660188.9339;33909311.852;32807461.0421;26554442.2024;27847679.0486;31957252.4375;32893852.5759;33642300.0465
IMAGE-GNMoct2020;SSP2_oct2020;1;pload;Not specified;1510570372.51;1701295554.82;1735905302.63;1719644630.75;1783324352.06;1834366889.52;1823573860.97;1846214890.61;2073771043.14;2210849609.15;2344033496.51;2373626898.56;2502840989.2;2874325610.25;2938814002.13;2979114758.41;2893672672.8;3004731722.31;3378388105.75;3301537316.77;3347524973.34
IMAGE-GNMoct2020;SSP2_oct2020;2;pload;Not specified;830099859.212;894791928.495;861655615.702;951609292.932;1066230158.3;1105489965.17;1220680891.93;1346459216.45;1507955635.08;1683462732.04;1705944334.26;1782713698.59;2009824795.28;2081610707.15;2025304238.87;1794784803.92;1793039353.05;1767042813.22;1839489367.1;1770400967.45;1713177393.21
IMAGE-GNMoct2020;SSP2_oct2020;3;pload;Not specified;1055681005.26;1067532751.76;1092138316.57;1016333372.17;914635335.206;909372269.674;820536249.617;791996668.61;824512000.422;709401510.236;728636067.825;656389204.781;682315701.047;785960345.523;681237589.043;707382325.914;627740385.074;635083313.597;719699017.008;589955285.02;644861931.257
IMAGE-GNMoct2020;SSP2_oct2020;1;sro_nat;Not specified;103912165.794;104207428.611;98399669.0667;93583544.2726;93120250.4936;92719301.9823;90409582.6126;87743802.0945;90481769.1067;90789729.0006;90775899.5756;86650592.3497;82987610.0358;85369825.4942;84843991.2695;83368847.3266;78283171.0811;77908577.1685;79585408.2419;76672170.7389;78511118.7267
IMAGE-GNMoct2020;SSP2_oct2020;2;sro_nat;Not specified;106236256.1;107146044.927;99928808.1791;100000317.603;99098524.7282;95085007.2217;101976609.629;97827887.912;100547679.371;98722778.0694;95881049.6293;101095187.04;97491948.0364;101558992.28;97491920.4149;93793690.8349;98698341.1859;94225382.1281;98732897.5498;94395777.1242;93475725.6721
IMAGE-GNMoct2020;SSP2_oct2020;3;sro_nat;Not specified;62331639.8038;68679621.1776;68640939.7297;68149036.1688;66858304.1154;69063049.9246;67532070.1743;72793761.9574;72258880.27;68779749.9881;69895450.2139;66096788.3741;69537862.7534;70582985.8343;67383678.9178;68638757.767;65814078.0751;68553144.1599;69045060.294;63588436.3019;65596709.8603
IMAGE-GNMoct2020;SSP2_oct2020;1;sro_agri;Not specified;703052126.552;848120670.849;929737168.39;886933769.926;931412500.935;960624046.65;912566320.925;947356607.039;1011721710.45;1041933473.26;1132987352.08;1098208819.99;1174206571.82;1293822640.15;1294352376.47;1320888791.6;1232918770.42;1336503030.89;1467727460.99;1427225282.88;1504352959.14
IMAGE-GNMoct2020;SSP2_oct2020;2;sro_agri;Not specified;367157693.933;375729392.762;402015445.572;475837433.008;534090168.48;551739956.336;553836183.081;597929003.866;642136393.9;700827648.97;683376783.767;687516495.684;769347759.957;810009981.039;779278620.546;683082351.288;663912532.898;683524521.301;723948682.264;739183848.21;742226442.895
IMAGE-GNMoct2020;SSP2_oct2020;3;sro_agri;Not specified;503987229.561;502607064.319;534987609.075;507026495.955;437184577.08;451941961.745;406098506.871;406127500.854;444868351.526;364474946.139;383524126.228;347508744.435;380313332.459;453965273.95;384388899.972;415912633.348;363736827.323;371136019.032;432557484.461;339238634.177;389867518.983
IMAGE-GNMoct2020;SSP2_oct2020;1;weathering;Not specified;426540120.542;437489676.433;383514870.039;385769574.57;384892421.428;371760096.267;377144326.62;340292350.927;424139165.181;454162025.749;429722957.297;425243463.121;406288351.955;513320533.827;502184532.828;448800844.539;425377651.64;391315789.658;509613363.49;501091150.462;478750245.61
IMAGE-GNMoct2020;SSP2_oct2020;2;weathering;Not specified;137017650.53;157631970.948;120419486.451;119666036.997;129293828.656;118596819.2;143856929.113;130463981.872;132887677.199;150682421.458;146436585.225;174031392.29;264464081.602;248037617.113;234450663.451;173616582.47;179129944.501;177326943.766;227987305.6;204292242.529;217362824.114
IMAGE-GNMoct2020;SSP2_oct2020;3;weathering;Not specified;89862539.5183;98222174.7596;100594044.001;88458701.6473;93249394.7116;97586632.3735;95896831.4104;92642691.6404;108299130.574;97105893.9726;101069706.684;94458509.9591;93771624.2104;118238626.186;102567365.852;104780995.165;99532285.2626;99882773.9785;120698464.61;103890029.801;107840681.011
IMAGE-GNMoct2020;SSP2_oct2020;1;pointsources;Not specified;118042984.537;150519563.481;178144696.026;201337381.463;223278506.787;261095814.775;292314140.873;324452358.423;372535534.776;434649092.005;506893029.793;580819061.799;664355362.748;774676248.932;858182947.347;934243140.275;963633942.119;1014993796.08;1104951870.66;1083577814.65;1072677067.59
IMAGE-GNMoct2020;SSP2_oct2020;2;pointsources;Not specified;84219197.5677;93472542.2187;116838101.953;142968563.893;168092132.515;200529465.438;233186833.676;332638740.448;431191622.303;519604944.629;575703322.128;592747094.986;654650312.965;695511048.361;697198098.133;637771136.173;608375549.24;572690517.341;539381103.974;482934687.524;413583255.408
IMAGE-GNMoct2020;SSP2_oct2020;3;pointsources;Not specified;364587706.749;357449333.522;348427906.991;314000006.235;277377244.471;250667178.53;216337961.707;186243389.461;161318455.379;144665444.552;139519088.564;118073806.096;108176672.673;106546106.246;90340415.8664;81803267.5781;67569859.9934;64314433.7936;62216266.7865;50049619.9212;48182106.9815
IMAGE-GNMoct2020;SSP2_oct2020;1;aquaculture;Not specified;3095743.89257;3899475.76959;4821413.13158;7263036.40246;9881353.12619;13328889.7342;14437711.9861;23058951.4546;26811155.0999;43764079.8828;47483124.0587;49292302.8434;49318740.2517;51583575.0426;54334602.6976;60239250.892;64912593.1852;68391481.1251;74527345.5634;80503451.9437;85562669.113
