Model;Scenario;Region;Variable;Unit;1970;1975;1980;1985;1990;1995;2000;2005;2010;2015;2020;2025;2030;2035;2040;2045;2050;2055;2060;2065;2070
IMAGE-GNM;SSP1_oct2020;BRIC;rPrunoff;kgP/yr;1185806274.08;1239504821.1;1305035794.18;1440125506.53;1579304871.97;1638030132.45;1659228523.17;1743337103.41;1817910070.34;1897927782.92;1883746820.27;1844333705.81;1851866710.84;1840239605.7;1825112189.75;1785964014.01;1758362929.95;1764850361.59;1761213730.6;1742699502.29;1734011310.4
IMAGE-GNM;SSP1_oct2020;INDUS;rPrunoff;kgP/yr;1185807398.94;1186294542.24;1217834693.55;1209921591.97;1168235349.66;1131014795.22;1107314104.89;1078562139.06;1034370522.71;1044018504.73;1026095120.41;1032884138.08;1052686424.23;1024652376.43;990594643.774;971443157.855;955660246.529;966756519.845;976660489.314;986869502.216;995906865.45
IMAGE-GNM;SSP1_oct2020;ROW;rPrunoff;kgP/yr;2144289161.98;2371008212.88;2522137357.96;2614804267.82;2683824273.92;2724755639.09;2756328029.83;2837697310.38;2911622736.41;3027660905.97;3141457439.97;3206911522.53;3315427298.09;3370727368.45;3415743556.42;3405711776.27;3423694673.2;3476253468.61;3559721654.98;3619747925.3;3683625014.22
IMAGE-GNM;SSP1_oct2020;WRLD;rPrunoff;kgP/yr;4515902835.0;4796807576.21;5045007845.69;5264851366.31;5431364495.54;5493800566.75;5522870657.9;5659596552.84;5763903329.47;5969607193.63;6051299380.64;6084129366.41;6219980433.17;6235619350.58;6231450389.95;6163118948.14;6137717849.68;6207860350.06;6297595874.89;6349316929.81;6413543190.06
IMAGE-GNM;SSP1_oct2020;BRIC;rPrunoff_agri;kgP/yr;962478929.979;1018077423.04;1085749578.66;1225789707.79;1368243841.92;1429590000.79;1451876785.48;1534659999.08;1608953658.38;1689714902.38;1676019509.61;1636285033.24;1643488053.12;1630533931.1;1613597349.85;1571290109.72;1540616011.75;1546315463.56;1541869940.28;1521628797.39;1511368012.42
IMAGE-GNM;SSP1_oct2020;INDUS;rPrunoff_agri;kgP/yr;1044516304.54;1043541417.58;1074613950.21;1066336960.75;1023698816.05;985967455.714;961671245.838;931945394.165;886603733.968;895637813.161;877824102.277;885081421.726;905215476.761;875835476.223;840682352.932;820886473.126;804265685.824;815569087.333;825693374.248;836124907.804;845318236.367
IMAGE-GNM;SSP1_oct2020;ROW;rPrunoff_agri;kgP/yr;1884452565.92;2115708153.81;2270971079.5;2366392954.65;2437442191.57;2481371587.75;2514147137.59;2596222482.37;2670857942.65;2788287223.86;2905079601.54;2972627027.41;3083138067.97;3137408234.45;3180226136.27;3166166664.82;3180111834.59;3232546474.04;3316319677.54;3375811838.87;3439186729.67
IMAGE-GNM;SSP1_oct2020;WRLD;rPrunoff_agri;kgP/yr;3891447800.43;4177326994.43;4431334608.37;4658519623.2;4829384849.54;4896929044.26;4927695168.92;5062827875.61;5166415335.0;5373639939.39;5458923213.43;5493993482.38;5631841597.85;5643777641.77;5634505839.05;5558343247.67;5524993532.16;5594431024.94;5683882992.07;5733565544.07;5795872978.46
IMAGE-GNM;SSP1_oct2020;BRIC;rPrunoff_arable;kgP/yr;766223573.575;814302449.41;873377992.012;1001704337.06;1132876471.84;1184056966.74;1198559570.74;1283250239.61;1355212909.95;1434136930.5;1416541440.47;1376805570.89;1383509290.58;1373050957.18;1359042426.97;1325227942.4;1303849520.21;1310948171.71;1307454963.65;1292378957.41;1286575558.49
IMAGE-GNM;SSP1_oct2020;INDUS;rPrunoff_arable;kgP/yr;904659741.474;905720490.512;938207883.263;931841601.691;894581447.46;859541722.84;839346551.541;812096410.999;770620711.366;782459246.82;766631869.283;778590656.509;800130947.886;774132737.65;742501399.701;726072688.29;713754535.196;724686263.472;734121427.126;745514708.934;754744551.45
