"","vif(glmm_global)"
"scale(Rum_meat_kcal_pop)",1.79770129961313
"scale(Dairy_kcal_pop)",1.22803423991858
"scale(FCR_grass_rum_meat)",2.00240703699667
"scale(FCR_grass_mon)",1.433229715038
