"","vif(glmm_global)"
"scale(Population)",1.11958497579633
"scale(Rum_meat_kcal)",2.96900192763027
"scale(Dairy_kcal)",1.54562573996694
"scale(FCR_FCF_rum_meat)",2.95646827036418
"scale(FCR_FCF_dairy)",1.65196471049197
