"","vif(glmm_global)"
"scale(Population)",1.04980840564368
"scale(Rum_meat_kcal)",2.0740337392914
"scale(Non_rum_kcal)",2.47378718882565
"scale(Dairy_kcal)",1.41388666917693
"scale(Vegetal_kcal)",1.17695205681415
"scale(WUEinc)",1.05292498507689
