"","Study","ScenYear","Model","Scope","Scenario..author.code.","Initial_condition","Delta_initial","Pfert","All_feed_water","Plant_food_water","Yield","PUEinc","PrecHousehold"
"56","Bouwman et al. (2009)",2030,"IMAGE 2.4","Agriculture","GO",13.85,-4,0.654879082117215,1.42452077209948,0.536707056307912,0.341388734784937,-0.0306980005568331,0
"57","Bouwman et al. (2009)",2030,"IMAGE 2.4","Agriculture","OS",13.85,-4,0.57446121030497,1.38810139106977,0.392322574075959,0.191062634437471,-0.0147529544583104,0
"59","Bouwman et al. (2009)",2030,"IMAGE 2.4","Agriculture","AM",13.85,-4,0.488605504668748,0.808858251375369,0.402097546074738,0.339562258401602,0.0264074408709448,0.0711216232615079
"60","Bouwman et al. (2009)",2050,"IMAGE 2.4","Agriculture","GO",13.85,-4,0.857559623089093,2.91314087592971,0.811831789023521,0.579887457338432,-0.0513214473534962,0
"62","Bouwman et al. (2009)",2050,"IMAGE 2.4","Agriculture","AM",13.85,-4,0.621020778297144,1.93646527024681,0.544445575806944,0.569174909989264,0.0403546705401592,0.0824222898714771
"67","Bouwman et al. (2013)",2050,"IMAGE 2.4","Agriculture","IM",14,-3.85,0.251314428280906,0.802554359757244,0.775121802579022,0.53731413097164,0.076147449106955,0
"71","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Diet)",17.88,0.0299999999999976,0.074866712680907,-0.0980362480850276,0.747332141530787,0,0.0569715142428784,0
"73","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Yield)",17.88,0.0299999999999976,0.5392761036983,0.789686253966565,0.548581554140418,0.5,0.0254872563718141,0
"75","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Loss)",17.88,0.0299999999999976,0.0701852997099241,0.789686253966565,0.548581554140418,0,0.146926536731634,0
"76","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+All)",17.88,0.0299999999999976,-0.0272125635248848,-0.395660230181961,0.557994025442972,0.5,0.0629685157421288,0
"102","Mogollon et al. (2018b)",2050,"IMAGE-DPPS","Agriculture","SSP3",17.3584449690543,-0.491555030945705,0.42511583333625,1.26421109305604,0.523119091798664,0.318534309009336,0.0255454816662325,0
"104","Mogollon et al. (2018b)",2050,"IMAGE-DPPS","Agriculture","SSP5",17.3584449690543,-0.491555030945705,0.404411163477278,0.583907967912301,0.405216727406846,0.478020781241123,0.135437781100238,0
"105","Odegard & van der Voet (2014)",2050,"Odegard & van der Voet (2014)","Agriculture","A1",20.625,2.775,0.834225778819851,2.60359676166091,0.403016645946405,0.336479336479336,0.1,0
"107","Odegard & van der Voet (2014)",2050,"Odegard & van der Voet (2014)","Agriculture","B1",20.625,2.775,0.0415490029128725,-0.377157608505375,0.418337835673338,0.336479336479336,0.15,0
"108","Odegard & van der Voet (2014)",2050,"Odegard & van der Voet (2014)","Agriculture","B2",20.625,2.775,0.229667677391153,0.600025319576484,0.568407889343496,0.0106733239263359,0.15,0
"110","Pradhan et al. (2015)",2050,"Pradhan et al. (2015)","Agriculture","Scenario B",19.6506550218341,1.80065502183406,0.378436435720245,1.45290973434177,0.260802010557454,0.773938756224677,0.2,0
"131","Springmann et al. (2018)",2050,"EAT-Lancet","Food","BMK + QW + BAU + SSP3",17.8487687210036,-0.00123127899640352,0.154840495431704,0.639813974948365,0.467298594844094,0,0,0
"149","Springmann et al. (2018)",2050,"EAT-Lancet","Food","TECH + HW + BAU + SSP3",17.8487687210036,-0.00123127899640352,0.171383898540956,0.688192786926756,0.539769602274787,0.420351434660392,0.0970744462842434,0
"158","Springmann et al. (2018)",2050,"EAT-Lancet","Food","TECH + QW + BAU + SSP3",17.8487687210036,-0.00123127899640352,0.0749491393398621,0.639813974948365,0.467298594844094,0.420351434660392,0.0970744462842434,0
"176","Springmann et al. (2018)",2050,"EAT-Lancet","Food","TECH_p + HW + BAU + SSP3",17.8487687210036,-0.00123127899640352,-0.521763282018989,0.688192786926756,0.539769602274787,0.529577464788732,0.0970744462842434,0.5
"185","Springmann et al. (2018)",2050,"EAT-Lancet","Food","TECH_p + QW + BAU + SSP3",17.8487687210036,-0.00123127899640352,-0.618198041220083,0.639813974948365,0.467298594844094,0.529577464788732,0.0970744462842434,0.5
