"","Study","ScenYear","Model","Scope","Scenario..author.code.","Cropland.scope","Initial_condition","Delta_initial","Cropland","All_crop_feed","All_plant_food","Yield"
"310","Roos et al. (2017) with pasture",2050,"Roos et al. (2017) with pasture","Agriculture","WR: PBE HD + PASTURE","Agriculture",1560,35,0.17941207620002,-1,0.531561644333515,0.0431856224990232
"311","Roos et al. (2017) with pasture",2050,"Roos et al. (2017) with pasture","Agriculture","WR: EL PD + PASTURE","Agriculture",1560,35,0.118683718209161,-1,0.516890153155653,0
"312","Roos et al. (2017) with pasture",2050,"Roos et al. (2017) with pasture","Agriculture","WR: EL HD + PASTURE","Agriculture",1560,35,0.159832442746953,-1,0.417347778868509,0.0431856224990232
"313","Roos et al. (2017) with pasture",2050,"Roos et al. (2017) with pasture","Agriculture","YGR: INT PD + PASTURE","Agriculture",1560,35,0.213886838301082,0.0583508568582627,0.500065574761508,0.678530729004408
"314","Roos et al. (2017) with pasture",2050,"Roos et al. (2017) with pasture","Agriculture","YGR: INT HD + PASTURE","Agriculture",1560,35,0.150460732130204,-0.346707308769727,0.407516292302009,0.719233370307219
"315","Roos et al. (2017) with pasture",2050,"Roos et al. (2017) with pasture","Agriculture","YGR: IDP PD + PASTURE","Agriculture",1560,35,0.235419856600034,-0.359973498671578,0.500065574761508,0.678530729004408
"316","Roos et al. (2017) with pasture",2050,"Roos et al. (2017) with pasture","Agriculture","YGR: IDP HD + PASTURE","Agriculture",1560,35,0.143342880692751,-0.395421256607247,0.407516292302009,0.719233370307219
"317","Roos et al. (2017) with pasture",2050,"Roos et al. (2017) with pasture","Agriculture","YGR: IDA PD + PASTURE","Agriculture",1560,35,0.274728170132301,-0.359973498671578,0.500065574761508,0.678530729004408
"318","Roos et al. (2017) with pasture",2050,"Roos et al. (2017) with pasture","Agriculture","YGR: IDA HD + PASTURE","Agriculture",1560,35,0.218091889018028,-0.395421256607247,0.407516292302009,0.719233370307219
"319","Roos et al. (2017) with pasture",2050,"Roos et al. (2017) with pasture","Agriculture","YGR: ART PD + PASTURE","Agriculture",1560,35,-0.261940085072229,-0.453110766558552,0.500065574761508,0.678530729004408
"330","Roos et al. (2017) with pasture",2050,"Roos et al. (2017) with pasture","Agriculture","YGR+WR IDA HD + PASTURE","Agriculture",1560,35,-0.0163603280232852,-0.442790403003685,0.322208277512408,0.719233370307219
"331","Roos et al. (2017) with pasture",2050,"Roos et al. (2017) with pasture","Agriculture","YGR+WR ART PD + PASTURE","Agriculture",1560,35,-0.454744500084252,-0.494424686399231,0.418891657663435,0.678530729004408
"332","Roos et al. (2017) with pasture",2050,"Roos et al. (2017) with pasture","Agriculture","YGR+WR ART HD + PASTURE","Agriculture",1560,35,-0.389153037491873,-0.523582573416869,0.322208277512408,0.719233370307219
"333","Roos et al. (2017) with pasture",2050,"Roos et al. (2017) with pasture","Agriculture","YGR+WR PBE PD + PASTURE","Agriculture",1560,35,-0.260121700573703,-1,0.724477264664653,0.678530729004408
"335","Roos et al. (2017) with pasture",2050,"Roos et al. (2017) with pasture","Agriculture","YGR+WR EL PD + PASTURE","Agriculture",1560,35,-0.343976792015909,-1,0.516890153155653,0.678530729004408
"337","Searchinger et al. (2018)",2050,"GlobAgri-WRR","Agriculture","No productivity gains after 2010","Agriculture",1547,22,0.524181414947546,0.742847937815802,0.531476173363463,0
"339","Searchinger et al. (2018)",2050,"GlobAgri-WRR","Agriculture","Coordinated effort","Agriculture",1547,22,0.00258231260347269,0.558610107760094,0.465189716072132,0.245996751353849
"340","Searchinger et al. (2018)",2050,"GlobAgri-WRR","Agriculture","Highly ambitious","Agriculture",1547,22,-0.123699013849117,0.439345092280652,0.410726361727217,0.318432671081678
"341","Searchinger et al. (2018)",2050,"GlobAgri-WRR","Agriculture","Breakthrough technologies","Agriculture",1547,22,-0.260685002947771,0.391723999484491,0.367246459060557,0.469922737306843
"416","Springmann et al. (2018)",2050,"EAT-Lancet","Food","TECH_p + QW + BAU + SSP3","Food crops",1525,0,-0.379650701453697,0.639813974948365,0.467298594844094,0.529577464788732
