"","Study","ScenYear","Model","Scope","Scenario..author.code.","Water.scope","Initial_condition","Delta_initial","Water","Rum_feed_water","Mon_feed_water","Plant_food_water","Yield","WUEinc","rstand"
"1","Damerau et al. (2016)",2050,"Damerau et al. (2016)","Agriculture","2050 Baseline (combined)","Water Footprint Network - Mekonnen & Hoekstra (2011)",1448.16850237,-358.83149763,0.184501633781872,-1,0.0495843037383767,0.197639242750954,-1,0,0.783812098638437
"2","Damerau et al. (2016)",2050,"Damerau et al. (2016)","Agriculture","2050 Increased protein (from animal sources)","Water Footprint Network - Mekonnen & Hoekstra (2011)",1448.16850237,-358.83149763,0.292963923297559,-1,0.0495843037383767,0.34156427539011,-1,0,1.02631590363628
"4","Damerau et al. (2016)",2050,"Damerau et al. (2016)","Agriculture","2050 Macro-nutrient shift","Water Footprint Network - Mekonnen & Hoekstra (2011)",1448.16850237,-358.83149763,-0.102014260560832,-1,0.960559400785837,0.0247371794102678,-1,0,-1.65188720658552
"25","Davis et al. (2016)",2025,"Davis et al. (2016)","Food","B","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.374651778494456,0.37131209991321,0.334123635182016,0.16483974895934,0,0,1.03833856979645
"27","Davis et al. (2016)",2025,"Davis et al. (2016)","Food","S2","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.360416662672584,-0.240898419186613,-0.0781083222714843,0.113159955564285,0,0,1.64040873247966
"29","Davis et al. (2016)",2030,"Davis et al. (2016)","Food","B","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.470604219078727,0.490682292910548,0.439006110918498,0.208237777565317,0,0,1.70946887008009
"30","Davis et al. (2016)",2030,"Davis et al. (2016)","Food","S1","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.4127846481899,-0.0283293193438322,-0.0486999730563069,0.250205880325584,0,0,1.22376726956081
"32","Davis et al. (2016)",2030,"Davis et al. (2016)","Food","S3","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.0374725782524234,-0.32501112035429,-0.243959329969406,0.162919638288702,0,0,-2.10635361177532
"33","Davis et al. (2016)",2035,"Davis et al. (2016)","Food","B","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.555204988231669,0.610793016611175,0.543445332740409,0.247879459572268,0,0,2.28106089743651
"34","Davis et al. (2016)",2035,"Davis et al. (2016)","Food","S1","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.488894987445716,-0.0560861051784866,-0.0823741860393961,0.301804363854039,0,0,1.74384944569076
"36","Davis et al. (2016)",2035,"Davis et al. (2016)","Food","S3","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.0174719115457538,-0.437293180776358,-0.319760219047412,0.189650086262759,0,0,-2.42325382481744
"38","Davis et al. (2016)",2040,"Davis et al. (2016)","Food","S1","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.558150498461426,-0.0908819609762969,-0.12322472645118,0.350242513561922,0,0,2.2156891427146
"47","Ercin & Hoekstra (2014)",2050,"Ercin & Hoekstra (2014)","Agriculture","S2","Water Footprint Network - Mekonnen & Hoekstra (2011)",794.146,-1012.854,0.674921180804688,2.26741450165752,1.17388166219983,0.922057661115284,0,0.0917584035933876,0.351380560784321
"48","Ercin & Hoekstra (2014)",2050,"Ercin & Hoekstra (2014)","Agriculture","S3","Water Footprint Network - Mekonnen & Hoekstra (2011)",794.146,-1012.854,0.434422591281834,0.294369840276234,-0.207015525611385,0.694709210912892,0,0,-0.898256098676054
"95","Graham et al. (2018)",2035,"GCAM","Agriculture","SSP 1 Water constrained","GCAM (WFN/AQUASTAT)",1069.96875352,-737.03124648,0.331362957536114,-1,-1,0.357885185321923,0.293608552646265,0.126184290725265,1.74915317568283
"99","Graham et al. (2018)",2035,"GCAM","Agriculture","SSP 5 Water constrained","GCAM (WFN/AQUASTAT)",1069.96875352,-737.03124648,0.349199493449907,-1,-1,0.364941485122408,0.304127452678641,0.137305813407209,2.07019348334295
"124","Graham et al. (2018)",2050,"GCAM","Agriculture","SSP 5 NonCO2 constrained","GCAM (WFN/AQUASTAT)",1069.96875352,-737.03124648,0.483325370028292,-1,-1,0.333169696498695,0.454168558483238,-0.0121648431044837,1.21310682659715
"126","Graham et al. (2018)",2050,"GCAM","Agriculture","SSP 2 Water constrained","GCAM (WFN/AQUASTAT)",1069.96875352,-737.03124648,0.452158476731389,-1,-1,0.427395187264257,0.27276791093464,0.0866318950257201,1.9891726289771
"145","Muller et al. (2017)",2050,"SOLm","Agriculture","0Conc_0Org_W50_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.0356574399977141,-1,-1,0.501829932001612,0.331707317073171,0,-1.96741177703456
"148","Muller et al. (2017)",2050,"SOLm","Agriculture","0Conc_40Org_W50_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.0369654294671203,-1,-1,0.498511101797906,0.251219512195122,0,-1.87167533095286
"149","Muller et al. (2017)",2050,"SOLm","Agriculture","0Conc_20Org_W50_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.03603032100023,-1,-1,0.500229781724826,0.290243902439024,0,-1.92210087183457
"170","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_0Org","FAO AQUASTAT 2013",1371.32,-435.68,0.462495494358803,0.439890366924801,0.410083198853085,0.474093993870648,0.326829268292683,0,1.68777179312322
"171","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_80Org","FAO AQUASTAT 2013",1371.32,-435.68,0.464069311510645,0.398385800039046,0.50678033024167,0.462300293682482,0.373170731707317,0,1.71658025361865
"172","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_60Org","FAO AQUASTAT 2013",1371.32,-435.68,0.464092235145142,0.52433302279706,0.603666170970938,0.466211772136848,0.170731707317073,0,1.74932886266311
"173","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_40Org","FAO AQUASTAT 2013",1371.32,-435.68,0.464541432327336,0.500951915853404,0.546978165609305,0.469530602340553,0.209756097560976,0,1.7391732197969
"174","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_20Org","FAO AQUASTAT 2013",1371.32,-435.68,0.465274382116443,0.47984349054708,0.495356163250418,0.472375313943729,0.246341463414634,0,1.73378582659822
"175","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_0Org_W50","FAO AQUASTAT 2013",1371.32,-435.68,0.462495494358803,0.439890366924801,0.410083198853085,0.474093993870648,0.327190791219512,0,1.68750370372569
"180","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_80Org_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.454320553092769,0.35070814398302,0.523019930632934,0.45939631725424,0.34574398902439,0,1.65883723427705
"181","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_60Org_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.448698217995794,0.472657591873569,0.621344022282666,0.462833677108077,0.145050182195122,0,1.63243956932913
"182","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_40Org_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.444003483239744,0.449910176430548,0.563450917758537,0.465856183186451,0.178049392926829,0,1.57280673692572
"184","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_0Org_W50_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.462495494358803,0.439890366924801,0.410083198853085,0.474093993870648,0.327190791219512,0,1.68750370372569
"200","Springmann et al. (2018)",2050,"EAT-Lancet","Food","TECH + HW + BAU + SSP3","IMPACT 3",1807.07799547358,0.0779954735799038,0.0523310768248694,0.7275497569339,0.689642770812051,0.539769602274787,0.420351434660392,0.233343326088586,-2.0327024108967
"209","Springmann et al. (2018)",2050,"EAT-Lancet","Food","TECH + QW + BAU + SSP3","IMPACT 3",1807.07799547358,0.0779954735799038,-0.0214476490437485,0.697257622215523,0.711159315703535,0.467298594844094,0.420351434660392,0.233343326088586,-2.36367735861674
"218","Springmann et al. (2018)",2050,"EAT-Lancet","Food","TECH_p + FW + BAU + SSP3","IMPACT 3",1807.07799547358,0.0779954735799038,0.185028144957582,0.788134026370653,0.672661720472961,0.684711617136172,0.529577464788732,0.23234561193135,-1.64284969254066
"227","Springmann et al. (2018)",2050,"EAT-Lancet","Food","TECH_p + HW + BAU + SSP3","IMPACT 3",1807.07799547358,0.0779954735799038,0.0519878123560876,0.7275497569339,0.689642770812051,0.539769602274787,0.529577464788732,0.23234561193135,-2.13360819703943
"236","Springmann et al. (2018)",2050,"EAT-Lancet","Food","TECH_p + QW + BAU + SSP3","IMPACT 3",1807.07799547358,0.0779954735799038,-0.0218180888270252,0.697257622215523,0.711159315703535,0.467298594844094,0.529577464788732,0.23234561193135,-2.4648802361023
"275","Weindl et al. (2017)",2050,"MAgPIE 3","Agriculture","SSP2-Baseline+Static WP","LPJmL",1022.59777602863,-784.40222397137,0.477473744439661,1.0468160718251,0.716691999121685,0.39413928648416,0.39821596,-0.0171945704441513,1.73290859966114
"277","Weindl et al. (2017)",2050,"MAgPIE 3","Agriculture","SSP2-Catch up+Static WP","LPJmL",1022.59777602863,-784.40222397137,0.525616356595638,1.64641288409649,0.685414580581262,0.39413928648416,0.40906935,-0.014802646408097,2.08800713634459
"283","Weindl et al. (2017)",2050,"MAgPIE 3","Agriculture","DEMI-Baseline + YIELD","LPJmL",1022.59777602863,-784.40222397137,0.145986098707962,0.498065404215122,-0.0334076972322009,0.567121427887401,0.35577975,0.0178031460784944,-1.86859147474556
"284","Weindl et al. (2017)",2050,"MAgPIE 3","Agriculture","DEMI-Divergence + YIELD","LPJmL",1022.59777602863,-784.40222397137,0.115679365637559,0.17639229052206,0.0197282510729091,0.567121427887401,0.34535062,0.0204712984163788,-2.05808464879013
"285","Weindl et al. (2017)",2050,"MAgPIE 3","Agriculture","DEMI-Catch up + YIELD","LPJmL",1022.59777602863,-784.40222397137,0.213440175575672,0.796040819534666,-0.0580934014366805,0.567121427887401,0.36877166,0.0164667854863632,-1.25838535006464
"286","Weindl et al. (2017)",2050,"MAgPIE 3","Agriculture","DEMI-Moderation + YIELD","LPJmL",1022.59777602863,-784.40222397137,0.15475672479843,0.358217854705146,-0.00834644098831494,0.567121427887401,0.35762835,0.0236608962158462,-1.64064792337325
