"","Study","ScenYear","Model","Scope","Scenario..author.code.","Water.scope","Initial_condition","Delta_initial","Water","Rum_meat_crop_feed_water","Dairy_crop_feed_water","Mon_feed_water","Plant_food_water","Yield","WUEinc"
"165","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_60Org","FAO AQUASTAT 2013",1371.32,-435.68,0.590569670098883,0.4793176280942,0.558825975146989,0.603666170970938,0.466211772136848,0.170731707317073,0
"166","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_40Org","FAO AQUASTAT 2013",1371.32,-435.68,0.591284310007876,0.456350880705133,0.535127366058423,0.546978165609305,0.469530602340553,0.209756097560976,0
"167","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_20Org","FAO AQUASTAT 2013",1371.32,-435.68,0.592451069042966,0.435519520406964,0.513806640267181,0.495356163250418,0.472375313943729,0.246341463414634,0
"173","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_80Org_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.575102820639967,0.317212029608234,0.376374471795177,0.523019930632934,0.45939631725424,0.34574398902439,0
"174","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_60Org_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.566271913193128,0.428703338548293,0.506337446855027,0.621344022282666,0.462833677108077,0.145050182195122,0
"193","Springmann et al. (2018)",2050,"EAT-Lancet","Food","TECH + HW + BAU + SSP3","IMPACT 3",1807.07799547358,0.0779954735799038,0.0537245485472015,0.759340785511364,0.554560407423081,0.689642770812051,0.539769602274787,0.420351434660392,0.233343326088586
"202","Springmann et al. (2018)",2050,"EAT-Lancet","Food","TECH + QW + BAU + SSP3","IMPACT 3",1807.07799547358,0.0779954735799038,-0.0212192837656079,0.727219573219837,0.53422111014792,0.711159315703535,0.467298594844094,0.420351434660392,0.233343326088586
"220","Springmann et al. (2018)",2050,"EAT-Lancet","Food","TECH_p + HW + BAU + SSP3","IMPACT 3",1807.07799547358,0.0779954735799038,0.0533629044231423,0.759340785511364,0.554560407423081,0.689642770812051,0.539769602274787,0.529577464788732,0.23234561193135
"229","Springmann et al. (2018)",2050,"EAT-Lancet","Food","TECH_p + QW + BAU + SSP3","IMPACT 3",1807.07799547358,0.0779954735799038,-0.0215817959333953,0.727219573219837,0.53422111014792,0.711159315703535,0.467298594844094,0.529577464788732,0.23234561193135
"268","Weindl et al. (2017)",2050,"MAgPIE 3","Agriculture","SSP2-Baseline+Static WP","LPJmL",1022.59777602863,-784.40222397137,0.611996937775531,0.985808838220416,1.89795955018766,0.716691999121685,0.39413928648416,0.39821596,-0.0171945704441513
"270","Weindl et al. (2017)",2050,"MAgPIE 3","Agriculture","SSP2-Catch up+Static WP","LPJmL",1022.59777602863,-784.40222397137,0.69150109500474,1.60219677229781,2.26329473518762,0.685414580581262,0.39413928648416,0.40906935,-0.014802646408097
"276","Weindl et al. (2017)",2050,"MAgPIE 3","Agriculture","DEMI-Baseline + YIELD","LPJmL",1022.59777602863,-784.40222397137,0.157180101640452,0.465396488708677,0.953846345843565,-0.0334076972322009,0.567121427887401,0.35577975,0.0178031460784944
"277","Weindl et al. (2017)",2050,"MAgPIE 3","Agriculture","DEMI-Divergence + YIELD","LPJmL",1022.59777602863,-784.40222397137,0.122635858787179,0.138933674467206,0.698996822472665,0.0197282510729091,0.567121427887401,0.34535062,0.0204712984163788
