"","Study","ScenYear","Model","Scope","Scenario..author.code.","Water.scope","Initial_condition","Delta_initial","Water","Rum_feed_water","Mon_feed_water","Plant_food_water","Yield","WUEinc","rstand"
"148","Muller et al. (2017)",2050,"SOLm","Agriculture","0Conc_40Org_W50_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.0369654294671203,-1,-1,0.498511101797906,0.251219512195122,0,-1.86558457679075
"149","Muller et al. (2017)",2050,"SOLm","Agriculture","0Conc_20Org_W50_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.03603032100023,-1,-1,0.500229781724826,0.290243902439024,0,-1.91405973142774
"171","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_80Org","FAO AQUASTAT 2013",1371.32,-435.68,0.464069311510645,0.398385800039046,0.50678033024167,0.462300293682482,0.373170731707317,0,1.70140243997736
"172","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_60Org","FAO AQUASTAT 2013",1371.32,-435.68,0.464092235145142,0.52433302279706,0.603666170970938,0.466211772136848,0.170731707317073,0,1.72617150201016
"173","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_40Org","FAO AQUASTAT 2013",1371.32,-435.68,0.464541432327336,0.500951915853404,0.546978165609305,0.469530602340553,0.209756097560976,0,1.72077507860905
"174","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_20Org","FAO AQUASTAT 2013",1371.32,-435.68,0.465274382116443,0.47984349054708,0.495356163250418,0.472375313943729,0.246341463414634,0,1.71977002450426
"180","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_80Org_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.454320553092769,0.35070814398302,0.523019930632934,0.45939631725424,0.34574398902439,0,1.63771889415102
"181","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_60Org_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.448698217995794,0.472657591873569,0.621344022282666,0.462833677108077,0.145050182195122,0,1.60310284382132
"182","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_40Org_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.444003483239744,0.449910176430548,0.563450917758537,0.465856183186451,0.178049392926829,0,1.5481586644495
"200","Springmann et al. (2018)",2050,"EAT-Lancet","Food","TECH + HW + BAU + SSP3","IMPACT 3",1807.07799547358,0.0779954735799038,0.0523310768248694,0.7275497569339,0.689642770812051,0.539769602274787,0.420351434660392,0.233343326088586,-2.0332207111962
"209","Springmann et al. (2018)",2050,"EAT-Lancet","Food","TECH + QW + BAU + SSP3","IMPACT 3",1807.07799547358,0.0779954735799038,-0.0214476490437485,0.697257622215523,0.711159315703535,0.467298594844094,0.420351434660392,0.233343326088586,-2.37027721723514
"218","Springmann et al. (2018)",2050,"EAT-Lancet","Food","TECH_p + FW + BAU + SSP3","IMPACT 3",1807.07799547358,0.0779954735799038,0.185028144957582,0.788134026370653,0.672661720472961,0.684711617136172,0.529577464788732,0.23234561193135,-1.62768045573759
"227","Springmann et al. (2018)",2050,"EAT-Lancet","Food","TECH_p + HW + BAU + SSP3","IMPACT 3",1807.07799547358,0.0779954735799038,0.0519878123560876,0.7275497569339,0.689642770812051,0.539769602274787,0.529577464788732,0.23234561193135,-2.12882391193717
"236","Springmann et al. (2018)",2050,"EAT-Lancet","Food","TECH_p + QW + BAU + SSP3","IMPACT 3",1807.07799547358,0.0779954735799038,-0.0218180888270252,0.697257622215523,0.711159315703535,0.467298594844094,0.529577464788732,0.23234561193135,-2.46617703237223
"275","Weindl et al. (2017)",2050,"MAgPIE 3","Agriculture","SSP2-Baseline+Static WP","LPJmL",1022.59777602863,-784.40222397137,0.477473744439661,1.0468160718251,0.716691999121685,0.39413928648416,0.39821596,-0.0171945704441513,1.74534215891595
"277","Weindl et al. (2017)",2050,"MAgPIE 3","Agriculture","SSP2-Catch up+Static WP","LPJmL",1022.59777602863,-784.40222397137,0.525616356595638,1.64641288409649,0.685414580581262,0.39413928648416,0.40906935,-0.014802646408097,2.14505657497903
"283","Weindl et al. (2017)",2050,"MAgPIE 3","Agriculture","DEMI-Baseline + YIELD","LPJmL",1022.59777602863,-784.40222397137,0.145986098707962,0.498065404215122,-0.0334076972322009,0.567121427887401,0.35577975,0.0178031460784944,-1.82868633977461
"284","Weindl et al. (2017)",2050,"MAgPIE 3","Agriculture","DEMI-Divergence + YIELD","LPJmL",1022.59777602863,-784.40222397137,0.115679365637559,0.17639229052206,0.0197282510729091,0.567121427887401,0.34535062,0.0204712984163788,-2.04556013615408
"286","Weindl et al. (2017)",2050,"MAgPIE 3","Agriculture","DEMI-Moderation + YIELD","LPJmL",1022.59777602863,-784.40222397137,0.15475672479843,0.358217854705146,-0.00834644098831494,0.567121427887401,0.35762835,0.0236608962158462,-1.61343870478565
"482","Willet et al. (2019)",2030,"EAT-Lancet","Food","SSP3_BMK_half_w_BMK, 2500kcal","IMPACT 3",1807.07799547358,0.0779954735799038,0.180447787831306,0.312251828474856,0.351544203847099,0.236353610811823,0,0,-1.81121921554206
