"","Study","ScenYear","Model","Scope","Scenario..author.code.","Cropland.scope","Initial_condition","Delta_initial","Cropland","Rum_meat_crop_feed_water","Dairy_crop_feed_water","Mon_feed_water","Plant_food_water","Yield","C_price"
"257","FAO (2018)",2035,"FAO GAPS - ENVISAGE","Agriculture","TSS","Agriculture",1600.953207,81.953207,-0.0164010193908189,0.161258133523171,0.212344533109717,0.119119409682261,0.345042248768398,0.0557824409914942,0
"260","FAO (2018)",2040,"FAO GAPS - ENVISAGE","Agriculture","TSS","Agriculture",1600.953207,81.953207,-0.00964489886749943,0.1895769282081,0.245214430291718,0.137006016860224,0.400857956896317,0.0871835930221656,0
"263","FAO (2018)",2050,"FAO GAPS - ENVISAGE","Agriculture","TSS","Agriculture",1600.953207,81.953207,0.00124243970314326,0.240625975254355,0.287560957829387,0.185428791808117,0.501195824456554,0.145572189480513,0
"272","Heck et al. (2018)",2050,"LPJmL","Agriculture","SSP2 Optimised - constant ag productivity & diet","Agriculture",1549,30,0.334323512950918,0.393232415902141,0.393232415902141,0.327412943128252,0.393232415902141,0,0
"273","Heck et al. (2018)",2050,"LPJmL","Agriculture","SSP2 Optimised - yield gap closure & constant diet","Agriculture",1549,30,0.084465847368406,0.137927263203222,0.201849946564538,-0.00201488775834557,0.393232415902141,0.5659,0
"274","Heck et al. (2018)",2050,"LPJmL","Agriculture","SSP2 Optimised - yield gap & improved diet","Agriculture",1549,30,0.226300640596589,0.454622915657015,0.53633587135676,0.245411487800968,0.45911765780913,0.4829,0
"276","Muller et al. (2017)",2050,"SOLm","Agriculture","0Conc_0Org","Agriculture",1354.61,-164.39,-0.201643157628153,-1,-1,-1,0.697522384370079,0.282926829268293,0
"277","Muller et al. (2017)",2050,"SOLm","Agriculture","0Conc_80Org","Agriculture",1354.61,-164.39,-0.0286356416228227,-1,-1,-1,0.697581649195145,0.134146341463415,0
"278","Muller et al. (2017)",2050,"SOLm","Agriculture","0Conc_60Org","Agriculture",1354.61,-164.39,-0.075931901825662,-1,-1,-1,0.697640914020211,0.170731707317073,0
"279","Muller et al. (2017)",2050,"SOLm","Agriculture","0Conc_40Org","Agriculture",1354.61,-164.39,-0.12029243798769,-1,-1,-1,0.697640914020211,0.207317073170732,0
"280","Muller et al. (2017)",2050,"SOLm","Agriculture","0Conc_20Org","Agriculture",1354.61,-164.39,-0.162092155802698,-1,-1,-1,0.697581649195145,0.246341463414634,0
"282","Muller et al. (2017)",2050,"SOLm","Agriculture","0Conc_0Org_W50","Agriculture",1354.61,-164.39,-0.319846244645379,-1,-1,-1,0.501533607876281,0.292682926829268,0
"283","Muller et al. (2017)",2050,"SOLm","Agriculture","0Conc_80Org_W50","Agriculture",1354.61,-164.39,-0.146937282982384,-1,-1,-1,0.495014477119003,0.139024390243903,0
"284","Muller et al. (2017)",2050,"SOLm","Agriculture","0Conc_60Org_W50","Agriculture",1354.61,-164.39,-0.194210855134031,-1,-1,-1,0.496910951521121,0.178048780487805,0
"285","Muller et al. (2017)",2050,"SOLm","Agriculture","0Conc_40Org_W50","Agriculture",1354.61,-164.39,-0.238568901384099,-1,-1,-1,0.498629631448039,0.217073170731708,0
"286","Muller et al. (2017)",2050,"SOLm","Agriculture","0Conc_20Org_W50","Agriculture",1354.61,-164.39,-0.280285463905274,-1,-1,-1,0.500170516899759,0.253658536585366,0
"299","Muller et al. (2017)",2050,"SOLm","Agriculture","50Conc_0Org","Agriculture",1354.61,-164.39,-0.0775579962104651,-0.504992529305363,-0.493896650871608,-0.929293048975946,0.615736925778775,0.0902439024390245,0
"305","Muller et al. (2017)",2050,"SOLm","Agriculture","50Conc_0Org_W50","Agriculture",1354.61,-164.39,-0.195278210749958,-0.485250084206991,-0.437910174763119,-0.711454020015512,0.418740647258853,0.0926829268292686,0
"312","Muller et al. (2017)",2050,"SOLm","Agriculture","50Conc_60Org_CCyes","Agriculture",1354.61,-164.39,0.491029758540835,-0.362327235638085,-0.345784405730796,-0.575338601034275,0.612536625225202,0.160975609756098,0
"316","Muller et al. (2017)",2050,"SOLm","Agriculture","50Conc_100Org_W50_CCyes","Agriculture",1354.61,-164.39,0.505539309579654,-0.504888901829602,-0.472201741164703,-0.638520560175676,0.40813224357201,0.336585365853659,0
"317","Muller et al. (2017)",2050,"SOLm","Agriculture","50Conc_80Org_W50_CCyes","Agriculture",1354.61,-164.39,0.436841551300015,-0.462549146267842,-0.422521926403097,-0.625073635569146,0.41044357174959,0.134146341463415,0
"318","Muller et al. (2017)",2050,"SOLm","Agriculture","50Conc_60Org_W50_CCyes","Agriculture",1354.61,-164.39,0.373133204832842,-0.470246551158126,-0.430780494214201,-0.635985656057109,0.41245857580184,0.168292682926829,0
"329","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_80Org_W50","Agriculture",1354.61,-164.39,0.231235570180814,0.131811611968909,0.239862580668044,0.300231628307658,0.266489311663882,0.391242917560976,0
"333","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_20Org_CCyes","Agriculture",1354.61,-164.39,0.508247392121362,0.386857841933503,0.46273461866618,0.509906369220803,0.468404570664296,0.210863377073171,0
"335","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_40Org_W50_CCyes","Agriculture",1354.61,-164.39,0.492054790634612,0.167819737184313,0.291951694212027,0.348632977286208,0.271763881094771,0.186550813902439,0
"336","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_20Org_W50_CCyes","Agriculture",1354.61,-164.39,0.428753337053325,0.152424094717005,0.274246371982045,0.302436943383089,0.275556829899005,0.219622314390244,0
"337","Roos et al. (2017) with pasture",2050,"Roos et al. (2017) with pasture","Agriculture","ART PD + PASTURE","Agriculture",1560,41,0.196505369177256,-1,5.70716097980401,-1,0.500065574761508,0,0
"342","Roos et al. (2017) with pasture",2050,"Roos et al. (2017) with pasture","Agriculture","EL HD + PASTURE","Agriculture",1560,41,0.371543684652313,-1,-1,-0.869484704518807,0.508177346167992,0.0431856224990232,0
"343","Roos et al. (2017) with pasture",2050,"Roos et al. (2017) with pasture","Agriculture","WR: INT PD + PASTURE","Agriculture",1560,41,0.481963083121676,10.3571843678908,1.29477301667298,0.704264859025837,0.418891657663435,0,0
"349","Roos et al. (2017) with pasture",2050,"Roos et al. (2017) with pasture","Agriculture","WR: ART PD + PASTURE","Agriculture",1560,41,0.0116317744511511,-1,5.20047864975624,-1,0.418891657663435,0,0
"350","Roos et al. (2017) with pasture",2050,"Roos et al. (2017) with pasture","Agriculture","WR: ART HD + PASTURE","Agriculture",1560,41,0.0351589565290398,-1,4.84288038286848,-1,0.322208277512408,0.0431856224990232,0
"356","Roos et al. (2017) with pasture",2050,"Roos et al. (2017) with pasture","Agriculture","YGR: INT HD + PASTURE","Agriculture",1560,41,0.150460732130204,5.06075967262456,0.913270174763233,-0.125156785938348,0.407516292302009,0.719233370307219,0
"358","Roos et al. (2017) with pasture",2050,"Roos et al. (2017) with pasture","Agriculture","YGR: IDP HD + PASTURE","Agriculture",1560,41,0.143342880692751,0.867019998954835,5.33397240791341,-0.137860936993247,0.407516292302009,0.719233370307219,0
"360","Roos et al. (2017) with pasture",2050,"Roos et al. (2017) with pasture","Agriculture","YGR: IDA HD + PASTURE","Agriculture",1560,41,0.218091889018028,0.867019998954835,5.33397240791341,0.355592488453775,0.407516292302009,0.719233370307219,0
"361","Roos et al. (2017) with pasture",2050,"Roos et al. (2017) with pasture","Agriculture","YGR: ART PD + PASTURE","Agriculture",1560,41,-0.261940085072229,-1,5.70716097980401,-1,0.500065574761508,0.678530729004408,0
"364","Roos et al. (2017) with pasture",2050,"Roos et al. (2017) with pasture","Agriculture","YGR: PBE HD + PASTURE","Agriculture",1560,41,-0.0325025370654442,-1,-1,-1,0.630445796673,0.719233370307219,0
"366","Roos et al. (2017) with pasture",2050,"Roos et al. (2017) with pasture","Agriculture","YGR: EL HD + PASTURE","Agriculture",1560,41,-0.0300949029265998,-1,-1,-0.869484704518807,0.508177346167992,0.719233370307219,0
"367","Roos et al. (2017) with pasture",2050,"Roos et al. (2017) with pasture","Agriculture","YGR+WR INT PD + PASTURE","Agriculture",1560,41,0.0322706603151197,10.3571843678908,1.29477301667298,0.704264859025837,0.418891657663435,0.678530729004408,0
"377","Searchinger et al. (2018)",2050,"GlobAgri-WRR","Agriculture","No productivity gains after 2010","Agriculture",1547,28,0.524181414947546,0.862967953743292,0.674696740582215,0.694912594451136,0.531476173363463,0,0
"379","Searchinger et al. (2018)",2050,"GlobAgri-WRR","Agriculture","Coordinated effort","Agriculture",1547,28,0.00258231260347269,0.840774529926113,1.3379885907284,0.340176850442403,0.465189716072132,0.245996751353849,0
"380","Searchinger et al. (2018)",2050,"GlobAgri-WRR","Agriculture","Highly ambitious","Agriculture",1547,28,-0.123699013849117,0.289362852995884,1.18084540767987,0.298229218915637,0.410726361727217,0.318432671081678,0
"381","Searchinger et al. (2018)",2050,"GlobAgri-WRR","Agriculture","Breakthrough technologies","Agriculture",1547,28,-0.260685002947771,0.24336267968408,1.10329822005376,0.252553364289847,0.367246459060557,0.469922737306843,0
"578","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-high yield_Diet-RICH+bau (0.7+G+HY+RICH+bau)","Agriculture",1341.34687562195,-177.65312437805,0.298972816044492,3.92642923815963,4.9425856459974,2.32048285989599,0.799382722110702,0.539325842696629,0
"580","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-FAO yield_Diet-RICH+bau (0.7+G+FAO+RICH+bau)","Agriculture",1341.34687562195,-177.65312437805,0.369204436321672,3.92642923815963,4.9425856459974,2.32048285989599,0.799382722110702,0.411985018726592,0
"581","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-high yield_Diet-RICH+mono (0.7+G+HY+RICH+mono)","Agriculture",1341.34687562195,-177.65312437805,0.400787076486688,-1,-1,6.75771472876453,0.799382722110702,0.539325842696629,0
"583","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-FAO yield_Diet-RICH+mono (0.7+G+FAO+RICH+mono)","Agriculture",1341.34687562195,-177.65312437805,0.471779648335861,-1,-1,6.75771472876453,0.799382722110702,0.411985018726592,0
"585","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-yield gap closed_Diet-BAU+rumi (0.7+G+YGC+BAU+rumi)","Agriculture",1341.34687562195,-177.65312437805,0.245610552287966,4.88760398458447,3.56060406937877,-1,0.719453346702561,0.771535580524345,0
"596","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-yield gap closed_Diet-MEAT+bau (0.7+G+YGC+MEAT+bau)","Agriculture",1341.34687562195,-177.65312437805,0.0798735532101183,1.47527016968336,3.85104399002227,1.16738323825382,0.340853703311647,0.771535580524345,0
"600","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-yield gap closed_Diet-MEAT+mono (0.7+G+YGC+MEAT+mono)","Agriculture",1341.34687562195,-177.65312437805,0.204406511599638,-1,-1,4.44480990079633,0.340853703311647,0.771535580524345,0
"603","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-high yield_Diet-VEGET+rumi (0.7+G+HY+VEGET+rumi)","Agriculture",1341.34687562195,-177.65312437805,-0.284496484952221,-1,4.68538982570672,-1,0.544222259855059,0.539325842696629,0
"605","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-FAO yield_Diet-VEGET+rumi (0.7+G+FAO+VEGET+rumi)","Agriculture",1341.34687562195,-177.65312437805,-0.203175617410885,-1,4.68538982570672,-1,0.544222259855059,0.411985018726592,0
"606","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-organic yields_Diet-VEGET+rumi (0.7+G+Org+VEGET+rumi)","Agriculture",1341.34687562195,-177.65312437805,0.0177365658078539,-1,4.68538982570672,-1,0.544222259855059,0.119850187265918,0
"607","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-high yield_Diet-VEGET+bau (0.7+G+HY+VEGET+bau)","Agriculture",1341.34687562195,-177.65312437805,-0.229770295381375,-1,3.8969370651435,-0.557077128954005,0.544222259855059,0.539325842696629,0
"609","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-FAO yield_Diet-VEGET+bau (0.7+G+FAO+VEGET+bau)","Agriculture",1341.34687562195,-177.65312437805,-0.148293331236316,-1,3.8969370651435,-0.557077128954005,0.544222259855059,0.411985018726592,0
"610","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-organic yields_Diet-VEGET+bau (0.7+G+Org+VEGET+bau)","Agriculture",1341.34687562195,-177.65312437805,0.0713715700545043,-1,3.8969370651435,-0.557077128954005,0.544222259855059,0.119850187265918,0
"627","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-rough_Crop-yield gap closed_Diet-MEAT+bau (0.7+R+YGC+MEAT+bau)","Agriculture",1341.34687562195,-177.65312437805,-0.0928417396651681,-0.149750668333117,0.778855916921428,0.611147104452784,0.340853703311647,0.771535580524345,0
"630","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-rough_Crop-yield gap closed_Diet-MEAT+mono (0.7+R+YGC+MEAT+mono)","Agriculture",1341.34687562195,-177.65312437805,0.110676914340907,-1,-1,3.04745665239685,0.340853703311647,0.771535580524345,0
"635","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-rough_Crop-FAO yield_Diet-VEGET+rumi (0.7+R+FAO+VEGET+rumi)","Agriculture",1341.34687562195,-177.65312437805,-0.279238932421732,-1,1.0848067657735,-1,0.544222259855059,0.411985018726592,0
"636","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-rough_Crop-organic yields_Diet-VEGET+rumi (0.7+R+Org+VEGET+rumi)","Agriculture",1341.34687562195,-177.65312437805,-0.0706907017051436,-1,1.0848067657735,-1,0.544222259855059,0.119850187265918,0
"648","Tilman & Clark (2014)",2050,"Tilman & Clark (2014)","Food","BAU-2050 - all measures","Agriculture",1549.1997,30.1996999999999,-0.0327005848131865,0.190277767367607,0.358679010535867,0.604468995418251,0.430919333797198,0.585489283015361,0
"650","Tilman & Clark (2014)",2050,"Tilman & Clark (2014)","Food","Pesc - all measures","Agriculture",1549.1997,30.1996999999999,-0.296641215871685,-1,0.124647638399701,0.0800713178896275,0.0782770628592488,0.585489283015361,0
"718","Weindl et al. (2017)",2050,"MAgPIE 3","Agriculture","SSP2-Catch up+Static WP","Agriculture",1389,-130,0.352490535553469,1.60219677229781,2.26329473518762,0.685414580581262,0.39413928648416,0.40906935,0
