"","Study","ScenYear","Model","Scope","Scenario..author.code.","Water.scope","Initial_condition","Delta_initial","Water","All_feed_water","Plant_food_water","Yield","WPinc","rstand"
"2","Damerau et al. (2016)","2050","Damerau et al. (2016)","Agriculture","2050 Increased protein (from animal sources)","Water Footprint Network - Mekonnen & Hoekstra (2011)",1448.16850237,-358.83149763,0.292963923297559,0.139198248592934,0.34156427539011,0,-0.141927637593062,1.0151381496153
"4","Damerau et al. (2016)","2050","Damerau et al. (2016)","Agriculture","2050 Macro-nutrient shift","Water Footprint Network - Mekonnen & Hoekstra (2011)",1448.16850237,-358.83149763,-0.102014260560832,0.937641113715395,0.0247371794102678,0,-0.0134069455090788,-0.760139127434362
"45","Davis et al. (2016)","2025","Davis et al. (2016)","Food","B","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.374651778494456,0.349109549741765,0.16483974895934,0,0,1.55232498821442
"47","Davis et al. (2016)","2025","Davis et al. (2016)","Food","S2","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.360416662672584,-0.143708193123294,0.113159955564285,0,0,2.19162965588234
"53","Davis et al. (2016)","2030","Davis et al. (2016)","Food","B","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.470604219078727,0.459830171650893,0.208237777565317,0,0,2.26695344693886
"54","Davis et al. (2016)","2030","Davis et al. (2016)","Food","S1","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.4127846481899,-0.0404911674960893,0.250205880325584,0,0,1.7804273561745
"62","Davis et al. (2016)","2035","Davis et al. (2016)","Food","S1","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.488894987445716,-0.0717808223023091,0.301804363854039,0,0,2.34225394476206
"95","Ercin & Hoekstra (2014)","2050","Ercin & Hoekstra (2014)","Agriculture","S1","Water Footprint Network - Mekonnen & Hoekstra (2011)",794.146,-1012.854,0.316029669776337,0.81492821689445,0.403655116219133,0,0.301403180511272,1.14648701269998
"96","Ercin & Hoekstra (2014)","2050","Ercin & Hoekstra (2014)","Agriculture","S2","Water Footprint Network - Mekonnen & Hoekstra (2011)",794.146,-1012.854,0.674921180804688,1.37349786318452,0.922057661115284,0,0.302539970903512,1.30574833379072
"97","Ercin & Hoekstra (2014)","2050","Ercin & Hoekstra (2014)","Agriculture","S3","Water Footprint Network - Mekonnen & Hoekstra (2011)",794.146,-1012.854,0.434422591281834,-0.115491395419338,0.694709210912892,0,0,-1.8622555320731
"98","Ercin & Hoekstra (2014)","2050","Ercin & Hoekstra (2014)","Agriculture","S4","Water Footprint Network - Mekonnen & Hoekstra (2011)",794.146,-1012.854,0.679210490100551,0.0144048487071307,0.909013634208459,0,0,-0.593724892028074
"184","Muller et al. (2017)","2050","SOLm","Agriculture","0Conc_0Org_W50","FAO AQUASTAT 2013",1371.32,-435.68,0.0609488596245458,-1,0.501533607876281,0.292682926829268,0,-1.85804667396004
"194","Muller et al. (2017)","2050","SOLm","Agriculture","0Conc_0Org_W50_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.0356574399977141,-1,0.501829932001612,0.331707317073171,0,-2.24719009968932
"198","Muller et al. (2017)","2050","SOLm","Agriculture","0Conc_20Org_W50_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.03603032100023,-1,0.500229781724826,0.290243902439024,0,-2.13129994305476
"219","Muller et al. (2017)","2050","SOLm","Agriculture","100Conc_0Org","FAO AQUASTAT 2013",1371.32,-435.68,0.462495494358803,0.412419583976214,0.474093993870648,0.326829268292683,0,1.57467373680943
"220","Muller et al. (2017)","2050","SOLm","Agriculture","100Conc_80Org","FAO AQUASTAT 2013",1371.32,-435.68,0.464069311510645,0.49828400589497,0.462300293682482,0.373170731707317,0,1.47984438060491
"221","Muller et al. (2017)","2050","SOLm","Agriculture","100Conc_60Org","FAO AQUASTAT 2013",1371.32,-435.68,0.464092235145142,0.597447774553055,0.466211772136848,0.170731707317073,0,1.85424830830087
"224","Muller et al. (2017)","2050","SOLm","Agriculture","100Conc_0Org_W50","FAO AQUASTAT 2013",1371.32,-435.68,0.462495494358803,0.412419583976214,0.474093993870648,0.327190791219512,0,1.57379458118456
"229","Muller et al. (2017)","2050","SOLm","Agriculture","100Conc_80Org_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.454320553092769,0.509513558813245,0.45939631725424,0.34574398902439,0,1.44299539042671
"230","Muller et al. (2017)","2050","SOLm","Agriculture","100Conc_60Org_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.448698217995794,0.609689484582772,0.462833677108077,0.145050182195122,0,1.75016946096199
"233","Muller et al. (2017)","2050","SOLm","Agriculture","100Conc_0Org_W50_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.462495494358803,0.412419583976214,0.474093993870648,0.327190791219512,0,1.57379458118456
