"","Study","ScenYear","Model","Scope","Scenario..author.code.","Water.scope","Initial_condition","Delta_initial","Water","All_feed_water","Plant_food_water","Yield","WPinc"
"61","de Fraiture & Wichelns (2010)","2050","WATERSIM","Agriculture","TRADE","IMWI water and climate altas & FAO AQUASTAT database 2005",1570,-237,0.0509554140127388,1.0061143774561,0.574623131322614,0.47838459238486,0.381842669517858
"63","Ercin & Hoekstra (2014)","2050","Ercin & Hoekstra (2014)","Agriculture","S1","Water Footprint Network - Mekonnen & Hoekstra (2011)",794.146,-1012.854,0.37167095219267,0.812325606408713,0.403655116219133,0,0.301403180511272
"64","Ercin & Hoekstra (2014)","2050","Ercin & Hoekstra (2014)","Agriculture","S3","Water Footprint Network - Mekonnen & Hoekstra (2011)",794.146,-1012.854,0.544071241308274,-0.117047865863935,0.694709210912892,0,0
"149","Muller et al. (2017)","2050","SOLm","Agriculture","0Conc_0Org_W50","FAO AQUASTAT 2013",1371.32,-435.68,0.0628445585275501,-1,0.501533607876281,0.292682926829268,0
"159","Muller et al. (2017)","2050","SOLm","Agriculture","0Conc_0Org_W50_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.0363007904792463,-1,0.501829932001612,0.331707317073171,0
"162","Muller et al. (2017)","2050","SOLm","Agriculture","0Conc_40Org_W50_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.0376571478575387,-1,0.498511101797906,0.251219512195122,0
"163","Muller et al. (2017)","2050","SOLm","Agriculture","0Conc_20Org_W50_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.03668727940962,-1,0.500229781724826,0.290243902439024,0
"184","Muller et al. (2017)","2050","SOLm","Agriculture","100Conc_0Org","FAO AQUASTAT 2013",1371.32,-435.68,0.588031969197562,0.325659801540898,0.474093993870648,0.326829268292683,0
"185","Muller et al. (2017)","2050","SOLm","Agriculture","100Conc_80Org","FAO AQUASTAT 2013",1371.32,-435.68,0.590533208879036,0.39694885128136,0.462300293682482,0.373170731707317,0
"186","Muller et al. (2017)","2050","SOLm","Agriculture","100Conc_60Org","FAO AQUASTAT 2013",1371.32,-435.68,0.590569670098883,0.494940836921985,0.466211772136848,0.170731707317073,0
"187","Muller et al. (2017)","2050","SOLm","Agriculture","100Conc_40Org","FAO AQUASTAT 2013",1371.32,-435.68,0.591284310007876,0.445672519102644,0.469530602340553,0.209756097560976,0
"188","Muller et al. (2017)","2050","SOLm","Agriculture","100Conc_20Org","FAO AQUASTAT 2013",1371.32,-435.68,0.592451069042966,0.40130599755639,0.472375313943729,0.246341463414634,0
"189","Muller et al. (2017)","2050","SOLm","Agriculture","100Conc_0Org_W50","FAO AQUASTAT 2013",1371.32,-435.68,0.588031969197562,0.325659801540898,0.474093993870648,0.327190791219512,0
"194","Muller et al. (2017)","2050","SOLm","Agriculture","100Conc_80Org_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.575102820639967,0.406057776998053,0.45939631725424,0.34574398902439,0
"195","Muller et al. (2017)","2050","SOLm","Agriculture","100Conc_60Org_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.566271913193128,0.504398181451635,0.462833677108077,0.145050182195122,0
"196","Muller et al. (2017)","2050","SOLm","Agriculture","100Conc_40Org_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.558935915759998,0.454702293048938,0.465856183186451,0.178049392926829,0
"198","Muller et al. (2017)","2050","SOLm","Agriculture","100Conc_0Org_W50_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.588031969197562,0.325659801540898,0.474093993870648,0.327190791219512,0
"364","Weindl et al. (2017b)","2050","MAgPIE 3","Agriculture","SSP2-Catch up+Static WP","LPJmL",1160.62780062024,-646.37219937976,0.490335882853637,0.447131137648711,0.255704439103749,0.307143527920352,0
