"","Study","ScenYear","Model","Scope","Scenario..author.code.","Initial_condition","Delta_initial","CH4","Rum_meat_kcal_GHG","Dairy_kcal_GHG","All_feed_water","Plant_kcal_GHG","Yield","GHG_eff_CH4"
"2","Bajzelj et al. (2014)","2050","Bajzelj et al. (2014)","Agriculture","CT2",150.4,15.8749179,0.620061598843916,0.642896570344756,0.480282940041975,1.09453552032751,0.424676804851153,0.157894736842105,0
"3","Bajzelj et al. (2014)","2050","Bajzelj et al. (2014)","Agriculture","CT3",150.4,15.8749179,0.136518946713853,0.0466656900388491,0.418406796848447,0.0521204069654881,0.326936760584516,0.105263157894737,0
"5","Bajzelj et al. (2014)","2050","Bajzelj et al. (2014)","Agriculture","YG2",150.4,15.8749179,0.582156186254833,0.642896570344756,0.480282940041975,1.09453552032751,0.424676804851153,0.842105263157895,0
"6","Bajzelj et al. (2014)","2050","Bajzelj et al. (2014)","Agriculture","YG3",150.4,15.8749179,0.0792240420527004,0.0466656900388491,0.418406796848447,0.0521204069654881,0.326936760584516,0.815789473684211,0
"170","Clark et al. (2020)","2045","Clark et al. (2020)","Food","Converge_2050+Diet Intensity Slider 100%+Medium_Fertility+Efficiency Slider 50%+Efficiency_Increased_020%+50% To Max Yields + 50% from BAU trends+Waste_Reduced_25%+Waste Slider 50%",122.489183017857,-12.0358990821429,-0.540000673442034,-0.462743775164068,0.577848024477967,-0.4876068938158,0.321527493171185,1.03301950769921,0.166666667
"195","Clark et al. (2020)","2050","Clark et al. (2020)","Food","Converge_2050+Diet Intensity Slider 100%+Medium_Fertility+Efficiency Slider 0%+Efficiency_Increased_00%+0% To Max Yields + 50% from BAU trends+Waste_Reduced_0%+Waste Slider 0%",122.489183017857,-12.0358990821429,-0.480027153318459,-0.583552765170254,0.493578585911858,-0.57326186988658,0.430510967952593,0.676168871211728,0
"198","Conijn et al. (2018)","2050","BIOSPACS","Agriculture","(+Diet)",138.291935546794,3.76685344679376,-0.0733133493244861,-0.0847046423775345,-0.137056925731803,-0.0888663168409004,0.747332141530787,0,0
"199","Conijn et al. (2018)","2050","BIOSPACS","Agriculture","(+Feed)",138.291935546794,3.76685344679376,0.496706658435078,0.361134466739601,0.278819254638413,0.355559516947015,0.548581554140418,0,0
"203","Conijn et al. (2018)","2050","BIOSPACS","Agriculture","(+All)",138.291935546794,3.76685344679376,-0.285574929262986,-0.387725661361061,-0.422971799736326,-0.390096450666181,0.557994025442972,0.5,0
"252","FAO (2018)","2035","FAO GAPS - ENVISAGE","Agriculture","SSS",145.34,10.8149179,0.251551392389597,0.331005578844826,0.312340315551753,0.3146627432006,0.386546619755326,0.154291206812565,0
"255","FAO (2018)","2040","FAO GAPS - ENVISAGE","Agriculture","SSS",145.34,10.8149179,0.268158751130231,0.344443588737121,0.335862666622647,0.32212720611226,0.450344590837128,0.174689035581797,0
"256","FAO (2018)","2040","FAO GAPS - ENVISAGE","Agriculture","TSS",145.34,10.8149179,0.0174605445282646,0.207920681118149,0.26441613577848,0.142959994815128,0.400857956896317,0.0871835930221656,0
"258","FAO (2018)","2050","FAO GAPS - ENVISAGE","Agriculture","SSS",145.34,10.8149179,0.287854068117914,0.348384532342686,0.374789959276342,0.329546006905234,0.565122759376736,0.203541941111301,0
"259","FAO (2018)","2050","FAO GAPS - ENVISAGE","Agriculture","TSS",145.34,10.8149179,-0.0184714646977988,0.256780792332578,0.304326939007987,0.190220794646497,0.501195824456554,0.145572189480513,0
"267","FOLU (2019)","2050","GLOBIOM","Agriculture","TRANS_noCprice",123.85,-10.6750821,-0.374187099880619,-0.596637774219569,0.400528820486058,-0.449721485580141,0.488798147755222,0.381818181818182,0
