"","Study","ScenYear","Model","Scope","Scenario..author.code.","Cropland.scope","Initial_condition","Delta_initial","Cropland","Rum_meat_crop_feed_water","Dairy_crop_feed_water","Mon_feed_water","Plant_food_water","Yield","C_price","rstand"
"323","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_80Org","Agriculture",1354.61,-164.39,0.341923343046054,0.364103073114663,0.424654868077524,0.50678033024167,0.462300293682482,0.373170731707317,0,2.40103741484488
"338","Roos et al. (2017) with pasture",2050,"Roos et al. (2017) with pasture","Agriculture","ART HD + PASTURE","Agriculture",1560,41,0.253871520944794,-1,5.33397240791341,-1,0.407516292302009,0.0431856224990232,0,-0.890927578296873
"342","Roos et al. (2017) with pasture",2050,"Roos et al. (2017) with pasture","Agriculture","EL HD + PASTURE","Agriculture",1560,41,0.371543684652313,-1,-1,-0.869484704518807,0.508177346167992,0.0431856224990232,0,1.94195875374811
"343","Roos et al. (2017) with pasture",2050,"Roos et al. (2017) with pasture","Agriculture","WR: INT PD + PASTURE","Agriculture",1560,41,0.481963083121676,10.3571843678908,1.29477301667298,0.704264859025837,0.418891657663435,0,0,-1.62789150576111
"347","Roos et al. (2017) with pasture",2050,"Roos et al. (2017) with pasture","Agriculture","WR: IDA PD + PASTURE","Agriculture",1560,41,0.50908468841419,0.811215384666649,5.20047864975624,1.37104900282825,0.418891657663435,0,0,-1.15037387685195
"351","Roos et al. (2017) with pasture",2050,"Roos et al. (2017) with pasture","Agriculture","WR: PBE PD + PASTURE","Agriculture",1560,41,0.20381845197255,-1,-1,-1,0.724477264664653,0,0,-1.3389300014459
"353","Roos et al. (2017) with pasture",2050,"Roos et al. (2017) with pasture","Agriculture","WR: EL PD + PASTURE","Agriculture",1560,41,0.118683718209161,-1,-1,-0.480550132948666,0.516890153155653,0,0,-1.59438837043217
"355","Roos et al. (2017) with pasture",2050,"Roos et al. (2017) with pasture","Agriculture","YGR: INT PD + PASTURE","Agriculture",1560,41,0.213886838301082,11.5699581501646,1.46245663932159,0.886757430687421,0.500065574761508,0.678530729004408,0,-0.143095673484422
"358","Roos et al. (2017) with pasture",2050,"Roos et al. (2017) with pasture","Agriculture","YGR: IDP HD + PASTURE","Agriculture",1560,41,0.143342880692751,0.867019998954835,5.33397240791341,-0.137860936993247,0.407516292302009,0.719233370307219,0,2.01565262512741
"360","Roos et al. (2017) with pasture",2050,"Roos et al. (2017) with pasture","Agriculture","YGR: IDA HD + PASTURE","Agriculture",1560,41,0.218091889018028,0.867019998954835,5.33397240791341,0.355592488453775,0.407516292302009,0.719233370307219,0,2.36066266695409
"361","Roos et al. (2017) with pasture",2050,"Roos et al. (2017) with pasture","Agriculture","YGR: ART PD + PASTURE","Agriculture",1560,41,-0.261940085072229,-1,5.70716097980401,-1,0.500065574761508,0.678530729004408,0,-2.14563401391453
"364","Roos et al. (2017) with pasture",2050,"Roos et al. (2017) with pasture","Agriculture","YGR: PBE HD + PASTURE","Agriculture",1560,41,-0.0325025370654442,-1,-1,-1,0.630445796673,0.719233370307219,0,2.32421976832765
"368","Roos et al. (2017) with pasture",2050,"Roos et al. (2017) with pasture","Agriculture","YGR+WR INT HD + PASTURE","Agriculture",1560,41,-0.0607058924017648,4.76652418848211,0.777644537026089,-0.206968848625858,0.322208277512408,0.719233370307219,0,1.04150612783043
"377","Searchinger et al. (2018)",2050,"GlobAgri-WRR","Agriculture","No productivity gains after 2010","Agriculture",1547,28,0.524181414947546,0.862967953743292,0.674696740582215,0.694912594451136,0.531476173363463,0,0,2.25449731235784
"379","Searchinger et al. (2018)",2050,"GlobAgri-WRR","Agriculture","Coordinated effort","Agriculture",1547,28,0.00258231260347269,0.840774529926113,1.3379885907284,0.340176850442403,0.465189716072132,0.245996751353849,0,-1.01666465832548
"380","Searchinger et al. (2018)",2050,"GlobAgri-WRR","Agriculture","Highly ambitious","Agriculture",1547,28,-0.123699013849117,0.289362852995884,1.18084540767987,0.298229218915637,0.410726361727217,0.318432671081678,0,-1.29250797561803
"381","Searchinger et al. (2018)",2050,"GlobAgri-WRR","Agriculture","Breakthrough technologies","Agriculture",1547,28,-0.260685002947771,0.24336267968408,1.10329822005376,0.252553364289847,0.367246459060557,0.469922737306843,0,-1.26033028603163
"575","Stevanovic et al. (2017)",2050,"MAgPIE 3","Agriculture","Incentive-based mitigation","Agriculture",1565.47,46.47,0.033227192403235,1.56101753522901,-1,0.427968689739436,0.427591365963213,0.596460913526497,129.6582713,1.16791226260046
"578","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-high yield_Diet-RICH+bau (0.7+G+HY+RICH+bau)","Agriculture",1341.34687562195,-177.65312437805,0.298972816044492,3.92642923815963,4.9425856459974,2.32048285989599,0.799382722110702,0.539325842696629,0,-1.81137010365321
"580","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-FAO yield_Diet-RICH+bau (0.7+G+FAO+RICH+bau)","Agriculture",1341.34687562195,-177.65312437805,0.369204436321672,3.92642923815963,4.9425856459974,2.32048285989599,0.799382722110702,0.411985018726592,0,-2.05459622690344
"581","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-high yield_Diet-RICH+mono (0.7+G+HY+RICH+mono)","Agriculture",1341.34687562195,-177.65312437805,0.400787076486688,-1,-1,6.75771472876453,0.799382722110702,0.539325842696629,0,-1.71989221246147
"583","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-FAO yield_Diet-RICH+mono (0.7+G+FAO+RICH+mono)","Agriculture",1341.34687562195,-177.65312437805,0.471779648335861,-1,-1,6.75771472876453,0.799382722110702,0.411985018726592,0,-1.95478211322234
"584","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-high yield_Diet-BAU+rumi (0.7+G+HY+BAU+rumi)","Agriculture",1341.34687562195,-177.65312437805,0.210392594303449,4.88760398458447,3.56060406937877,-1,0.719453346702561,0.539325842696629,0,1.12664798794014
"586","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-FAO yield_Diet-BAU+rumi (0.7+G+FAO+BAU+rumi)","Agriculture",1341.34687562195,-177.65312437805,0.291859889630838,4.88760398458447,3.56060406937877,-1,0.719453346702561,0.411985018726592,0,1.00650865560272
"596","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-yield gap closed_Diet-MEAT+bau (0.7+G+YGC+MEAT+bau)","Agriculture",1341.34687562195,-177.65312437805,0.0798735532101183,1.47527016968336,3.85104399002227,1.16738323825382,0.340853703311647,0.771535580524345,0,2.29113849418181
"603","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-high yield_Diet-VEGET+rumi (0.7+G+HY+VEGET+rumi)","Agriculture",1341.34687562195,-177.65312437805,-0.284496484952221,-1,4.68538982570672,-1,0.544222259855059,0.539325842696629,0,-2.34195486940041
"605","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-FAO yield_Diet-VEGET+rumi (0.7+G+FAO+VEGET+rumi)","Agriculture",1341.34687562195,-177.65312437805,-0.203175617410885,-1,4.68538982570672,-1,0.544222259855059,0.411985018726592,0,-2.46369831775268
"606","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-organic yields_Diet-VEGET+rumi (0.7+G+Org+VEGET+rumi)","Agriculture",1341.34687562195,-177.65312437805,0.0177365658078539,-1,4.68538982570672,-1,0.544222259855059,0.119850187265918,0,-2.36666005996738
"607","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-high yield_Diet-VEGET+bau (0.7+G+HY+VEGET+bau)","Agriculture",1341.34687562195,-177.65312437805,-0.229770295381375,-1,3.8969370651435,-0.557077128954005,0.544222259855059,0.539325842696629,0,-1.88901120371762
"609","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-FAO yield_Diet-VEGET+bau (0.7+G+FAO+VEGET+bau)","Agriculture",1341.34687562195,-177.65312437805,-0.148293331236316,-1,3.8969370651435,-0.557077128954005,0.544222259855059,0.411985018726592,0,-2.00904461418265
"610","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-organic yields_Diet-VEGET+bau (0.7+G+Org+VEGET+bau)","Agriculture",1341.34687562195,-177.65312437805,0.0713715700545043,-1,3.8969370651435,-0.557077128954005,0.544222259855059,0.119850187265918,0,-1.92567032666927
"616","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-rough_Crop-yield gap closed_Diet-RICH+mono (0.7+R+YGC+RICH+mono)","Agriculture",1341.34687562195,-177.65312437805,0.344007797990703,-1,-1,4.76677875966666,0.799382722110702,0.771535580524345,0,1.41652432402483
"627","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-rough_Crop-yield gap closed_Diet-MEAT+bau (0.7+R+YGC+MEAT+bau)","Agriculture",1341.34687562195,-177.65312437805,-0.0928417396651681,-0.149750668333117,0.778855916921428,0.611147104452784,0.340853703311647,0.771535580524345,0,2.39415430987476
"633","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-rough_Crop-high yield_Diet-VEGET+rumi (0.7+R+HY+VEGET+rumi)","Agriculture",1341.34687562195,-177.65312437805,-0.357327819698622,-1,1.0848067657735,-1,0.544222259855059,0.539325842696629,0,-1.86682942061642
"635","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-rough_Crop-FAO yield_Diet-VEGET+rumi (0.7+R+FAO+VEGET+rumi)","Agriculture",1341.34687562195,-177.65312437805,-0.279238932421732,-1,1.0848067657735,-1,0.544222259855059,0.411985018726592,0,-2.02397920434832
"636","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-rough_Crop-organic yields_Diet-VEGET+rumi (0.7+R+Org+VEGET+rumi)","Agriculture",1341.34687562195,-177.65312437805,-0.0706907017051436,-1,1.0848067657735,-1,0.544222259855059,0.119850187265918,0,-2.06238801402334
"648","Tilman & Clark (2014)",2050,"Tilman & Clark (2014)","Food","BAU-2050 - all measures","Agriculture",1549.1997,30.1996999999999,-0.0327005848131865,0.190277767367607,0.358679010535867,0.604468995418251,0.430919333797198,0.585489283015361,0,-2.14982160544459
"649","Tilman & Clark (2014)",2050,"Tilman & Clark (2014)","Food","Med - all measures","Agriculture",1549.1997,30.1996999999999,-0.279361848515603,-0.593590721889878,0.635664539789347,-0.0771070394863398,0.0488685449082171,0.585489283015361,0,-1.95022712242662
"650","Tilman & Clark (2014)",2050,"Tilman & Clark (2014)","Food","Pesc - all measures","Agriculture",1549.1997,30.1996999999999,-0.296641215871685,-1,0.124647638399701,0.0800713178896275,0.0782770628592488,0.585489283015361,0,-2.18266555139537
"653","Tilman & Clark (2014)",2050,"Tilman & Clark (2014)","Food","Med - high yield gap closure","Agriculture",1549.1997,30.1996999999999,0.144034222744699,-0.295505195769159,1.59128097766885,0.164883580537116,0.0982916700609604,0.585489283015361,0,1.76909217437439
"718","Weindl et al. (2017)",2050,"MAgPIE 3","Agriculture","SSP2-Catch up+Static WP","Agriculture",1389,-130,0.352490535553469,1.60219677229781,2.26329473518762,0.685414580581262,0.39413928648416,0.40906935,0,2.23069329761072
