"","Study","ScenYear","Model","Scope","Scenario..author.code.","Water.scope","Initial_condition","Delta_initial","Water","All_feed_water","Plant_food_water","Yield","WPinc","rstand"
"1","Damerau et al. (2016)","2050","Damerau et al. (2016)","Agriculture","2050 Increased protein (from animal sources)","Water Footprint Network - Mekonnen & Hoekstra (2011)",1741.59487809586,-65.4051219041407,0.108462289515688,0.0712393665557236,0.120173945126049,0,-0.141927637593062,0.608090177139916
"2","Damerau et al. (2016)","2050","Damerau et al. (2016)","Agriculture","2050 Replaced foods","Water Footprint Network - Mekonnen & Hoekstra (2011)",1741.59487809586,-65.4051219041407,-0.0447870431879527,0.068356549809923,0.0534288114975094,0,-0.166243913761107,-0.870577091791954
"3","Damerau et al. (2016)","2050","Damerau et al. (2016)","Agriculture","2050 Macro-nutrient shift","Water Footprint Network - Mekonnen & Hoekstra (2011)",1741.59487809586,-65.4051219041407,-0.286515894342704,0.822051115187855,-0.144369069723812,0,-0.0134069455090788,-0.663795247197058
"7","Davis et al. (2016)","2015","Davis et al. (2016)","Food","S3","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.0497728563340751,-0.0541391673527609,0.0543759432980473,0,0,-2.09846637764035
"11","Davis et al. (2016)","2015","Davis et al. (2016)","Food","S3 + prod","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.00402030316970643,-0.0541391673527609,0.0543759432980473,0,0.0441524231084381,-2.09083331304247
"15","Davis et al. (2016)","2020","Davis et al. (2016)","Food","S3","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.0534336291837562,-0.114450468200744,0.0955875151658008,0,0,-2.33155936309384
"19","Davis et al. (2016)","2020","Davis et al. (2016)","Food","S3 + prod","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,-0.0293246496328834,-0.114450468200744,0.0955875151658008,0,0.0791993971069738,-2.32544507847952
"23","Davis et al. (2016)","2025","Davis et al. (2016)","Food","S3","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.0485496145913309,-0.188982176935416,0.131711321077278,0,0,-2.61492122225122
"27","Davis et al. (2016)","2025","Davis et al. (2016)","Food","S3 + prod","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,-0.0713805918385198,-0.188982176935416,0.131711321077278,0,0.113466059841618,-2.62118752154673
"31","Davis et al. (2016)","2030","Davis et al. (2016)","Food","S3","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.0374725782524234,-0.276620941961248,0.162919638288702,0,0,-2.92444614672386
"35","Davis et al. (2016)","2030","Davis et al. (2016)","Food","S3 + prod","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,-0.122476377185827,-0.276620941961248,0.162919638288702,0,0.147573619429075,-2.9762620655313
"38","Davis et al. (2016)","2035","Davis et al. (2016)","Food","S2","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.535844740947128,-0.288909666680348,0.157042611144919,0,0,2.60842502759793
"42","Davis et al. (2016)","2035","Davis et al. (2016)","Food","S2 + prod","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.341189463890091,-0.288909666680348,0.157042611144919,0,0.177034716998565,2.51573164626932
"44","Davis et al. (2016)","2040","Davis et al. (2016)","Food","B","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.632521041182496,0.680887578282882,0.283776381814625,0,0,2.29780351866216
"48","Davis et al. (2016)","2040","Davis et al. (2016)","Food","B + prod","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.460442944283695,0.680887578282882,0.283776381814625,0,0.158148325275766,2.2349275547969
"52","Davis et al. (2016)","2045","Davis et al. (2016)","Food","B","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.703650422789606,0.789861651904941,0.315662977544534,0,0,2.79709994735986
"56","Davis et al. (2016)","2045","Davis et al. (2016)","Food","B + prod","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.509466802580116,0.789861651904941,0.315662977544534,0,0.176476603030717,2.70313609992759
"60","Davis et al. (2016)","2050","Davis et al. (2016)","Food","S2","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.679161538130573,-0.206713245760058,0.436234020437047,0,0,2.10674393794302
"63","Davis et al. (2016)","2050","Davis et al. (2016)","Food","S2 + prod","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.470018972644322,-0.206713245760058,0.436234020437047,0,0.188720433067521,1.98990180183951
"72","Ercin & Hoekstra (2014)","2050","Ercin & Hoekstra (2014)","Agriculture","S1","Water Footprint Network - Mekonnen & Hoekstra (2011)",794.146,-1012.854,0.316029669776337,0.81492821689445,0.403655116219133,0,0.301403180511272,1.87612191128508
"73","Ercin & Hoekstra (2014)","2050","Ercin & Hoekstra (2014)","Agriculture","S2","Water Footprint Network - Mekonnen & Hoekstra (2011)",794.146,-1012.854,0.674921180804688,1.37349786318452,0.922057661115284,0,0.302539970903512,1.79118201452139
"74","Ercin & Hoekstra (2014)","2050","Ercin & Hoekstra (2014)","Agriculture","S3","Water Footprint Network - Mekonnen & Hoekstra (2011)",794.146,-1012.854,0.434422591281834,-0.115491395419338,0.694709210912892,0,0,-2.00770337092422
"75","Ercin & Hoekstra (2014)","2050","Ercin & Hoekstra (2014)","Agriculture","S4","Water Footprint Network - Mekonnen & Hoekstra (2011)",794.146,-1012.854,0.679210490100551,0.0144048487071307,0.909013634208459,0,0,-0.940502350772445
"155","Muller et al. (2017)","2050","SOLm","Agriculture","0Conc_0Org","FAO AQUASTAT 2013",1371.32,-435.68,0.225258979865316,-1,0.697522384370079,0.282926829268293,0,-1.77313988356451
"160","Muller et al. (2017)","2050","SOLm","Agriculture","0Conc_0Org_W50","FAO AQUASTAT 2013",1371.32,-435.68,0.0609488596245458,-1,0.501533607876281,0.292682926829268,0,-2.19112770949682
"170","Muller et al. (2017)","2050","SOLm","Agriculture","0Conc_0Org_W50_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.0356574399977141,-1,0.501829932001612,0.331707317073171,0,-2.64156063793318
"173","Muller et al. (2017)","2050","SOLm","Agriculture","0Conc_40Org_W50_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.0369654294671203,-1,0.498511101797906,0.251219512195122,0,-2.2523801437349
"174","Muller et al. (2017)","2050","SOLm","Agriculture","0Conc_20Org_W50_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.03603032100023,-1,0.500229781724826,0.290243902439024,0,-2.44518603581385
"195","Muller et al. (2017)","2050","SOLm","Agriculture","100Conc_0Org","FAO AQUASTAT 2013",1371.32,-435.68,0.462495494358803,0.412419583976214,0.474093993870648,0.326829268292683,0,1.62687272181714
"196","Muller et al. (2017)","2050","SOLm","Agriculture","100Conc_80Org","FAO AQUASTAT 2013",1371.32,-435.68,0.464069311510645,0.49828400589497,0.462300293682482,0.373170731707317,0,1.48890762581952
"197","Muller et al. (2017)","2050","SOLm","Agriculture","100Conc_60Org","FAO AQUASTAT 2013",1371.32,-435.68,0.464092235145142,0.597447774553055,0.466211772136848,0.170731707317073,0,2.29637937375781
"198","Muller et al. (2017)","2050","SOLm","Agriculture","100Conc_40Org","FAO AQUASTAT 2013",1371.32,-435.68,0.464541432327336,0.543370474836926,0.469530602340553,0.209756097560976,0,2.13209640865629
"200","Muller et al. (2017)","2050","SOLm","Agriculture","100Conc_0Org_W50","FAO AQUASTAT 2013",1371.32,-435.68,0.462495494358803,0.412419583976214,0.474093993870648,0.327190791219512,0,1.62529827607763
"201","Muller et al. (2017)","2050","SOLm","Agriculture","100Conc_80Org_W50","FAO AQUASTAT 2013",1371.32,-435.68,0.296320599962589,0.291825440080487,0.266489311663882,0.391242917560976,0,1.09095747681599
"202","Muller et al. (2017)","2050","SOLm","Agriculture","100Conc_60Org_W50","FAO AQUASTAT 2013",1371.32,-435.68,0.29582163855124,0.376277406749596,0.271586086619572,0.180659011219512,0,1.92629089592394
"205","Muller et al. (2017)","2050","SOLm","Agriculture","100Conc_80Org_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.454320553092769,0.509513558813245,0.45939631725424,0.34574398902439,0,1.51711249289083
"206","Muller et al. (2017)","2050","SOLm","Agriculture","100Conc_60Org_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.448698217995794,0.609689484582772,0.462833677108077,0.145050182195122,0,2.25785966161654
"207","Muller et al. (2017)","2050","SOLm","Agriculture","100Conc_40Org_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.444003483239744,0.554551216241457,0.465856183186451,0.178049392926829,0,2.06586748979592
"209","Muller et al. (2017)","2050","SOLm","Agriculture","100Conc_0Org_W50_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.462495494358803,0.412419583976214,0.474093993870648,0.327190791219512,0,1.62529827607763
"210","Muller et al. (2017)","2050","SOLm","Agriculture","100Conc_80Org_W50_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.296727177856316,0.300966495005244,0.262992686984979,0.361852317560976,0,1.24476438328329
"211","Muller et al. (2017)","2050","SOLm","Agriculture","100Conc_60Org_W50_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.289214092603929,0.386989914066595,0.26761534334014,0.153169848292683,0,1.99737106646432
"375","Weindl et al. (2017b)","2050","MAgPIE 3","Agriculture","SSP2-Catch up+Static WP","LPJmL",1160.62780062024,-646.37219937976,0.399001519287015,0.388166471704311,0.255704439103749,0.307143527920352,0,1.63293209403387
