"","Study","ScenYear","Model","Scope","Scenario..author.code.","Water.scope","Initial_condition","Delta_initial","Water","Population","Rum_meat_kcal","Non_rum_kcal","Dairy_kcal","Vegetal_kcal","Yield","FCR_FCF_ruminants","FCR_FCF_monogastrics","WUEinc","rstand"
"140","Muller et al. (2017)",2050,"SOLm","Agriculture","0Conc_60Org_W50_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.0392468570428492,0.369906431404335,-0.483992467043315,-0.926019124308002,-0.463335496430889,0.0925805753839499,0.209756097560976,-1,-1,0,-1.84703967307939
"141","Muller et al. (2017)",2050,"SOLm","Agriculture","0Conc_40Org_W50_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.0376571478575387,0.369906431404335,-0.48210922787194,-0.926019124308002,-0.45944192083063,0.0938784339173697,0.251219512195122,-1,-1,0,-1.8723766266986
"142","Muller et al. (2017)",2050,"SOLm","Agriculture","0Conc_20Org_W50_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.03668727940962,0.369906431404335,-0.480225988700565,-0.926019124308002,-0.45619727449708,0.0951330304996756,0.290243902439024,-1,-1,0,-1.89131179898338
"163","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_0Org","FAO AQUASTAT 2013",1371.32,-435.68,0.588031969197562,0.369906431404335,0.246704331450094,0.181177654755913,0.255029201817002,0.0760545100584038,0.326829268292683,-0.14304571539501,-0.128557752052953,0,2.02783322165928
"164","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_80Org","FAO AQUASTAT 2013",1371.32,-435.68,0.590533208879036,0.369906431404335,0.205273069679849,0.286361348766986,0.206359506813757,0.0674453817867187,0.373170731707317,-0.141644085489982,-0.144941053760594,0,1.94597540521941
"165","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_60Org","FAO AQUASTAT 2013",1371.32,-435.68,0.590569670098883,0.369906431404335,0.210922787193974,0.258178158027177,0.214146658014276,0.0703006705602423,0.170731707317073,-0.0679862956756881,-0.0695759626582128,0,1.96838568063906
"166","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_40Org","FAO AQUASTAT 2013",1371.32,-435.68,0.591284310007876,0.369906431404335,0.216572504708098,0.234021137393055,0.222582738481506,0.0727233398226259,0.209756097560976,-0.0874770733742752,-0.084895521705497,0,1.99428321391476
"167","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_20Org","FAO AQUASTAT 2013",1371.32,-435.68,0.592451069042966,0.369906431404335,0.222222222222222,0.212380473074987,0.231018818948735,0.0747999134760977,0.246341463414634,-0.106167531302313,-0.0996428711825526,0,2.02334134454594
"168","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_0Org_W50","FAO AQUASTAT 2013",1371.32,-435.68,0.588031969197562,0.369906431404335,0.246704331450094,0.181177654755913,0.255029201817002,0.0760545100584038,0.327190791219512,-0.14304571539501,-0.128557752052953,0,2.02783322165928
"173","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_80Org_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.575102820639967,0.369906431404335,0.163841807909604,0.304479114242577,0.165476963011032,0.0653255461821327,0.34574398902439,-0.141644085423298,-0.147729312199506,0,1.774601091316
"174","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_60Org_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.566271913193128,0.369906431404335,0.169491525423729,0.27730246602919,0.173264114211551,0.0678347393467447,0.145050182195122,-0.0679862957160899,-0.0734037900834139,0,1.71408067738082
"175","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_40Org_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.558935915759998,0.369906431404335,0.175141242937853,0.252138902868646,0.18105126541207,0.0700410988535582,0.178049392926829,-0.0874770734582249,-0.0885332334377028,0,1.66704713094913
"176","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_20Org_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.552825015313712,0.369906431404335,0.180790960451978,0.229491696024157,0.189487345879299,0.07190136275146,0.210863377073171,-0.106167531300153,-0.103534640329026,0,1.63033162515451
"177","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_0Org_W50_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.588031969197562,0.369906431404335,0.246704331450094,0.181177654755913,0.255029201817002,0.0760545100584038,0.327190791219512,-0.14304571539501,-0.128557752052953,0,2.02783322165928
"268","Weindl et al. (2017)",2050,"MAgPIE 3","Agriculture","SSP2-Baseline+Static WP","LPJmL",1022.59777602863,-784.40222397137,0.611996937775531,0.337285016232746,0.375,0.462121212121212,0.4625,0.0425146992311172,0.39821596,0.380336202452998,-0.122019183778459,-0.0171945704441513,2.21490373745671
"271","Weindl et al. (2017)",2050,"MAgPIE 3","Agriculture","SSP2-Moderation+Static WP","LPJmL",1022.59777602863,-784.40222397137,0.552363732536952,0.337285016232746,0.375,0.462121212121212,0.4625,0.0425146992311172,0.40906935,0.171206956905334,-0.0848145157268791,-0.0241108631001125,1.54238301678588
"276","Weindl et al. (2017)",2050,"MAgPIE 3","Agriculture","DEMI-Baseline + YIELD","LPJmL",1022.59777602863,-784.40222397137,0.157180101640452,0.337285016232746,-0.125,-0.231060606060606,0.04375,0.171867933061963,0.35577975,0.19518078033926,-0.0600013219447556,0.0178031460784944,-1.70783121853412
"277","Weindl et al. (2017)",2050,"MAgPIE 3","Agriculture","DEMI-Divergence + YIELD","LPJmL",1022.59777602863,-784.40222397137,0.122635858787179,0.337285016232746,-0.125,-0.231060606060606,0.04375,0.171867933061963,0.34535062,0.0925260583884,-0.00832729037943913,0.0204712984163788,-1.99440704338554
"586","Willet et al. (2019)",2050,"EAT-Lancet","Food","SSP3_VGN_full_w_BMK, 2100kcal","IMPACT 3",1807.07799547358,0.0779954735799038,0.692496116194735,0.451729292533838,-1,-1,-1,0.0533433401617931,0,-1,-1,0,1.97203747155613
"616","Willet et al. (2019)",2050,"EAT-Lancet","Food","SSP2_VGN_full_w_BMK, 2500kcal","IMPACT 3",1807.07799547358,0.0779954735799038,0.799061051677518,0.337088042642992,-1,-1,-1,0.279381256989779,0,-1,-1,0,2.16204708520832
