"","Study","ScenYear","Model","Scope","Scenario..author.code.","Cropland.scope","Initial_condition","Delta_initial","C_price_cat","Cropland","Population","Rum_meat_kcal_FCR_FCF","Non_rum_kcal_FCR_FCF","Dairy_kcal_FCR_FCF","Vegetal_kcal","Yield","C_price","rstand"
"275","Muller et al. (2017)",2050,"SOLm","Agriculture","0Conc_100Org_W50","Agriculture",1354.61,-164.39,"No",-0.0960929991755076,0.369906431404335,-1,-1,-1,0.0897252866104261,0.102439024390244,0,-2.45218993309158
"294","Muller et al. (2017)",2050,"SOLm","Agriculture","50Conc_100Org","Agriculture",1354.61,-164.39,"No",0.209507621673347,0.369906431404335,-0.664006985706827,-0.954644714056145,-0.656856166004131,0.175816569327277,0.346341463414634,0,2.14637105467041
"300","Muller et al. (2017)",2050,"SOLm","Agriculture","50Conc_100Org_W50","Agriculture",1354.61,-164.39,"No",0.0955443694070415,0.369906431404335,-0.666392678478789,-0.789164281199122,-0.642997676139899,0.0282500540774391,0.363414634146342,0,1.89685078121067
"321","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_100Org_W50","Agriculture",1354.61,-164.39,"No",0.306322631274579,0.369906431404335,-0.094545997046927,0.0708841969427114,-0.00202544589306441,-0.0798615617564352,0.150536425853659,0,1.58801196416563
"329","Searchinger et al. (2018)",2050,"GlobAgri-WRR","Agriculture","BAU","Agriculture",1547,28,"No",0.116992663781217,0.4,0.486369038906686,-0.0113219426418574,0.725490895384825,0.0939115524024736,0.260944706777517,0,0.471493947478254
"331","Searchinger et al. (2018)",2050,"GlobAgri-WRR","Agriculture","Highly ambitious","Agriculture",1547,28,"No",-0.123699013849117,0.328571428571429,-0.029511831078367,-0.0228382223215635,0.641496543414954,0.0618370464613462,0.318432671081678,0,-0.78197857073468
"523","Stevanovic et al. (2017)",2050,"MAgPIE 3","Agriculture","Incentive-based mitigation","Agriculture",1565.47,46.47,"Yes",0.033227192403235,0.337285016232746,0.915087288156138,0.0678117771499107,-1,0.0675296205627642,0.596460913526497,129.6582713,1.35635892066534
"526","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-high yield_Diet-RICH+bau (0.7+G+HY+RICH+bau)","Agriculture",1341.34687562195,-177.65312437805,"No",0.298972816044492,0.535202016862291,2.20897783096225,1.16289636375187,2.87088186487867,0.17208204675783,0.539325842696629,0,-1.36453721331781
"528","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-FAO yield_Diet-RICH+bau (0.7+G+FAO+RICH+bau)","Agriculture",1341.34687562195,-177.65312437805,"No",0.369204436321672,0.535202016862291,2.20897783096225,1.16289636375187,2.87088186487867,0.17208204675783,0.411985018726592,0,-1.66106732829224
"530","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-yield gap closed_Diet-RICH+mono (0.7+G+YGC+RICH+mono)","Agriculture",1341.34687562195,-177.65312437805,"No",0.430952227368576,0.535202016862291,-1,4.05322077717177,-1,0.17208204675783,0.771535580524345,0,1.27341046490429
