"","Study","ScenYear","Model","Scope","Scenario..author.code.","Initial_condition","Delta_initial","Pfert","All_feed_water","Plant_food_water","Yield","PUEinc","PrecHousehold","rstand"
"56","Bouwman et al. (2009)",2030,"IMAGE 2.4","Agriculture","GO",13.85,-4,0.654879082117215,1.42452077209948,0.536707056307912,0.341388734784937,-0.0306980005568331,0,1.13353705329201
"57","Bouwman et al. (2009)",2030,"IMAGE 2.4","Agriculture","OS",13.85,-4,0.57446121030497,1.38810139106977,0.392322574075959,0.191062634437471,-0.0147529544583104,0,1.53787799963769
"58","Bouwman et al. (2009)",2030,"IMAGE 2.4","Agriculture","TG",13.85,-4,0.485230076577027,1.17057171768053,0.469504123816312,0.312288420358729,0.0476710972704868,0,0.909650798682399
"60","Bouwman et al. (2009)",2050,"IMAGE 2.4","Agriculture","GO",13.85,-4,0.857559623089093,2.91314087592971,0.811831789023521,0.579887457338432,-0.0513214473534962,0,-1.60231313065984
"62","Bouwman et al. (2009)",2050,"IMAGE 2.4","Agriculture","AM",13.85,-4,0.621020778297144,1.93646527024681,0.544445575806944,0.569174909989264,0.0403546705401592,0.0824222898714771,1.64317525897651
"71","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Diet)",17.88,0.0299999999999976,0.074866712680907,-0.0980362480850276,0.747332141530787,0,0.0569715142428784,0,-1.81177216706867
"73","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Yield)",17.88,0.0299999999999976,0.5392761036983,0.789686253966565,0.548581554140418,0.5,0.0254872563718141,0,2.36261838287421
"75","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Loss)",17.88,0.0299999999999976,0.0701852997099241,0.789686253966565,0.548581554140418,0,0.146926536731634,0,-1.25828146934366
"76","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+All)",17.88,0.0299999999999976,-0.0272125635248848,-0.395660230181961,0.557994025442972,0.5,0.0629685157421288,0,-2.1720258375114
"85","Mogollon et al. (2018b)",2020,"IMAGE-DPPS","Agriculture","SSP1",17.3584449690543,-0.491555030945705,0.0237654195338456,0.0981559593507448,0.122241597942263,0.169811320754717,0.041114070952479,0,-1.37706208099138
"102","Mogollon et al. (2018b)",2050,"IMAGE-DPPS","Agriculture","SSP3",17.3584449690543,-0.491555030945705,0.42511583333625,1.26421109305604,0.523119091798664,0.318534309009336,0.0255454816662325,0,-1.47530457345381
"104","Mogollon et al. (2018b)",2050,"IMAGE-DPPS","Agriculture","SSP5",17.3584449690543,-0.491555030945705,0.404411163477278,0.583907967912301,0.405216727406846,0.478020781241123,0.135437781100238,0,1.44080151428107
"105","Odegard & van der Voet (2014)",2050,"Odegard & van der Voet (2014)","Agriculture","A1",20.625,2.775,0.834225778819851,2.60359676166091,0.403016645946405,0.336479336479336,0.1,0,2.57677524432318
"107","Odegard & van der Voet (2014)",2050,"Odegard & van der Voet (2014)","Agriculture","B1",20.625,2.775,0.0415490029128725,-0.377157608505375,0.418337835673338,0.336479336479336,0.15,0,-1.19447596530031
"108","Odegard & van der Voet (2014)",2050,"Odegard & van der Voet (2014)","Agriculture","B2",20.625,2.775,0.229667677391153,0.600025319576484,0.568407889343496,0.0106733239263359,0.15,0,-1.0617380314248
"131","Springmann et al. (2018)",2050,"EAT-Lancet","Food","BMK + QW + BAU + SSP3",17.8487687210036,-0.00123127899640352,0.154840495431704,0.639813974948365,0.467298594844094,0,0,0,-2.78404569036173
"149","Springmann et al. (2018)",2050,"EAT-Lancet","Food","TECH + HW + BAU + SSP3",17.8487687210036,-0.00123127899640352,0.171383898540956,0.688192786926756,0.539769602274787,0.420351434660392,0.0970744462842434,0,-2.64296993378731
"176","Springmann et al. (2018)",2050,"EAT-Lancet","Food","TECH_p + HW + BAU + SSP3",17.8487687210036,-0.00123127899640352,-0.521763282018989,0.688192786926756,0.539769602274787,0.529577464788732,0.0970744462842434,0.5,-2.55770357352748
