"","Study","ScenYear","Model","Scope","Scenario..author.code.","Pasture.scope","Initial_condition","Delta_initial","C_price_cat","Pasture","Rum_meat_grass_feed","Dairy_grass_feed","Mon_grass_feed","C_price","rstand"
"1","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","CT1","FAO - Permanent meadows and pastures",3280,2.99999999999955,"No",0.13109756097561,0.813084470223265,0.632561437615693,0.243009788670586,0,-1.15582367430462
"4","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","YG1","FAO - Permanent meadows and pastures",3280,2.99999999999955,"No",0.149390243902439,0.813084470223265,0.632561437615693,0.243009788670586,0,-1.03911050737664
"8","CIRAD (2016)",2050,"GlobAgri-AgT","Agriculture","Metropolitization_Animp","FAO - Permanent meadows and pastures",3337.74,60.7399999999998,"No",0.20911754660339,0.662050917233198,0.600051336654963,0.260179971516898,0,-1.93268954742677
"14","CIRAD (2016)",2050,"GlobAgri-AgT","Agriculture","Communities_collapse","FAO - Permanent meadows and pastures",3337.74,60.7399999999998,"No",0.436933374079467,0.105258794675899,0.321588994114788,0.507922993141012,0,2.1033776567297
"15","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Waste)","FAO - Permanent meadows and pastures",3306.56753465931,29.5675346593061,"No",0.59229300925875,0.626171253207116,0.528344962860542,0.428854702192868,0,1.48657157149362
"17","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Feed)","FAO - Permanent meadows and pastures",3306.56753465931,29.5675346593061,"No",0.336192140400502,0.361134466739601,0.278819254638413,0.0716422251049993,0,1.12704982918188
"18","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Yield)","FAO - Permanent meadows and pastures",3306.56753465931,29.5675346593061,"No",0.187726347022668,0.814845955652802,0.705092339517884,0.428856300139999,0,-2.00163213782384
"19","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+All)","FAO - Permanent meadows and pastures",3306.56753465931,29.5675346593061,"No",-0.595549096882483,-0.387725661361061,-0.422971799736326,0.0716297136909507,0,-1.21796231076038
"110","FOLU (2019)",2040,"GLOBIOM","Agriculture","TRANS_noCprice","FAO - Permanent meadows and pastures",3490.858,213.858,"Yes",-0.10277072284235,-0.42766510230859,0.49950508269287,0.378876517670421,0.414,1.35188653660921
"111","FOLU (2019)",2050,"GLOBIOM","Agriculture","scenBASE","FAO - Permanent meadows and pastures",3490.858,213.858,"Yes",0.0327652972421106,0.313051306782891,0.666391407224311,0.474583829499429,0.414,-1.1403366993221
"112","FOLU (2019)",2050,"GLOBIOM","Agriculture","TRANS_noCprice","FAO - Permanent meadows and pastures",3490.858,213.858,"Yes",-0.186159964111975,-0.598930571205871,0.418780821944217,0.470546042018058,0.414,1.61230118122257
"116","Odegard & van der Voet (2014)",2050,"Odegard & van der Voet (2014)","Agriculture","A1","FAO - other",2285.71428571429,-991.285714285714,"No",-0.43125,-0.103372476197861,0.133030278461055,0.0569097496080817,0,-1.25017400792064
"118","Searchinger et al. (2018)",2050,"GlobAgri-WRR","Agriculture","No productivity gains after 2010","FAO - Permanent meadows and pastures",3322,45,"No",0.661950632149308,0.862967953743291,0.674696740582215,0.4,0,1.04102616323516
"287","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-rough_Crop-FAO yield_Diet-MEAT+bau (0.7+R+FAO+MEAT+bau)","‘Grassland’ category by IPCC",2923.13305143056,-353.86694856944,"No",0.660447853245896,0.332169422220221,4.1550963503867,0.284526478813642,0,1.23775840814816
"295","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-rough_Crop-organic yields_Diet-VEGET+rumi (0.7+R+Org+VEGET+rumi)","‘Grassland’ category by IPCC",2923.13305143056,-353.86694856944,"No",-0.0508848036724727,-1,5.04173707789688,0.284526478813642,0,2.27832732142996
