"","Study","ScenYear","Model","Scope","Scenario..author.code.","Cropland.scope","Initial_condition","Delta_initial","C_price_cat","Cropland","Rum_meat_crop_feed","Dairy_crop_feed","Mon_feed","Plant_food","C_price"
"280","Muller et al. (2017)",2050,"SOLm","Agriculture","0Conc_20Org_W50","Agriculture",1354.61,-164.39,"No",-0.280285463905274,-1,-1,-1,0.196634069900586,0
"293","Muller et al. (2017)",2050,"SOLm","Agriculture","50Conc_0Org","Agriculture",1354.61,-164.39,"No",-0.0775579962104651,-0.545966302047425,-0.535788874401251,-0.935145749619995,0.481995837962635,0
"299","Muller et al. (2017)",2050,"SOLm","Agriculture","50Conc_0Org_W50","Agriculture",1354.61,-164.39,"No",-0.195278210749958,-0.528911907421576,-0.485587436725176,-0.735928902246339,0.298401038786003,0
"306","Muller et al. (2017)",2050,"SOLm","Agriculture","50Conc_60Org_CCyes","Agriculture",1354.61,-164.39,"No",0.491029758540835,-0.450744047503393,-0.436494971322744,-0.634220223579943,0.388949614164565,0
"307","Muller et al. (2017)",2050,"SOLm","Agriculture","50Conc_40Org_CCyes","Agriculture",1354.61,-164.39,"No",0.432166121254167,-0.472719399498271,-0.45926825081171,-0.653903752968475,0.352521476738454,0
"310","Muller et al. (2017)",2050,"SOLm","Agriculture","50Conc_80Org_W50_CCyes","Agriculture",1354.61,-164.39,"No",0.436841551300015,-0.526118602085624,-0.490825784570473,-0.669419764695376,0.243616912725445,0
"311","Muller et al. (2017)",2050,"SOLm","Agriculture","50Conc_60Org_W50_CCyes","Agriculture",1354.61,-164.39,"No",0.373133204832842,-0.546557590761653,-0.51277662344013,-0.688421960299404,0.20899377051932,0
"312","Muller et al. (2017)",2050,"SOLm","Agriculture","50Conc_40Org_W50_CCyes","Agriculture",1354.61,-164.39,"No",0.313610709189788,-0.566733498518684,-0.533196147732723,-0.706155936002191,0.176238479885643,0
"313","Muller et al. (2017)",2050,"SOLm","Agriculture","50Conc_20Org_W50_CCyes","Agriculture",1354.61,-164.39,"No",0.25768380365578,-0.583616182293532,-0.551343140786057,-0.721414168727501,0.147363499556091,0
"316","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_80Org","Agriculture",1354.61,-164.39,"No",0.341923343046054,-0.00660344586676431,0.0374928879427796,0.0973000628758163,0.0649078515272068,0
"322","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_80Org_W50","Agriculture",1354.61,-164.39,"No",0.231235570180814,-0.186474484302771,-0.10880942140451,-0.0654172525189719,-0.0896706134654057,0
"327","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_40Org_W50_CCyes","Agriculture",1354.61,-164.39,"No",0.492054790634612,-0.0157861563943663,0.0888296388781999,0.136599428768413,0.0718157757711824,0
"328","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_20Org_W50_CCyes","Agriculture",1354.61,-164.39,"No",0.428753337053325,-0.0550975649431558,0.0447876829960354,0.067901864385163,0.0458621614649006,0
"331","Searchinger et al. (2018)",2050,"GlobAgri-WRR","Agriculture","Highly ambitious","Agriculture",1547,28,"No",-0.123699013849117,-0.0220487695150515,0.654119664594358,-0.0153238406550293,0.0700025816030632,0
"332","Searchinger et al. (2018)",2050,"GlobAgri-WRR","Agriculture","Breakthrough technologies","Agriculture",1547,28,"No",-0.260685002947771,-0.154130589229378,0.430890322784836,-0.147878094201914,-0.0698514797004958,0
"341","Springmann et al. (2018)",2050,"EAT-Lancet","Food","BMK + HW + BAU + SSP3","Food crops",1262.12729705963,-256.872702940368,"No",0.360541737604062,0.759340785511364,0.554560407423081,0.689642770812051,0.539769602274787,0
"350","Springmann et al. (2018)",2050,"EAT-Lancet","Food","BMK + QW + BAU + SSP3","Food crops",1262.12729705963,-256.872702940368,"No",0.278448901452404,0.727219573219837,0.53422111014792,0.711159315703535,0.467298594844094,0
"528","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-FAO yield_Diet-RICH+bau (0.7+G+FAO+RICH+bau)","Agriculture",1341.34687562195,-177.65312437805,"No",0.369204436321672,2.48900956654806,3.20867471480453,1.35164170714119,0.274363890725617,0
"530","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-yield gap closed_Diet-RICH+mono (0.7+G+YGC+RICH+mono)","Agriculture",1341.34687562195,-177.65312437805,"No",0.430952227368576,-1,-1,3.3790905551377,0.0157192110011786,0
"531","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-FAO yield_Diet-RICH+mono (0.7+G+FAO+RICH+mono)","Agriculture",1341.34687562195,-177.65312437805,"No",0.471779648335861,-1,-1,4.49419053734783,0.274363890725617,0
"532","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-high yield_Diet-BAU+rumi (0.7+G+HY+BAU+rumi)","Agriculture",1341.34687562195,-177.65312437805,"No",0.210392594303449,2.82479382940159,1.96272819105628,-1,0.11701713763889,0
"533","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-yield gap closed_Diet-BAU+rumi (0.7+G+YGC+BAU+rumi)","Agriculture",1341.34687562195,-177.65312437805,"No",0.245610552287966,2.32344664668933,1.57437904127723,-1,-0.0293994850537339,0
"534","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-FAO yield_Diet-BAU+rumi (0.7+G+FAO+BAU+rumi)","Agriculture",1341.34687562195,-177.65312437805,"No",0.291859889630838,3.16973544796831,2.22992383693403,-1,0.217756083738949,0
"548","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-yield gap closed_Diet-MEAT+mono (0.7+G+YGC+MEAT+mono)","Agriculture",1341.34687562195,-177.65312437805,"No",0.204406511599638,-1,-1,2.07349734357848,-0.243112180160233,0
"550","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-high yield_Diet-VEGET+rumi (0.7+G+HY+VEGET+rumi)","Agriculture",1341.34687562195,-177.65312437805,"No",-0.284496484952221,-1,2.69342842691897,-1,0.00318088413941831,0
"552","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-FAO yield_Diet-VEGET+rumi (0.7+G+FAO+VEGET+rumi)","Agriculture",1341.34687562195,-177.65312437805,"No",-0.203175617410885,-1,3.02652276780821,-1,0.0936534307196311,0
"553","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-organic yields_Diet-VEGET+rumi (0.7+G+Org+VEGET+rumi)","Agriculture",1341.34687562195,-177.65312437805,"No",0.0177365658078539,-1,4.07692001158426,-1,0.378954325689969,0
"554","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-high yield_Diet-VEGET+bau (0.7+G+HY+VEGET+bau)","Agriculture",1341.34687562195,-177.65312437805,"No",-0.229770295381375,-1,2.18122188903483,-0.712261784502967,0.00318088413941831,0
"556","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-FAO yield_Diet-VEGET+bau (0.7+G+FAO+VEGET+bau)","Agriculture",1341.34687562195,-177.65312437805,"No",-0.148293331236316,-1,2.46812253685229,-0.686311918914375,0.0936534307196311,0
"557","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-organic yields_Diet-VEGET+bau (0.7+G+Org+VEGET+bau)","Agriculture",1341.34687562195,-177.65312437805,"No",0.0713715700545043,-1,3.37285015516159,-0.60448024558769,0.378954325689969,0
"563","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-rough_Crop-yield gap closed_Diet-RICH+mono (0.7+R+YGC+RICH+mono)","Agriculture",1341.34687562195,-177.65312437805,"No",0.344007797990703,-1,-1,2.25524297850105,0.0157192110011786,0
"577","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-rough_Crop-yield gap closed_Diet-MEAT+mono (0.7+R+YGC+MEAT+mono)","Agriculture",1341.34687562195,-177.65312437805,"No",0.110676914340907,-1,-1,1.28471654585615,-0.243112180160233,0
"580","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-rough_Crop-high yield_Diet-VEGET+rumi (0.7+R+HY+VEGET+rumi)","Agriculture",1341.34687562195,-177.65312437805,"No",-0.357327819698622,-1,0.354363519371103,-1,0.00318088413941831,0
"581","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-rough_Crop-FAO yield_Diet-VEGET+rumi (0.7+R+FAO+VEGET+rumi)","Agriculture",1341.34687562195,-177.65312437805,"No",-0.279238932421732,-1,0.476507709447011,-1,0.0936534307196311,0
"582","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-rough_Crop-organic yields_Diet-VEGET+rumi (0.7+R+Org+VEGET+rumi)","Agriculture",1341.34687562195,-177.65312437805,"No",-0.0706907017051436,-1,0.861683633650579,-1,0.378954325689969,0
"594","Tilman & Clark (2014)",2050,"Tilman & Clark (2014)","Food","BAU-2050 - all measures","Agriculture",1549.1997,30.1996999999999,"No",-0.0327005848131865,-0.249267856857487,-0.143053803585563,0.0119708865939441,-0.0974903778120743,0
"595","Tilman & Clark (2014)",2050,"Tilman & Clark (2014)","Food","Med - all measures","Agriculture",1549.1997,30.1996999999999,"No",-0.279361848515603,-0.743669488993837,0.0316465442633334,-0.417912835867009,-0.338457499432965,0
"596","Tilman & Clark (2014)",2050,"Tilman & Clark (2014)","Food","Pesc - all measures","Agriculture",1549.1997,30.1996999999999,"No",-0.296641215871685,-1,-0.290662100054822,-0.318777282533569,-0.319908955292004,0
"597","Tilman & Clark (2014)",2050,"Tilman & Clark (2014)","Food","Veg - all measures","Agriculture",1549.1997,30.1996999999999,"No",-0.263207796782322,-1,0.0132011700403067,-0.806836829729775,-0.275739400539066,0
"664","Weindl et al. (2017)",2050,"MAgPIE 3","Agriculture","SSP2-Catch up+Static WP","Agriculture",1389,-130,"No",0.352490535553469,0.846748545270541,1.31592201986908,0.19611897071018,-0.0105956910607981,0
