"","Study","ScenYear","Model","Scope","Scenario..author.code.","Water.scope","Initial_condition","Delta_initial","Water","Population","Rum_meat_kcal","Non_rum_kcal","Dairy_kcal","Vegetal_kcal","Yield","FCR_FCF_ruminants","FCR_FCF_monogastrics","WUEinc","rstand"
"154","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_80Org_W50","FAO AQUASTAT 2013",1371.32,-435.68,0.344901263016655,0.369906431404335,-0.00188323917137478,0.109209864116759,0.0616482803374432,-0.0754921046939216,0.391242917560976,-0.14834574691062,-0.144310705773779,0,1.25887483199183
"155","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_60Org_W50","FAO AQUASTAT 2013",1371.32,-435.68,0.344230376571478,0.369906431404335,0.00376647834274935,0.0840463009562156,0.0687865022712524,-0.0717715768981182,0.180659011219512,-0.0751796513578938,-0.0689185250945552,0,1.25834462747025
"156","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_40Org_W50","FAO AQUASTAT 2013",1371.32,-435.68,0.344223084327509,0.369906431404335,0.00753295668549914,0.0629089079013589,0.0765736534717716,-0.0686134544667965,0.218783395121951,-0.0945030219749513,-0.0842458803383089,0,1.26282992163528
"157","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_20Org_W50","FAO AQUASTAT 2013",1371.32,-435.68,0.344667911209638,0.369906431404335,0.0131826741996233,0.0442878711625567,0.0837118754055808,-0.0658879515466149,0.256357512926829,-0.113112193994878,-0.0990189700291408,0,1.27396361282348
"158","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_80Org_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.575102820639967,0.369906431404335,0.163841807909604,0.304479114242577,0.165476963011032,0.0653255461821327,0.34574398902439,-0.141644085423298,-0.147729312199506,0,2.30536768748681
"159","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_60Org_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.566271913193128,0.369906431404335,0.169491525423729,0.27730246602919,0.173264114211551,0.0678347393467447,0.145050182195122,-0.0679862957160899,-0.0734037900834139,0,2.22447514400591
"160","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_40Org_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.558935915759998,0.369906431404335,0.175141242937853,0.252138902868646,0.18105126541207,0.0700410988535582,0.178049392926829,-0.0874770734582249,-0.0885332334377028,0,2.16060486972134
"161","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_20Org_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.552825015313712,0.369906431404335,0.180790960451978,0.229491696024157,0.189487345879299,0.07190136275146,0.210863377073171,-0.106167531300153,-0.103534640329026,0,2.1099369333527
"163","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_80Org_W50_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.345448181314354,0.369906431404335,-0.0357815442561205,0.124308002013085,0.0253082414016872,-0.0780445598096474,0.361852317560976,-0.148345747056424,-0.147114148754791,0,1.25653116661976
"164","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_60Org_W50_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.335377592392731,0.369906431404335,-0.0301318267419962,0.100654252642174,0.0324464633354964,-0.0746701276227557,0.153169848292683,-0.075179651179897,-0.0727708193063396,0,1.14691068868896
"255","Weindl et al. (2017)",2050,"MAgPIE 3","Agriculture","SSP2-Moderation+Static WP","LPJmL",1022.59777602863,-784.40222397137,0.552363732536952,0.337285016232746,0.375,0.462121212121212,0.4625,0.0425146992311172,0.40906935,0.171206956905334,-0.0848145157268791,-0.0241108631001125,1.9987272007956
"258","Weindl et al. (2017)",2050,"MAgPIE 3","Agriculture","DEMI-Catch up+Static WP","LPJmL",1022.59777602863,-784.40222397137,0.558656214705728,0.337285016232746,-0.125,-0.231060606060606,0.04375,0.171867933061963,0.29495581,0.386442521821052,-0.0840078542258719,-0.0267265265298606,1.77066905601078
"260","Weindl et al. (2017)",2050,"MAgPIE 3","Agriculture","DEMI-Baseline + YIELD","LPJmL",1022.59777602863,-784.40222397137,0.157180101640452,0.337285016232746,-0.125,-0.231060606060606,0.04375,0.171867933061963,0.35577975,0.19518078033926,-0.0600013219447556,0.0178031460784944,-2.02468396315749
"261","Weindl et al. (2017)",2050,"MAgPIE 3","Agriculture","DEMI-Divergence + YIELD","LPJmL",1022.59777602863,-784.40222397137,0.122635858787179,0.337285016232746,-0.125,-0.231060606060606,0.04375,0.171867933061963,0.34535062,0.0925260583884,-0.00832729037943913,0.0204712984163788,-2.37473799234291
"263","Weindl et al. (2017)",2050,"MAgPIE 3","Agriculture","DEMI-Moderation + YIELD","LPJmL",1022.59777602863,-784.40222397137,0.167373933429118,0.337285016232746,-0.125,-0.231060606060606,0.04375,0.171867933061963,0.35762835,0.275309857078788,-0.0356295700983977,0.0236608962158462,-1.78720427769497
"570","Willet et al. (2019)",2050,"EAT-Lancet","Food","SSP3_VGN_full_w_BMK, 2100kcal","IMPACT 3",1807.07799547358,0.0779954735799038,0.692496116194735,0.451729292533838,-1,-1,-1,0.0533433401617931,0,-1,-1,0,2.25381344815629
"600","Willet et al. (2019)",2050,"EAT-Lancet","Food","SSP2_VGN_full_w_BMK, 2500kcal","IMPACT 3",1807.07799547358,0.0779954735799038,0.799061051677518,0.337088042642992,-1,-1,-1,0.279381256989779,0,-1,-1,0,2.47848148188878
