"","Study","ScenYear","Model","Scope","Scenario..author.code.","Cropland.scope","Initial_condition","Delta_initial","C_price_cat","Cropland","Population","Rum_meat_kcal_FCR_FCF","Non_rum_kcal_FCR_FCF","Dairy_kcal_FCR_FCF","Vegetal_kcal","Yield","C_price"
"276","Muller et al. (2017)",2050,"SOLm","Agriculture","0Conc_0Org_W50","Agriculture",1354.61,-164.39,"No",-0.319846244645379,0.369906431404335,-1,-1,-1,0.0960847934241833,0.292682926829268,0
"277","Muller et al. (2017)",2050,"SOLm","Agriculture","0Conc_80Org_W50","Agriculture",1354.61,-164.39,"No",-0.146937282982384,0.369906431404335,-1,-1,-1,0.0913259788016438,0.139024390243903,0
"278","Muller et al. (2017)",2050,"SOLm","Agriculture","0Conc_60Org_W50","Agriculture",1354.61,-164.39,"No",-0.194210855134031,0.369906431404335,-1,-1,-1,0.0927103612372919,0.178048780487805,0
"279","Muller et al. (2017)",2050,"SOLm","Agriculture","0Conc_40Org_W50","Agriculture",1354.61,-164.39,"No",-0.238568901384099,0.369906431404335,-1,-1,-1,0.0939649578195976,0.217073170731708,0
"280","Muller et al. (2017)",2050,"SOLm","Agriculture","0Conc_20Org_W50","Agriculture",1354.61,-164.39,"No",-0.280285463905274,0.369906431404335,-1,-1,-1,0.0950897685485617,0.253658536585366,0
"293","Muller et al. (2017)",2050,"SOLm","Agriculture","50Conc_0Org","Agriculture",1354.61,-164.39,"No",-0.0775579962104651,0.369906431404335,-0.63865599916398,-0.948385561668201,-0.630556264627819,0.179450573220852,0.0902439024390245,0
"299","Muller et al. (2017)",2050,"SOLm","Agriculture","50Conc_0Org_W50","Agriculture",1354.61,-164.39,"No",-0.195278210749958,0.369906431404335,-0.624244471014475,-0.789368110573296,-0.589687432403201,0.0356478477179321,0.0926829268292686,0
"306","Muller et al. (2017)",2050,"SOLm","Agriculture","50Conc_60Org_CCyes","Agriculture",1354.61,-164.39,"No",0.491029758540835,0.369906431404335,-0.534513635571288,-0.690007003959832,-0.522437752483177,0.177114427860697,0.160975609756098,0
"307","Muller et al. (2017)",2050,"SOLm","Agriculture","50Conc_40Org_CCyes","Agriculture",1354.61,-164.39,"No",0.432166121254167,0.369906431404335,-0.540933194085371,-0.698677898423305,-0.52922220783337,0.177547047371837,0.192682926829268,0
"310","Muller et al. (2017)",2050,"SOLm","Agriculture","50Conc_80Org_W50_CCyes","Agriculture",1354.61,-164.39,"No",0.436841551300015,0.369906431404335,-0.607673311540555,-0.726312428472574,-0.578454367131548,0.0295911745619728,0.134146341463415,0
"311","Muller et al. (2017)",2050,"SOLm","Agriculture","50Conc_60Org_W50_CCyes","Agriculture",1354.61,-164.39,"No",0.373133204832842,0.369906431404335,-0.613292239018977,-0.734277950962148,-0.584482930558787,0.0310620808998487,0.168292682926829,0
"312","Muller et al. (2017)",2050,"SOLm","Agriculture","50Conc_40Org_W50_CCyes","Agriculture",1354.61,-164.39,"No",0.313610709189788,0.369906431404335,-0.619699172586482,-0.74207758899695,-0.590261673473229,0.0324464633354964,0.202439024390244,0
"316","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_80Org","Agriculture",1354.61,-164.39,"No",0.341923343046054,0.369906431404335,-0.00423631728170171,0.0999147793597999,0.0399650920808254,0.0674453817867187,0.373170731707317,0
"322","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_80Org_W50","Agriculture",1354.61,-164.39,"No",0.231235570180814,0.369906431404335,-0.173803709492295,-0.0508609942251682,-0.0949290022698694,-0.0754921046939216,0.391242917560976,0
