"","Study","ScenYear","Model","Scope","Scenario..author.code.","Water.scope","Initial_condition","Delta_initial","Water","All_feed_water","Plant_food_water","Yield","WPinc"
"73","Ercin & Hoekstra (2014)","2050","Ercin & Hoekstra (2014)","Agriculture","S2","Water Footprint Network - Mekonnen & Hoekstra (2011)",794.146,-1012.854,0.674921180804688,1.37349786318452,0.922057661115284,0,0.302539970903512
"74","Ercin & Hoekstra (2014)","2050","Ercin & Hoekstra (2014)","Agriculture","S3","Water Footprint Network - Mekonnen & Hoekstra (2011)",794.146,-1012.854,0.434422591281834,-0.115491395419338,0.694709210912892,0,0
"75","Ercin & Hoekstra (2014)","2050","Ercin & Hoekstra (2014)","Agriculture","S4","Water Footprint Network - Mekonnen & Hoekstra (2011)",794.146,-1012.854,0.679210490100551,0.0144048487071307,0.909013634208459,0,0
"160","Muller et al. (2017)","2050","SOLm","Agriculture","0Conc_0Org_W50","FAO AQUASTAT 2013",1371.32,-435.68,0.0609488596245458,-1,0.501533607876281,0.292682926829268,0
"170","Muller et al. (2017)","2050","SOLm","Agriculture","0Conc_0Org_W50_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.0356574399977141,-1,0.501829932001612,0.331707317073171,0
"174","Muller et al. (2017)","2050","SOLm","Agriculture","0Conc_20Org_W50_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.03603032100023,-1,0.500229781724826,0.290243902439024,0
"196","Muller et al. (2017)","2050","SOLm","Agriculture","100Conc_80Org","FAO AQUASTAT 2013",1371.32,-435.68,0.464069311510645,0.49828400589497,0.462300293682482,0.373170731707317,0
"197","Muller et al. (2017)","2050","SOLm","Agriculture","100Conc_60Org","FAO AQUASTAT 2013",1371.32,-435.68,0.464092235145142,0.597447774553055,0.466211772136848,0.170731707317073,0
"205","Muller et al. (2017)","2050","SOLm","Agriculture","100Conc_80Org_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.454320553092769,0.509513558813245,0.45939631725424,0.34574398902439,0
"206","Muller et al. (2017)","2050","SOLm","Agriculture","100Conc_60Org_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.448698217995794,0.609689484582772,0.462833677108077,0.145050182195122,0
"211","Muller et al. (2017)","2050","SOLm","Agriculture","100Conc_60Org_W50_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.289214092603929,0.386989914066595,0.26761534334014,0.153169848292683,0
"375","Weindl et al. (2017b)","2050","MAgPIE 3","Agriculture","SSP2-Catch up+Static WP","LPJmL",1160.62780062024,-646.37219937976,0.399001519287015,0.388166471704311,0.255704439103749,0.307143527920352,0
"583","Willet et al. (2019)","2030","EAT-Lancet","Food","SSP3_BMK_half_w_BMK, 2500kcal","IMPACT 3",2320.12589,513.12589,-0.0694624856644802,2.4849092483541,0.091903268376333,0,0
"584","Willet et al. (2019)","2030","EAT-Lancet","Food","SSP3_BMK_half_w_TECH, 2500kcal","IMPACT 3",2320.12589,513.12589,-0.289753575220439,2.4849092483541,0.091903268376333,0.228169014084507,0.171599
