"","Study","ScenYear","Model","Scope","Scenario..author.code.","Initial_condition","Delta_initial","Nsurplus","Rum_feed_water","Mon_feed_water","Plant_food_water","Yield","NUEinc","NrecHousehold","rstand"
"21","Beusen et al. (2022)",2040,"IMAGE-GNM ","Agriculture","SSP1",129.45208,-4.93791999999999,-0.0295585720405575,0.488091704484157,0.0937099613807635,0.374102278191823,0.463181397924936,0.111450127406859,0.1123334844333,-1.72543955975448
"26","Beusen et al. (2022)",2045,"IMAGE-GNM ","Agriculture","SSP1",129.45208,-4.93791999999999,-0.0642287916734198,0.470381879968023,0.0635403645489587,0.39710459777843,0.520538554206772,0.126436086080878,0.122557396348853,-2.03387154218112
"31","Beusen et al. (2022)",2050,"IMAGE-GNM ","Agriculture","SSP1",129.45208,-4.93791999999999,-0.0971613332534929,0.440103560982799,0.0341585896871286,0.420297708441982,0.569924179273859,0.141442942080729,0.13243639612914,-2.31136505389563
"38","Bodirsky et al. (2014)",2000,"MAgPIE 2","Agriculture","SSP2-Waste",151.9822,17.5922,0.0454023944940699,0.197485382702757,0.143073777759524,0.0844019092585662,0.119342922457217,0.122897939828231,0.0698280096937609,2.6229917777967
"41","Bodirsky et al. (2014)",2000,"MAgPIE 2","Agriculture","SSP2-All measures",151.9822,17.5922,0.0454023944940699,0.197485382702757,0.143073777759524,0.0844019092585662,0.119342922457217,0.122897939828231,0.0698280096937609,2.6229917777967
"87","Bodirsky et al. (2014)",2040,"MAgPIE 2","Agriculture","SSP2-Diet",151.9822,17.5922,0.285580936604774,1.85323478975263,0.452643909599333,0.825443751210319,0.618199055742029,0.00597713262026445,0,-2.05908719652675
"93","Bodirsky et al. (2014)",2040,"MAgPIE 2","Agriculture","SSP1-All measures",151.9822,17.5922,-0.387612131458003,0.600374145303515,-0.357946280935509,0.540848999744142,0.552705059798245,0.358554191474788,0,-2.40648685277829
"96","Bodirsky et al. (2014)",2050,"MAgPIE 2","Agriculture","SSP2-REF",151.9822,17.5922,0.425210253680869,3.79389488986456,1.52472415533243,0.776313108579529,0.885063355114471,0.0522219295010276,0,-2.16860579040578
"97","Bodirsky et al. (2014)",2050,"MAgPIE 2","Agriculture","SSP2-Diet",151.9822,17.5922,0.286029857077253,2.20590706431504,0.365394301208519,0.958499068433839,0.685193254410064,0.039409874071342,0,-2.56866872502616
"99","Bodirsky et al. (2014)",2050,"MAgPIE 2","Agriculture","SSP2-Efficiency (crops)",151.9822,17.5922,0.137044376975395,3.85441764754817,1.47728179726167,0.776313108579529,0.86169229963726,0.341217134727857,0,-1.8700309833107
"100","Bodirsky et al. (2014)",2050,"MAgPIE 2","Agriculture","SSP2-Efficiency (livestock)",151.9822,17.5922,0.299585537347107,2.55568298824406,0.937229621222816,0.776313108579529,0.708148476366073,0.0613520206544074,0,-1.95394797338825
"101","Bodirsky et al. (2014)",2050,"MAgPIE 2","Agriculture","SSP2-All measures",151.9822,17.5922,-0.278036813426264,1.14499046664319,-0.158139341024602,0.683095537370794,0.638460663057584,0.650495811159703,0.107972078479965,2.46029037382486
"123","Chang et al. (2021)",2020,"GLOBIOM","Agriculture","Scenario:NUE_CC:None_Nboundary:No_constrain",143.5708599,9.18085990000003,0.0894930498909353,-0.888684331177298,0.236679930593096,0.237920545283772,0.152476397515528,0.110795555555556,0.079,2.0925449910484
"124","Chang et al. (2021)",2020,"GLOBIOM","Agriculture","Scenario:Combined_CC:None_Nboundary:No_constrain",143.5708599,9.18085990000003,0.089487043322772,-0.887371721910191,0.241149725496295,0.148531674588541,0.152173913043478,0.111111111111111,0.07,2.65404824749407
"130","Chang et al. (2021)",2030,"GLOBIOM","Agriculture","Scenario:NUE_CC:None_Nboundary:No_constrain",143.5708599,9.18085990000003,-0.00324484308822841,-0.8657793688562,0.456334581112699,0.37622536997745,0.358989130434783,0.226688888888889,0.074586,1.64622576012377
"133","Chang et al. (2021)",2040,"GLOBIOM","Agriculture","Scenario:Manure_CC:None_Nboundary:No_constrain",143.5708599,9.18085990000003,0.130424721020637,0.356898427453864,0.659048508443784,0.501723279568461,0.438105900621118,0.0556555555555556,0.068653,-1.54387316927847
