"","Study","ScenYear","Model","Scope","Scenario..author.code.","Pasture.scope","Initial_condition","Delta_initial","Pasture","Rum_feed_grass","rstand"
"8","CIRAD (2016)",2050,"GlobAgri-AgT","Agriculture","Metropolitization_Animp","FAO - Permanent meadows and pastures",3337.74,60.7399999999998,0.20911754660339,0.644161656572278,-1.42279823015216
"14","CIRAD (2016)",2050,"GlobAgri-AgT","Agriculture","Communities_collapse","FAO - Permanent meadows and pastures",3337.74,60.7399999999998,0.436933374079467,0.167678367364904,2.10717114092293
"15","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","BAU","FAO - Permanent meadows and pastures",3306.56753465931,29.5675346593061,0.781589520534003,0.793184474574322,1.35932547394336
"16","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Waste)","FAO - Permanent meadows and pastures",3306.56753465931,29.5675346593061,0.59229300925875,0.606863804287024,1.05557475633312
"19","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Yield)","FAO - Permanent meadows and pastures",3306.56753465931,29.5675346593061,0.187726347022668,0.793184474574322,-2.23330360458885
"20","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Volat)","FAO - Permanent meadows and pastures",3306.56753465931,29.5675346593061,0.781589520534003,0.793184474574322,1.35932547394336
"21","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Loss)","FAO - Permanent meadows and pastures",3306.56753465931,29.5675346593061,0.781589520534003,0.793184474574322,1.35932547394336
"22","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+All)","FAO - Permanent meadows and pastures",3306.56753465931,29.5675346593061,-0.595549096882483,-0.394682002175989,-1.60744834943252
"51","Davis et al. (2016)",2035,"Davis et al. (2016)","Food","B","FAO - Permanent meadows and pastures",3363.81054,86.8105399999999,0.644219195115779,0.639449760279277,1.88604485073214
"55","Davis et al. (2016)",2040,"Davis et al. (2016)","Food","B","FAO - Permanent meadows and pastures",3363.81054,86.8105399999999,0.783151294019424,0.766413551815518,2.15316445910099
"58","Davis et al. (2016)",2040,"Davis et al. (2016)","Food","S3","FAO - Permanent meadows and pastures",3363.81054,86.8105399999999,-0.539216002080598,-0.0848049025944212,-2.00255246296676
"60","Davis et al. (2016)",2045,"Davis et al. (2016)","Food","S2","FAO - Permanent meadows and pastures",3363.81054,86.8105399999999,-0.720571599247,-0.334651520510468,-1.97138360859904
"61","Davis et al. (2016)",2045,"Davis et al. (2016)","Food","S3","FAO - Permanent meadows and pastures",3363.81054,86.8105399999999,-0.674361928038326,-0.125141046022366,-2.63797379708096
"63","Davis et al. (2016)",2050,"Davis et al. (2016)","Food","S3","FAO - Permanent meadows and pastures",3363.81054,86.8105399999999,-0.873041130552216,-0.416586087271596,-2.52374907364181
"115","FOLU (2019)",2050,"GLOBIOM","Agriculture","scenBASE","FAO - Permanent meadows and pastures",3490.858,213.858,0.0327652972421106,0.421561743943314,-0.960054440223395
