"","Model","Scenario","Year","CO2_LUC","delta_Cropland","delta_Pasture","Carbon_price","C_price_cat","rstand"
"328","IMAGE 3.0.1","CD-LINKS_NDC2030i_1000",2050,3479.724094588,7.42736000000004,-0.852760000000035,882.075346372132,"Yes",2.89500616375445
"329","IMAGE 3.0.1","CD-LINKS_NPi",2015,2634.88728328658,7.48584000000001,2.69407999999985,0,"No",-2.45431166159473
"330","IMAGE 3.0.1","CD-LINKS_NPi",2020,3016.14896732173,6.65572000000002,3.59143999999997,0,"No",-1.59263855974179
"337","IMAGE 3.0.1","CD-LINKS_NPi2020_1000",2015,2807.80594324762,6.80128,0.742519999999968,0,"No",-2.08219630246265
"343","IMAGE 3.0.1","CD-LINKS_NPi2020_1000",2045,3915.16053463845,17.63148,-0.782319999999981,477.3772418,"Yes",1.37255472426334
"345","IMAGE 3.0.1","CD-LINKS_NPi2020_1600",2015,2634.96781909578,7.48584000000001,2.69407999999985,0,"No",-2.45424571209835
"346","IMAGE 3.0.1","CD-LINKS_NPi2020_1600",2020,3016.77262810476,6.65727999999999,3.59143999999997,0,"No",-1.59228975287528
"352","IMAGE 3.0.1","CD-LINKS_NPi2020_1600",2050,2861.74818899421,3.03384000000001,1.27839999999997,106.8662669,"Yes",2.13896977357904
"353","IMAGE 3.0.1","CD-LINKS_NPi2020_400",2015,2645.36483361531,6.11893999999998,-1.84843999999994,0,"No",-1.93268400041216
"354","IMAGE 3.0.1","CD-LINKS_NPi2020_400",2020,2076.38906706374,4.21704,-1.99260000000004,0,"No",-1.65280730150306
"358","IMAGE 3.0.1","CD-LINKS_NPi2020_400",2040,103.467397401202,12.04968,-2.1098,906.3327282,"Yes",-1.30338895226388
"360","IMAGE 3.0.1","CD-LINKS_NPi2020_400",2050,2997.53607091736,45.31268,-1.75996000000005,1042.282637,"Yes",-1.24760732051843
"361","IMAGE 3.0.1","CD-LINKS_NoPolicy",2015,2658.85329767398,5.78991999999998,6.32300000000005,0,"No",-2.55521595256143
"367","IMAGE 3.0.1","CD-LINKS_NoPolicy",2045,3815.83289091706,8.34032000000002,2.22064,0,"No",1.68259398527155
"368","IMAGE 3.0.1","CD-LINKS_NoPolicy",2050,3057.37838425218,1.76911999999998,2.50536000000002,0,"No",2.25685061502409
"375","IMAGE 3.2","SSP1-baseline",2045,1136.65607581935,0.784360000000015,-20.98188,0,"No",2.66381742774295
"376","IMAGE 3.2","SSP1-baseline",2050,603.011707519673,0.215999999999985,-19.7424,0,"No",2.7211665472069
"391","IMAGE 3.2","SSP1_SPA1_19I_D_LB",2045,-2558.57108059937,-9.92271999999998,-22.81672,876,"Yes",1.49993287723294
"397","IMAGE 3.2","SSP1_SPA1_19I_LI",2035,-3594.12021222602,4.15792000000001,-24.59688,96.460957837351,"Yes",-2.27196233119683
"399","IMAGE 3.2","SSP1_SPA1_19I_LI",2045,-5831.14450726273,1.96559999999999,-26.9694799999999,126.989989859692,"Yes",-2.58820500927766
"405","IMAGE 3.2","SSP1_SPA1_19I_LIRE",2035,-3561.37675079297,5.12883999999999,-24.61064,100.934528185071,"Yes",-2.34171938369364
"407","IMAGE 3.2","SSP1_SPA1_19I_LIRE",2045,-5740.19706798126,2.27260000000001,-26.9526800000001,121.214903072434,"Yes",-2.55092509620383
"408","IMAGE 3.2","SSP1_SPA1_19I_LIRE",2050,-6796.68968977727,0.108719999999994,-23.948,143.205374326192,"Yes",-2.88529905199502
"413","IMAGE 3.2","SSP1_SPA1_19I_LIRE_LB",2035,-3419.75551378027,9.85448000000001,-24.59704,483,"Yes",-2.45519029520125
"414","IMAGE 3.2","SSP1_SPA1_19I_LIRE_LB",2040,-4776.76589582079,1.99096,-22.8425999999999,695,"Yes",-2.2116246527251
"415","IMAGE 3.2","SSP1_SPA1_19I_LIRE_LB",2045,-5965.07949187942,-3.27475999999997,-26.99604,876,"Yes",-1.63802744043513
"416","IMAGE 3.2","SSP1_SPA1_19I_LIRE_LB",2050,-7055.12347384853,-0.146199999999999,-23.93444,1027,"Yes",-2.46528180803572
"431","IMAGE 3.2","SSP1_SPA1_19I_RE_LB",2045,-2552.84956865869,-9.53974000000003,-22.83408,876,"Yes",1.4662904753784
"445","IMAGE 3.2","SSP1_SPA1_26I_LI",2035,-3735.664055091,3.19172000000003,-24.6587200000001,43.5108580068711,"Yes",-2.31886807283227
"447","IMAGE 3.2","SSP1_SPA1_26I_LI",2045,-6247.66694314454,1.48296,-26.9022,57.8384365192389,"Yes",-2.93213631078525
"453","IMAGE 3.2","SSP1_SPA1_26I_LIRE",2035,-3728.24793094514,3.60498000000002,-24.6713199999999,49.7014118318571,"Yes",-2.35040743117786
"455","IMAGE 3.2","SSP1_SPA1_26I_LIRE",2045,-6103.61695593452,1.85944,-26.89476,46.4581311833357,"Yes",-2.86166271831231
"477","IMAGE 3.2","SSP1_SPA1_34I_LI",2035,-3706.12997843738,3.61678000000002,-24.6657200000001,1.74834426391704,"Yes",-2.36687415081016
"479","IMAGE 3.2","SSP1_SPA1_34I_LI",2045,-6498.26476782031,-0.456240000000025,-26.86676,0,"No",-2.97866792446667
"485","IMAGE 3.2","SSP1_SPA1_34I_LIRE",2035,-3693.19594933388,3.60999999999999,-24.68988,1.20930913470552,"Yes",-2.3539746099265
"487","IMAGE 3.2","SSP1_SPA1_34I_LIRE",2045,-6448.83077898636,-0.833640000000014,-26.8522,0,"No",-2.90020985850592
"501","IMAGE 3.2","SSP2-baseline",2035,5252.88248109887,11.25484,3.58768,0,"No",1.86692352313036
"502","IMAGE 3.2","SSP2-baseline",2040,5651.13926978623,11.09696,4.41592000000001,0,"No",2.6783957015205
"512","IMAGE 3.2","SSP2_SPA0_26I_D",2050,-1782.33627246132,18.61664,-6.75303999999996,114.627976343599,"Yes",-2.12458216199342
"518","IMAGE 3.2","SSP2_SPA1_19I_D_LB",2040,1164.85704988897,2.10547999999999,-10.9288,695,"Yes",1.66846306522014
"519","IMAGE 3.2","SSP2_SPA1_19I_D_LB",2045,-176.197270568335,-5.56271999999999,-12.20564,876,"Yes",2.13125677189732
"523","IMAGE 3.2","SSP2_SPA1_19I_LIRE_LB",2025,3307.86554048728,4.83527999999997,-23.9224,56,"Yes",2.15351526523217
"534","IMAGE 3.2","SSP2_SPA1_19I_RE_LB",2040,1141.21402562105,2.54468000000002,-10.83388,695,"Yes",1.59576503458721
"535","IMAGE 3.2","SSP2_SPA1_19I_RE_LB",2045,-307.315851279222,-4.71352000000002,-12.21904,876,"Yes",1.93684961543799
"547","IMAGE 3.2","SSP2_SPA2_19I_LI",2025,3307.94432789357,4.87503999999999,-23.8896000000001,62,"Yes",2.15088929515289
"550","IMAGE 3.2","SSP2_SPA2_19I_LI",2040,-2539.06950377658,11.65844,-20.9540800000001,628,"Yes",-1.58279776361921
"555","IMAGE 3.2","SSP2_SPA2_19I_LIRE",2025,3306.07736140743,4.85799999999999,-23.8733999999999,69.6352507182093,"Yes",2.15504302878914
"558","IMAGE 3.2","SSP2_SPA2_19I_LIRE",2040,-2148.50178132118,19.39228,-20.9208,502.302903164724,"Yes",-2.15454672674941
"567","IMAGE 3.2","SSP2_SPA2_19I_RE",2045,2163.36197674073,11.14952,-11.69964,867.841392697396,"Yes",2.26571993635631
"575","IMAGE 3.2","SSP2_SPA2_26I_D",2045,2150.42059888123,3.73495999999996,-7.01599999999999,88,"Yes",2.10691262770374
"579","IMAGE 3.2","SSP2_SPA2_26I_LI",2025,3317.82253116729,5.09159999999997,-23.89076,79,"Yes",2.14826053840181
"587","IMAGE 3.2","SSP2_SPA2_26I_LIRE",2025,3317.26653904077,5.096,-23.8910800000001,84,"Yes",2.1508048320758
"599","IMAGE 3.2","SSP2_SPA2_26I_RE",2045,2478.1087043154,6.14607999999998,-7.22043999999996,88,"Yes",2.14172737551144
"607","IMAGE 3.2","SSP2_SPA2_34I_D",2045,2132.65149811423,2.2098,-3.42879999999996,52,"Yes",1.93282296339321
"611","IMAGE 3.2","SSP2_SPA2_34I_LI",2025,3318.62329970171,5.28629999999998,-23.90176,79,"Yes",2.12960888521745
"619","IMAGE 3.2","SSP2_SPA2_34I_LIRE",2025,3311.38491163952,5.33912,-23.87972,80,"Yes",2.11708478000834
