"","Model","Scenario","Year","CO2_LUC","delta_Cropland","delta_Pasture","Carbon_price","C_price_cat"
"403","IMAGE 3.2","SSP1_SPA1_19I_LIRE",2025,3285.33086707259,2.23972000000003,-34.65736,42.0632048191908,"Yes"
"406","IMAGE 3.2","SSP1_SPA1_19I_LIRE",2040,-5135.05162593714,8.9076,-22.7748399999999,101.981378257165,"Yes"
"407","IMAGE 3.2","SSP1_SPA1_19I_LIRE",2045,-5740.19706798126,2.27260000000001,-26.9526800000001,121.214903072434,"Yes"
"408","IMAGE 3.2","SSP1_SPA1_19I_LIRE",2050,-6796.68968977727,0.108719999999994,-23.948,143.205374326192,"Yes"
"411","IMAGE 3.2","SSP1_SPA1_19I_LIRE_LB",2025,3281.61469131739,2.17687999999998,-34.6586399999999,63,"Yes"
"413","IMAGE 3.2","SSP1_SPA1_19I_LIRE_LB",2035,-3419.75551378027,9.85448000000001,-24.59704,483,"Yes"
"414","IMAGE 3.2","SSP1_SPA1_19I_LIRE_LB",2040,-4776.76589582079,1.99096,-22.8425999999999,695,"Yes"
"415","IMAGE 3.2","SSP1_SPA1_19I_LIRE_LB",2045,-5965.07949187942,-3.27475999999997,-26.99604,876,"Yes"
"416","IMAGE 3.2","SSP1_SPA1_19I_LIRE_LB",2050,-7055.12347384853,-0.146199999999999,-23.93444,1027,"Yes"
"431","IMAGE 3.2","SSP1_SPA1_19I_RE_LB",2045,-2552.84956865869,-9.53974000000003,-22.83408,876,"Yes"
"443","IMAGE 3.2","SSP1_SPA1_26I_LI",2025,3287.6076154916,2.43597999999997,-34.66588,43.1793224468068,"Yes"
"445","IMAGE 3.2","SSP1_SPA1_26I_LI",2035,-3735.664055091,3.19172000000003,-24.6587200000001,43.5108580068711,"Yes"
"446","IMAGE 3.2","SSP1_SPA1_26I_LI",2040,-5408.97082338232,2.82779999999998,-22.78132,46.9077617944675,"Yes"
"447","IMAGE 3.2","SSP1_SPA1_26I_LI",2045,-6247.66694314454,1.48296,-26.9022,57.8384365192389,"Yes"
"448","IMAGE 3.2","SSP1_SPA1_26I_LI",2050,-7186.05625943105,2.32672000000002,-23.87504,59.8228556391252,"Yes"
"451","IMAGE 3.2","SSP1_SPA1_26I_LIRE",2025,3289.11195228596,2.49656,-34.64784,42.0632048191908,"Yes"
