"","Study","ScenYear","Model","Scope","Scenario..author.code.","Cropland.scope","Initial_condition","Delta_initial","C_price_cat","Cropland","Population","Rum_meat_kcal","Non_rum_kcal","Dairy_kcal","Vegetal_kcal","Yield","FCR_FCF_ruminants","FCR_FCF_monogastrics","C_price","rstand"
"2","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","CT2","Agriculture",1560,41,"No",0.207639364778245,0.388085598611914,0.518433798258455,0.404881334289041,0.253044089131573,0.0263609148281851,0.157894736842105,1.15752520544741,-0.0331572553836127,0,-1.9324718787059
"3","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","CT3","Agriculture",1560,41,"No",0.154150679827258,0.388085598611914,-0.273584937066093,-0.272157685176999,0.17138202776723,-0.0440526420622381,0.105263157894737,1.11014353014216,0.0774468679420397,0,-1.32947267588458
"4","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","YG1","Agriculture",1560,41,"No",0.0500104205746612,0.388085598611914,0.616437741281288,0.501288967130579,0.324732669230928,0.0789674977188881,0.894736842105263,1.29927727826563,0.0214198229045686,0,1.97814640726662
"6","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","YG3","Agriculture",1560,41,"No",-0.129875081421412,0.388085598611914,-0.273584937066093,-0.272157685176999,0.17138202776723,-0.0440526420622381,0.815789473684211,1.11014353014216,0.0774468679420397,0,1.58023309900841
"11","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","YG1 - NUE","Agriculture",1560,41,"No",0.0500104205746612,0.388085598611914,0.616437741281288,0.501288967130579,0.324732669230928,0.0789674977188881,0.894736842105263,1.1636492457587,0.0327423631863863,0,2.09062554177428
"12","CIRAD (2016)",2050,"GlobAgri-AgT","Agriculture","Metropolitization_Ultrap","Agriculture",1535.37,16.3699999999999,"No",0.14698204977839,0.426470588235294,-0.109219448842648,-0.0672372189213134,0.152102916661012,0.136556213104808,0.437185929648241,-0.367875647668394,-0.119886933370215,0,0.863667674270609
"16","CIRAD (2016)",2050,"GlobAgri-AgT","Agriculture","Healthy_C","Agriculture",1535.37,16.3699999999999,"No",-0.0372361917637322,0.426470588235294,0.109983798103405,-0.187786943400977,0.0518542258645298,0.0268321831565119,0.231155778894472,-0.326140767076647,-0.0702706401512097,0,-1.9592170887357
"17","CIRAD (2016)",2050,"GlobAgri-AgT","Agriculture","Healthy_D","Agriculture",1535.37,16.3699999999999,"No",0.0320464242341258,0.426470588235294,0.10902056035078,-0.188469626394472,0.0509701191811911,0.0269728147278623,0.153266331658291,-0.326140767076647,-0.0702706401503119,0,-1.83890323540969
"19","CIRAD (2016)",2050,"GlobAgri-AgT","Agriculture","Communities_collapse","Agriculture",1535.37,16.3699999999999,"No",0.308603175796555,0.426470588235294,-0.122958700049141,-0.282561952922318,-0.0496967382319048,-0.0943165946414328,-0.0226130653266331,-0.288207966924692,0.0141466709490305,0,0.9758896983089
"156","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Waste)","Agriculture",1429.7969100368,-89.2030899631961,"No",0.380364631728159,0.424375917767988,0.141672807663965,0.132372309557707,0.0729927007299269,-0.0260245294880546,0,0.0350718220347306,0.00314438370447734,0,1.56027081039748
"157","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Diet)","Agriculture",1429.7969100368,-89.2030899631961,"No",0.211711154676902,0.424375917767988,-0.357406042741341,-0.364454521545178,-0.394160583941606,0.226735245755119,0,0.0305805120084193,0.00313607855198605,0,-1.47297766841309
"159","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Yield)","Agriculture",1429.7969100368,-89.2030899631961,"No",0.0969883215292513,0.424375917767988,0.274134119380987,0.261833441486332,0.197080291970803,0.0872000395563139,0.5,0.035691513813334,0.00314550556220539,0,1.49468037293509
"160","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+All)","Agriculture",1429.7969100368,-89.2030899631961,"No",-0.345778755573821,0.424375917767988,-0.426860722181282,-0.431964098329537,-0.45985401459854,0.0938081766254266,0.5,-0.227984920633153,-0.24764965461491,0,-2.25299204278751
"248","FAO (2018)",2030,"FAO GAPS - ENVISAGE","Agriculture","TSS","Agriculture",1600.953207,81.953207,"No",-0.0297160141401227,0.197830069043258,0.0365133928002068,-0.033714310030005,0.0263268170122164,0.0740808465594365,0.0319311080219222,-0.0497065944763162,-0.0399807048536056,0,-1.26082670364782
"251","FAO (2018)",2035,"FAO GAPS - ENVISAGE","Agriculture","TSS","Agriculture",1600.953207,81.953207,"No",-0.0164010193908189,0.245455826405524,0.0323850809185335,-0.0641258647111507,0.0150922110258553,0.0799598189285349,0.0557824409914942,-0.046572140135367,-0.039868640858715,0,-1.30191745049364
"254","FAO (2018)",2040,"FAO GAPS - ENVISAGE","Agriculture","TSS","Agriculture",1600.953207,81.953207,"No",-0.00964489886749943,0.290263491616176,0.0342295590342752,-0.0805028050316801,0.00217428647680573,0.0857146358079242,0.0871835930221656,-0.0441720761284737,-0.0416283785571657,0,-1.34810330063842
"257","FAO (2018)",2050,"FAO GAPS - ENVISAGE","Agriculture","TSS","Agriculture",1600.953207,81.953207,"No",0.00124243970314326,0.370297308721995,0.0491838037696859,-0.0893376208061099,-0.0225690698535596,0.0955256314825872,0.145572189480513,-0.048888857376281,-0.050044479651239,0,-1.44471097317807
