"","Study","ScenYear","Model","Scope","Scenario..author.code.","Water.scope","Initial_condition","Delta_initial","Water","All_feed_water","Plant_food_water","Yield","WPinc"
"2","Damerau et al. (2016)","2050","Damerau et al. (2016)","Agriculture","2050 Increased protein (from animal sources)","Water Footprint Network - Mekonnen & Hoekstra (2011)",1448.16850237,-358.83149763,0.292963923297559,0.139198248592934,0.34156427539011,0,0
"4","Damerau et al. (2016)","2050","Damerau et al. (2016)","Agriculture","2050 Macro-nutrient shift","Water Footprint Network - Mekonnen & Hoekstra (2011)",1448.16850237,-358.83149763,-0.102014260560832,0.937641113715395,0.0247371794102678,0,0
"68","Davis et al. (2016)","2035","Davis et al. (2016)","Food","S3 + prod","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,-0.182862660328387,-0.367122726081665,0.189650086262759,0,0.182024391507576
"71","Davis et al. (2016)","2040","Davis et al. (2016)","Food","S2","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.613223405810353,-0.374215687502033,0.171813754982049,0,0
"75","Davis et al. (2016)","2040","Davis et al. (2016)","Food","S2 + prod","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.37700416093836,-0.374215687502033,0.171813754982049,0,0.210150709123252
"76","Davis et al. (2016)","2040","Davis et al. (2016)","Food","S3 + prod","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,-0.253340635267166,-0.467586926763487,0.212004697664203,0,0.217309012834243
"78","Davis et al. (2016)","2045","Davis et al. (2016)","Food","S2","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.683097355051444,-0.466733625600942,0.181761505916511,0,0
"82","Davis et al. (2016)","2045","Davis et al. (2016)","Food","S2 + prod","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.403359010733704,-0.466733625600942,0.181761505916511,0,0.244160366694218
"83","Davis et al. (2016)","2045","Davis et al. (2016)","Food","S3 + prod","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,-0.335262196005342,-0.57720865393795,0.229827780561046,0,0.253959790363185
"86","Davis et al. (2016)","2050","Davis et al. (2016)","Food","S1 + prod","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.553018350449196,0.896670147458083,0.343345177878391,0,0.193893020877711
"88","Davis et al. (2016)","2050","Davis et al. (2016)","Food","S3 + prod","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.419707264659739,-0.565423309375487,0.18687332457654,0,0.279545344295264
"89","de Fraiture & Wichelns (2010)","2050","WATERSIM","Agriculture","RF-HY","IMWI water and climate altas & FAO AQUASTAT database 2005",1570,-237,0.174862811506279,1.03521444045495,0.574623131322614,0.583048206240049,0.23
"90","de Fraiture & Wichelns (2010)","2050","WATERSIM","Agriculture","RF-LY","IMWI water and climate altas & FAO AQUASTAT database 2005",1570,-237,0.174862811506279,1.03521444045495,0.574623131322614,0.197133804366149,0.22
"91","de Fraiture & Wichelns (2010)","2050","WATERSIM","Agriculture","IRR-AE","IMWI water and climate altas & FAO AQUASTAT database 2005",1570,-237,0.432691920808378,1.03521444045495,0.574623131322614,0.265155629670994,0.22
"92","de Fraiture & Wichelns (2010)","2050","WATERSIM","Agriculture","IRR-YI","IMWI water and climate altas & FAO AQUASTAT database 2005",1570,-237,0.362074353594425,1.03521444045495,0.574623131322614,0.368467587045183,0.43
