"","Study","ScenYear","Model","Scope","Scenario..author.code.","Water.scope","Initial_condition","Delta_initial","Water","All_feed_water","Plant_food_water","Yield","WPinc"
"93","de Fraiture & Wichelns (2010)","2050","WATERSIM","Agriculture","TRADE","IMWI water and climate altas & FAO AQUASTAT database 2005",1570,-237,0.0496996685522725,1.03521444045495,0.574623131322614,0.47838459238486,0.22
"94","de Fraiture & Wichelns (2010)","2050","WATERSIM","Agriculture","OPTIMISED","IMWI water and climate altas & FAO AQUASTAT database 2005",1570,-237,0.214186357710193,1.03521444045495,0.574623131322614,0.57850968519463,0.48
"97","Ercin & Hoekstra (2014)","2050","Ercin & Hoekstra (2014)","Agriculture","S3","Water Footprint Network - Mekonnen & Hoekstra (2011)",794.146,-1012.854,0.434422591281834,-0.115491395419338,0.694709210912892,0,0
"194","Muller et al. (2017)","2050","SOLm","Agriculture","0Conc_0Org_W50_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.0356574399977141,-1,0.501829932001612,0.331707317073171,0
"238","Pfister et al. (2011)","2050","Pfister et al. (2011)","Agriculture","BAU","CROPWAT (FAO, 1999)",1772,-35,-0.0677037962198213,0.508196721311476,0.508196721311475,0,0
"239","Pfister et al. (2011)","2050","Pfister et al. (2011)","Agriculture","Case 1","CROPWAT (FAO, 1999)",1772,-35,0.491566866604324,0.292524590163934,0.628580983606557,0.223517679670832,0
"240","Pfister et al. (2011)","2050","Pfister et al. (2011)","Agriculture","Case 2","CROPWAT (FAO, 1999)",1772,-35,0.091094452003984,0.384560896376537,0.649217749247974,0.562124609255686,0
"241","Pfister et al. (2011)","2050","Pfister et al. (2011)","Agriculture","Case 3","CROPWAT (FAO, 1999)",1772,-35,0.0770864408478733,0.384560896376537,0.649217749247974,0.642762476856536,0
"242","Pfister et al. (2011)","2050","Pfister et al. (2011)","Agriculture","Case 4","CROPWAT (FAO, 1999)",1772,-35,0.548264928266733,0.714,0.780858309992947,0.313194723981468,0
"356","Weindl et al. (2017b)","2050","MAgPIE 3","Agriculture","SSP2-Baseline+Static WP","LPJmL",1022.59777602863,-784.40222397137,0.477473744439661,0.769339902286901,0.39413928648416,0.39821596,0
"358","Weindl et al. (2017b)","2050","MAgPIE 3","Agriculture","SSP2-Catch up+Static WP","LPJmL",1022.59777602863,-784.40222397137,0.525616356595638,0.838673763442674,0.39413928648416,0.40906935,0
