"","Study","ScenYear","Model","Scope","Scenario..author.code.","Cropland.scope","Cropland","Population","Rum_meat_kcal_FCR_FCF","Non_rum_kcal_FCR_FCF","Dairy_kcal_FCR_FCF","Vegetal_kcal","Yield","C_price","rstand"
"2","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","CT2","Agriculture",0.207639364778245,0.388085598611914,1.89974667367038,0.358299325104349,1.612730228402,0.0263609148281851,0.157894736842105,0,-1.57879916846305
"3","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","CT3","Agriculture",0.154150679827258,0.388085598611914,0.960492059583601,-0.215788577538274,1.65679413106355,-0.0440526420622381,0.105263157894737,0,-1.04033565346887
"4","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","YG1","Agriculture",0.0500104205746612,0.388085598611914,2.29771737674705,0.533446310935098,1.96937418518039,0.0789674977188881,0.894736842105263,0,1.77372209764312
"6","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","YG3","Agriculture",-0.129875081421412,0.388085598611914,0.960492059583601,-0.215788577538274,1.65679413106355,-0.0440526420622381,0.815789473684211,0,1.70786924876205
"11","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","YG1 - NUE","Agriculture",0.0500104205746612,0.388085598611914,2.29771737674705,0.550444715740083,1.96937418518039,0.0789674977188881,0.894736842105263,0,1.74872526953477
"12","CIRAD (2016)",2050,"GlobAgri-AgT","Agriculture","Metropolitization_Ultrap","Agriculture",0.14698204977839,0.426470588235294,-0.438062880056014,-0.179063288306711,0.0124540782778586,0.136556213104808,0.437185929648241,0,0.914757165558707
"16","CIRAD (2016)",2050,"GlobAgri-AgT","Agriculture","Healthy_C","Agriculture",-0.0372361917637322,0.426470588235294,-0.354268371501812,-0.244861674827361,-0.129457952934751,0.0268321831565119,0.231155778894472,0,-1.75645440643454
"17","CIRAD (2016)",2050,"GlobAgri-AgT","Agriculture","Healthy_D","Agriculture",0.0320464242341258,0.426470588235294,-0.354828733809528,-0.245496385249155,-0.130189662731615,0.0269728147278623,0.153266331658291,0,-1.65221667591017
"19","CIRAD (2016)",2050,"GlobAgri-AgT","Agriculture","Communities_collapse","Agriculture",0.308603175796555,0.426470588235294,-0.41556725190293,-0.272412592943995,-0.160834373358451,-0.0943165946414328,-0.0226130653266331,0,0.800791395969082
"167","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","BAU","Agriculture",0.511562252565196,0.424375917767988,0.274134119380988,0.265802545595105,0.197080291970803,0.0872000395563139,0,0,0.96632333057379
"169","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Diet)","Agriculture",0.211711154676902,0.424375917767988,-0.357406042741341,-0.362461401001384,-0.394160583941606,0.226735245755119,0,0,-1.77804999892495
"171","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Yield)","Agriculture",0.0969883215292513,0.424375917767988,0.274134119380988,0.265802545595105,0.197080291970803,0.0872000395563139,0.5,0,0.620842512183172
