"","Study","ScenYear","Model","Scope","Scenario..author.code.","Initial_condition","Delta_initial","Nfert","Rum_feed_water","Mon_feed_water","Plant_food_water","Yield","NUEinc","NrecHousehold"
"3","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","CT3",106,2.31999999999999,0.164874643190234,2.33350639800624,0.0885525817860862,0.326936760584516,0.105263157894737,0.201201201201201,0
"4","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","YG1",106,2.31999999999999,0.583584978048419,3.28884087874098,1.12855474045358,0.497699244953922,0.894736842105263,-0.0465465465465465,0
"5","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","YG2",106,2.31999999999999,0.417965270872396,2.77275717037806,0.885435731781629,0.424676804851153,0.842105263157895,-0.0795795795795795,0
"107","Bodirsky et al. (2014)",2030,"MAgPIE 2","Agriculture","SSP2-All measures",76.85723,-26.82277,-0.388220455908367,0.933501423637511,0.408039246300875,0.532887166077572,0.498155577123704,0.352766742188735,0.0834646834150526
"114","Bodirsky et al. (2014)",2040,"MAgPIE 2","Agriculture","SSP2-Waste",76.85723,-26.82277,0.139763249145088,2.07269679921779,1.02210372377492,0.500790711790391,0.696159403138266,0.104391169186996,0.0615255056250087
"115","Bodirsky et al. (2014)",2040,"MAgPIE 2","Agriculture","SSP2-Efficiency (crops)",76.85723,-26.82277,-0.093637748281972,2.47306973614057,1.45642955927673,0.679506551925979,0.775353837113553,0.293676168396649,0
"117","Bodirsky et al. (2014)",2040,"MAgPIE 2","Agriculture","SSP2-All measures",76.85723,-26.82277,-0.571425589780509,0.946704873921962,0.0269731111603211,0.623083486502254,0.617787982021799,0.445663101322514,0.0934652317693494
"122","Bodirsky et al. (2014)",2050,"MAgPIE 2","Agriculture","SSP2-REF",76.85723,-26.82277,0.433441782217482,3.06584637250052,1.52472415533243,0.776313108579529,0.885063355114471,0.0522219295010276,0
"123","Bodirsky et al. (2014)",2050,"MAgPIE 2","Agriculture","SSP2-Diet",76.85723,-26.82277,0.398247040597834,1.7852673358862,0.365394301208519,0.958499068433839,0.685193254410064,0.039409874071342,0
"124","Bodirsky et al. (2014)",2050,"MAgPIE 2","Agriculture","SSP2-Waste",76.85723,-26.82277,0.0406877782308757,2.49979033531285,0.976800874414717,0.526528510638627,0.781151707405514,0.154073449602192,0.0625806764719302
"125","Bodirsky et al. (2014)",2050,"MAgPIE 2","Agriculture","SSP2-Efficiency (crops)",76.85723,-26.82277,-0.172679808845013,3.07282925118295,1.47728179726167,0.776313108579529,0.86169229963726,0.341217134727857,0
"141","Bouwman et al. (2013)",2050,"IMAGE 2.4","Agriculture","IM",83,-20.68,-0.0121213605323448,0.620704271570124,0.622804437871421,0.775121802579022,0.53731413097164,0.176469565217391,0
"149","Chang et al. (2021)",2020,"GLOBIOM","Agriculture","Scenario:Combined_CC:None_Nboundary:No_constrain",100.65,-3.03,0.12121039504318,0.319233592644625,0.241149725496295,0.148531674588541,0.152173913043478,0.111111111111111,0.07
