"","Study","ScenYear","Model","Scope","Scenario..author.code.","Water.scope","Initial_condition","Delta_initial","Water","All_feed_water","Plant_food_water","Yield","WPinc"
"72","Davis et al. (2016)","2040","Davis et al. (2016)","Food","S3","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,-0.00810493024389575,-0.467586926763487,0.212004697664203,0,0
"73","Davis et al. (2016)","2040","Davis et al. (2016)","Food","B","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.460442944283695,0.680887578282882,0.283776381814625,0,0.158148325275766
"74","Davis et al. (2016)","2040","Davis et al. (2016)","Food","S1","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.38716181166327,-0.110191493605027,0.350242513561922,0,0.157212768847223
"75","Davis et al. (2016)","2040","Davis et al. (2016)","Food","S2","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.37700416093836,-0.374215687502033,0.171813754982049,0,0.210150709123252
"76","Davis et al. (2016)","2040","Davis et al. (2016)","Food","S3","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,-0.253340635267166,-0.467586926763487,0.212004697664203,0,0.217309012834243
"78","Davis et al. (2016)","2045","Davis et al. (2016)","Food","S2","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.683097355051444,-0.466733625600942,0.181761505916511,0,0
"79","Davis et al. (2016)","2045","Davis et al. (2016)","Food","S3","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,-0.042363880064911,-0.57720865393795,0.229827780561046,0,0
"80","Davis et al. (2016)","2045","Davis et al. (2016)","Food","B","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.509466802580116,0.789861651904941,0.315662977544534,0,0.176476603030717
"81","Davis et al. (2016)","2045","Davis et al. (2016)","Food","S1","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.430864065913715,-0.155335950872196,0.395153010122046,0,0.173562566194021
"82","Davis et al. (2016)","2045","Davis et al. (2016)","Food","S2","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.403359010733704,-0.466733625600942,0.181761505916511,0,0.244160366694218
"83","Davis et al. (2016)","2045","Davis et al. (2016)","Food","S3","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,-0.335262196005342,-0.57720865393795,0.229827780561046,0,0.253959790363185
"84","Davis et al. (2016)","2050","Davis et al. (2016)","Food","S2","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.679161538130573,-0.206713245760058,0.436234020437047,0,0
"85","Davis et al. (2016)","2050","Davis et al. (2016)","Food","S3","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,-0.0842272767749866,-0.695037345807832,0.243041632389015,0,0
"86","Davis et al. (2016)","2050","Davis et al. (2016)","Food","S1","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.553018350449196,0.896670147458083,0.343345177878391,0,0.193893020877711
"87","Davis et al. (2016)","2050","Davis et al. (2016)","Food","S2","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.470018972644322,-0.206713245760058,0.436234020437047,0,0.188720433067521
"88","Davis et al. (2016)","2050","Davis et al. (2016)","Food","S3","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.419707264659739,-0.565423309375487,0.18687332457654,0,0.279545344295264
"149","Graham et al. (2018)","2045","GCAM 5.0","Agriculture","SSP 1 NonCO2 constrained","GCAM (WFN/AQUASTAT)",1069.96875352,-737.03124648,0.441138168996928,0.217045624524102,0.302866546865061,0.391319582233839,0
"154","Graham et al. (2018)","2045","GCAM 5.0","Agriculture","SSP 1 Water constrained","GCAM (WFN/AQUASTAT)",1069.96875352,-737.03124648,0.449603110297338,0.217045624524102,0.302866546865061,0.392185728208343,0
"159","Graham et al. (2018)","2050","GCAM 5.0","Agriculture","SSP 1 NonCO2 constrained","GCAM (WFN/AQUASTAT)",1069.96875352,-737.03124648,0.483398350981304,0.219206224223889,0.317917850412858,0.442873099647748,0
"163","Graham et al. (2018)","2050","GCAM 5.0","Agriculture","SSP 5 NonCO2 constrained","GCAM (WFN/AQUASTAT)",1069.96875352,-737.03124648,0.483325370028292,0.33103986858657,0.36047926248386,0.454168558483238,0
"164","Graham et al. (2018)","2050","GCAM 5.0","Agriculture","SSP 1 Water constrained","GCAM (WFN/AQUASTAT)",1069.96875352,-737.03124648,0.494691032655261,0.219206224223889,0.317917850412858,0.444209110255925,0
"168","Graham et al. (2018)","2050","GCAM 5.0","Agriculture","SSP 5 Water constrained","GCAM (WFN/AQUASTAT)",1069.96875352,-737.03124648,0.490428771073385,0.33103986858657,0.36047926248386,0.454601061999214,0
"248","Springmann et al. (2018)","2050","EAT-Lancet","Food","BMK + QW + BAU + SSP3","IMPACT 3",1807.07799547358,0.0779954735799038,0.281805485147218,0.708274004673915,0.467298594844094,0,0
"275","Springmann et al. (2018)","2050","EAT-Lancet","Food","TECH + QW + BAU + SSP3","IMPACT 3",1807.07799547358,0.0779954735799038,-0.0214476490437485,0.708274004673915,0.467298594844094,0.420351434660392,0.233343326088586
"302","Springmann et al. (2018)","2050","EAT-Lancet","Food","TECH_p + QW + BAU + SSP3","IMPACT 3",1807.07799547358,0.0779954735799038,-0.0218180888270252,0.708274004673915,0.467298594844094,0.529577464788732,0.23234561193135
"341","Weindl et al. (2017b)","2050","MAgPIE 3","Agriculture","SSP2-Baseline+Static WP","LPJmL",1022.59777602863,-784.40222397137,0.477473744439661,0.769339902286901,0.39413928648416,0.39821596,0
"343","Weindl et al. (2017b)","2050","MAgPIE 3","Agriculture","SSP2-Catch up+Static WP","LPJmL",1022.59777602863,-784.40222397137,0.525616356595638,0.838673763442674,0.39413928648416,0.40906935,0
"344","Weindl et al. (2017b)","2050","MAgPIE 3","Agriculture","SSP2-Moderation+Static WP","LPJmL",1022.59777602863,-784.40222397137,0.43977875805017,0.866853067512135,0.39413928648416,0.40906935,0
"350","Weindl et al. (2017b)","2050","MAgPIE 3","Agriculture","DEMI-Divergence + YIELD","LPJmL",1022.59777602863,-784.40222397137,0.115679365637559,0.0447128973328641,0.567121427887401,0.34535062,0
