"","Study","ScenYear","Model","Scope","Scenario..author.code.","Water.scope","Initial_condition","Delta_initial","Water","All_feed_water","Plant_food_water","Yield","WPinc"
"1","Damerau et al. (2016)","2050","Damerau et al. (2016)","Agriculture","2050 Baseline (combined)","Water Footprint Network - Mekonnen & Hoekstra (2011)",1448.16850237,-358.83149763,0.184501633781872,0.0634394927584798,0.197639242750954,0,0
"2","Damerau et al. (2016)","2050","Damerau et al. (2016)","Agriculture","2050 Increased protein (from animal sources)","Water Footprint Network - Mekonnen & Hoekstra (2011)",1448.16850237,-358.83149763,0.292963923297559,0.139198248592934,0.34156427539011,0,0
"4","Damerau et al. (2016)","2050","Damerau et al. (2016)","Agriculture","2050 Macro-nutrient shift","Water Footprint Network - Mekonnen & Hoekstra (2011)",1448.16850237,-358.83149763,-0.102014260560832,0.937641113715395,0.0247371794102678,0,0
"59","Davis et al. (2016)","2030","Davis et al. (2016)","Food","S2","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.296252185616119,-0.21173045449285,0.137542238277981,0,0.144332075337278
"63","Davis et al. (2016)","2035","Davis et al. (2016)","Food","S2","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.535844740947128,-0.288909666680348,0.157042611144919,0,0
"64","Davis et al. (2016)","2035","Davis et al. (2016)","Food","S3","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.0174719115457538,-0.367122726081665,0.189650086262759,0,0
"65","Davis et al. (2016)","2035","Davis et al. (2016)","Food","B","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.405802003354342,0.570584571845317,0.247879459572268,0,0.138600790531176
"67","Davis et al. (2016)","2035","Davis et al. (2016)","Food","S2","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.341189463890091,-0.288909666680348,0.157042611144919,0,0.177034716998565
"68","Davis et al. (2016)","2035","Davis et al. (2016)","Food","S3","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,-0.182862660328387,-0.367122726081665,0.189650086262759,0,0.182024391507576
"69","Davis et al. (2016)","2040","Davis et al. (2016)","Food","B","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.632521041182496,0.680887578282882,0.283776381814625,0,0
"71","Davis et al. (2016)","2040","Davis et al. (2016)","Food","S2","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.613223405810353,-0.374215687502033,0.171813754982049,0,0
