"","Study","ScenYear","Model","Scope","Scenario..author.code.","Water.scope","Initial_condition","Delta_initial","Water","All_feed_water","Plant_food_water","Yield","WPinc","rstand"
"219","Muller et al. (2017)","2050","SOLm","Agriculture","100Conc_80Org_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.454320553092769,0.509513558813245,0.45939631725424,0.34574398902439,0,1.26953764954667
"220","Muller et al. (2017)","2050","SOLm","Agriculture","100Conc_60Org_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.448698217995794,0.609689484582772,0.462833677108077,0.145050182195122,0,1.83188729481649
"221","Muller et al. (2017)","2050","SOLm","Agriculture","100Conc_40Org_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.444003483239744,0.554551216241457,0.465856183186451,0.178049392926829,0,1.68508486116618
"223","Muller et al. (2017)","2050","SOLm","Agriculture","100Conc_0Org_W50_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.462495494358803,0.412419583976214,0.474093993870648,0.327190791219512,0,1.41095962938719
"239","Springmann et al. (2018)","2050","EAT-Lancet","Food","BMK + HW + BAU + SSP3","IMPACT 3",1807.07799547358,0.0779954735799038,0.358040966995609,0.697510405446015,0.539769602274787,0,0,-2.13363842958646
"248","Springmann et al. (2018)","2050","EAT-Lancet","Food","BMK + QW + BAU + SSP3","IMPACT 3",1807.07799547358,0.0779954735799038,0.281805485147218,0.708274004673915,0.467298594844094,0,0,-2.52301543497324
"275","Springmann et al. (2018)","2050","EAT-Lancet","Food","TECH + QW + BAU + SSP3","IMPACT 3",1807.07799547358,0.0779954735799038,-0.0214476490437485,0.708274004673915,0.467298594844094,0.420351434660392,0.233343326088586,-2.21980016606678
"302","Springmann et al. (2018)","2050","EAT-Lancet","Food","TECH_p + QW + BAU + SSP3","IMPACT 3",1807.07799547358,0.0779954735799038,-0.0218180888270252,0.708274004673915,0.467298594844094,0.529577464788732,0.23234561193135,-2.27300732845157
"341","Weindl et al. (2017b)","2050","MAgPIE 3","Agriculture","SSP2-Baseline+Static WP","LPJmL",1022.59777602863,-784.40222397137,0.477473744439661,0.769339902286901,0.39413928648416,0.39821596,0,2.21769393943453
"342","Weindl et al. (2017b)","2050","MAgPIE 3","Agriculture","SSP2-Divergence+Static WP","LPJmL",1022.59777602863,-784.40222397137,0.392338857939435,0.813411670142907,0.39413928648416,0.42647613,0,1.20783669333818
"343","Weindl et al. (2017b)","2050","MAgPIE 3","Agriculture","SSP2-Catch up+Static WP","LPJmL",1022.59777602863,-784.40222397137,0.525616356595638,0.838673763442674,0.39413928648416,0.40906935,0,2.68434537170985
"344","Weindl et al. (2017b)","2050","MAgPIE 3","Agriculture","SSP2-Moderation+Static WP","LPJmL",1022.59777602863,-784.40222397137,0.43977875805017,0.866853067512135,0.39413928648416,0.40906935,0,1.70985103210863
"349","Weindl et al. (2017b)","2050","MAgPIE 3","Agriculture","DEMI-Baseline + YIELD","LPJmL",1022.59777602863,-784.40222397137,0.145986098707962,0.0513511758508109,0.567121427887401,0.35577975,0,-1.94659379857866
"350","Weindl et al. (2017b)","2050","MAgPIE 3","Agriculture","DEMI-Divergence + YIELD","LPJmL",1022.59777602863,-784.40222397137,0.115679365637559,0.0447128973328641,0.567121427887401,0.34535062,0,-2.26614144986403
"351","Weindl et al. (2017b)","2050","MAgPIE 3","Agriculture","DEMI-Catch up + YIELD","LPJmL",1022.59777602863,-784.40222397137,0.213440175575672,0.078123189457606,0.567121427887401,0.36877166,0,-1.23398304037356
"352","Weindl et al. (2017b)","2050","MAgPIE 3","Agriculture","DEMI-Moderation + YIELD","LPJmL",1022.59777602863,-784.40222397137,0.15475672479843,0.0501129175960351,0.567121427887401,0.35762835,0,-1.85032778898233
