"","Study","ScenYear","Model","Scope","Scenario..author.code.","Cropland.scope","Initial_condition","Delta_initial","Cropland","Rum_meat_crop_feed_water","Dairy_crop_feed_water","Mon_feed_water","Plant_food_water","Yield","rstand"
"275","Heck et al. (2018)","2050","LPJmL","Agriculture","SSP2 Optimised - yield gap closure & constant diet","Agriculture",1549,30,0.084465847368406,0.137927263203222,0.201849946564538,-0.00201488775834557,0.393232415902141,0.5659,1.10540341509746
"276","Heck et al. (2018)","2050","LPJmL","Agriculture","SSP2 Optimised - yield gap & improved diet","Agriculture",1549,30,0.226300640596589,0.454622915657015,0.53633587135676,0.245411487800968,0.45911765780913,0.4829,1.20403289063282
"277","Muller et al. (2017)","2050","SOLm","Agriculture","0Conc_100Org","Agriculture",1354.61,-164.39,0.0220926823935463,-1,-1,-1,0.697463119545012,0.0951219512195123,-2.39491156198438
"283","Muller et al. (2017)","2050","SOLm","Agriculture","0Conc_100Org_W50","Agriculture",1354.61,-164.39,-0.0960929991755076,-1,-1,-1,0.492821678591555,0.102439024390244,-2.48471831179259
"302","Muller et al. (2017)","2050","SOLm","Agriculture","50Conc_100Org","Agriculture",1354.61,-164.39,0.209507621673347,-0.539721008812854,-0.529925054912318,-0.93786750208733,0.610758680473217,0.346341463414634,1.88630154047715
"306","Muller et al. (2017)","2050","SOLm","Agriculture","50Conc_20Org","Agriculture",1354.61,-164.39,-0.0277244590727074,-0.533726678827494,-0.523108398950742,-0.936455425004137,0.615085012703047,0.260975609756098,-1.53184915382752
"308","Muller et al. (2017)","2050","SOLm","Agriculture","50Conc_100Org_W50","Agriculture",1354.61,-164.39,0.0955443694070415,-0.542989184684519,-0.510940220517754,-0.711174792844922,0.408606362172539,0.363414634146342,1.66839127145936
"311","Muller et al. (2017)","2050","SOLm","Agriculture","50Conc_40Org_W50","Agriculture",1354.61,-164.39,-0.0910751343267157,-0.51826440563254,-0.479985885527865,-0.717413381008798,0.41554034670528,0.234146341463415,-1.54519298018126
"312","Muller et al. (2017)","2050","SOLm","Agriculture","50Conc_20Org_W50","Agriculture",1354.61,-164.39,-0.144793366482853,-0.524834567793478,-0.487033164857956,-0.725700496259825,0.417259026632199,0.270731707317073,-1.8625964534835
"316","Muller et al. (2017)","2050","SOLm","Agriculture","50Conc_20Org_CCyes","Agriculture",1354.61,-164.39,0.376847191841084,-0.380251133967726,-0.364471152368262,-0.598364956277332,0.613603392076393,0.226829268292683,2.36732042331228
