"","Study","ScenYear","Model","Scope","Scenario..author.code.","Water.scope","Initial_condition","Delta_initial","Water","All_feed_water","Plant_food_water","Yield","WPinc","rstand"
"1","Damerau et al. (2016)",2050,"Damerau et al. (2016)","Agriculture","2050 Increased protein (from animal sources)","Water Footprint Network - Mekonnen & Hoekstra (2011)",1741.59487809586,-65.4051219041407,0.108462289515688,0.0646508681856826,0.120173945126049,0,-0.141927637593062,1.01795316326707
"2","Damerau et al. (2016)",2050,"Damerau et al. (2016)","Agriculture","2050 Replaced foods","Water Footprint Network - Mekonnen & Hoekstra (2011)",1741.59487809586,-65.4051219041407,-0.0447870431879527,0.0271257346743969,0.0534288114975094,0,-0.166243913761107,-1.12321467765482
"3","Damerau et al. (2016)",2050,"Damerau et al. (2016)","Agriculture","2050 Macro-nutrient shift","Water Footprint Network - Mekonnen & Hoekstra (2011)",1741.59487809586,-65.4051219041407,-0.286515894342704,0.698458678164262,-0.144369069723812,0,-0.0134069455090788,-0.75593967257377
"5","de Fraiture & Wichelns (2010)",2050,"WATERSIM","Agriculture","RF-LY","IMWI water and climate altas & FAO AQUASTAT database 2005",1570,-237,0.174862811506279,1.01680412334175,0.574623131322614,0.197133804366149,0.280762342901991,0.172945780555218
"7","de Fraiture & Wichelns (2010)",2050,"WATERSIM","Agriculture","IRR-YI","IMWI water and climate altas & FAO AQUASTAT database 2005",1570,-237,0.362074353594425,1.01680412334175,0.574623131322614,0.368467587045183,0.16590277329312,0.757592307317856
"91","Muller et al. (2017)",2050,"SOLm","Agriculture","0Conc_0Org","FAO AQUASTAT 2013",1371.32,-435.68,0.225258979865316,-1,0.697522384370079,0.282926829268293,0,-2.09038410718782
"95","Muller et al. (2017)",2050,"SOLm","Agriculture","0Conc_20Org","FAO AQUASTAT 2013",1371.32,-435.68,0.22337687589893,-1,0.697581649195145,0.246341463414634,0,-1.93338164824726
"96","Muller et al. (2017)",2050,"SOLm","Agriculture","0Conc_0Org_W50","FAO AQUASTAT 2013",1371.32,-435.68,0.0609488596245458,-1,0.501533607876281,0.292682926829268,0,-2.69818435509484
"97","Muller et al. (2017)",2050,"SOLm","Agriculture","0Conc_80Org_W50","FAO AQUASTAT 2013",1371.32,-435.68,0.0532347914795846,-1,0.495014477119003,0.139024390243903,0,-1.96563182478562
"98","Muller et al. (2017)",2050,"SOLm","Agriculture","0Conc_60Org_W50","FAO AQUASTAT 2013",1371.32,-435.68,0.0548928229475043,-1,0.496910951521121,0.178048780487805,0,-2.15891660816131
