"","Study","ScenYear","Model","Scope","Scenario..author.code.","Cropland.scope","Initial_condition","Delta_initial","Cropland","Rum_meat_crop_feed_water","Dairy_crop_feed_water","Mon_feed_water","Plant_food_water","Yield"
"285","Muller et al. (2017)",2050,"SOLm","Agriculture","0Conc_80Org_W50","Agriculture",1354.61,-164.39,-0.146937282982384,-1,-1,-1,0.495014477119003,0.139024390243903
"286","Muller et al. (2017)",2050,"SOLm","Agriculture","0Conc_60Org_W50","Agriculture",1354.61,-164.39,-0.194210855134031,-1,-1,-1,0.496910951521121,0.178048780487805
"287","Muller et al. (2017)",2050,"SOLm","Agriculture","0Conc_40Org_W50","Agriculture",1354.61,-164.39,-0.238568901384099,-1,-1,-1,0.498629631448039,0.217073170731708
"288","Muller et al. (2017)",2050,"SOLm","Agriculture","0Conc_20Org_W50","Agriculture",1354.61,-164.39,-0.280285463905274,-1,-1,-1,0.500170516899759,0.253658536585366
"301","Muller et al. (2017)",2050,"SOLm","Agriculture","50Conc_0Org","Agriculture",1354.61,-164.39,-0.0775579962104651,-0.504992529305363,-0.493896650871608,-0.929293048975946,0.615736925778775,0.0902439024390245
"307","Muller et al. (2017)",2050,"SOLm","Agriculture","50Conc_0Org_W50","Agriculture",1354.61,-164.39,-0.195278210749958,-0.485250084206991,-0.437910174763119,-0.711454020015512,0.418740647258853,0.0926829268292686
"314","Muller et al. (2017)",2050,"SOLm","Agriculture","50Conc_60Org_CCyes","Agriculture",1354.61,-164.39,0.491029758540835,-0.362327235638085,-0.345784405730796,-0.575338601034275,0.612536625225202,0.160975609756098
"315","Muller et al. (2017)",2050,"SOLm","Agriculture","50Conc_40Org_CCyes","Agriculture",1354.61,-164.39,0.432166121254167,-0.371121430133304,-0.355078474748601,-0.587216915125815,0.613129273475864,0.192682926829268
"316","Muller et al. (2017)",2050,"SOLm","Agriculture","50Conc_20Org_CCyes","Agriculture",1354.61,-164.39,0.376847191841084,-0.380251133967726,-0.364471152368262,-0.598364956277332,0.613603392076393,0.226829268292683
"318","Muller et al. (2017)",2050,"SOLm","Agriculture","50Conc_100Org_W50_CCyes","Agriculture",1354.61,-164.39,0.505539309579654,-0.504888901829602,-0.472201741164704,-0.638520560175676,0.40813224357201,0.336585365853659
"319","Muller et al. (2017)",2050,"SOLm","Agriculture","50Conc_80Org_W50_CCyes","Agriculture",1354.61,-164.39,0.436841551300015,-0.462549146267842,-0.422521926403097,-0.625073635569146,0.41044357174959,0.134146341463415
"320","Muller et al. (2017)",2050,"SOLm","Agriculture","50Conc_60Org_W50_CCyes","Agriculture",1354.61,-164.39,0.373133204832842,-0.470246551158126,-0.430780494214201,-0.635985656057109,0.41245857580184,0.168292682926829
"321","Muller et al. (2017)",2050,"SOLm","Agriculture","50Conc_40Org_W50_CCyes","Agriculture",1354.61,-164.39,0.313610709189788,-0.479023450657832,-0.438696831298127,-0.64667043036361,0.414355050203957,0.202439024390244
"325","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_80Org","Agriculture",1354.61,-164.39,0.341923343046054,0.364103073114663,0.424654868077524,0.50678033024167,0.462300293682482,0.373170731707317
"331","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_80Org_W50","Agriculture",1354.61,-164.39,0.231235570180814,0.13181161196891,0.239862580668044,0.300231628307658,0.266489311663882,0.391242917560976
"335","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_20Org_CCyes","Agriculture",1354.61,-164.39,0.508247392121362,0.386857841933503,0.46273461866618,0.509906369220803,0.468404570664296,0.210863377073171
"337","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_40Org_W50_CCyes","Agriculture",1354.61,-164.39,0.492054790634612,0.167819737184313,0.291951694212027,0.348632977286208,0.271763881094771,0.186550813902439
"338","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_20Org_W50_CCyes","Agriculture",1354.61,-164.39,0.428753337053325,0.152424094717005,0.274246371982045,0.302436943383089,0.275556829899005,0.219622314390244
"339","Roos et al. (2017) with pasture",2050,"Roos et al. (2017) with pasture","Agriculture","ART PD + PASTURE","Agriculture",1560,41,0.196505369177256,-1,5.70716097980401,-1,0.500065574761508,0
"342","Roos et al. (2017) with pasture",2050,"Roos et al. (2017) with pasture","Agriculture","PBE HD + PASTURE","Agriculture",1560,41,0.389715421005968,-1,-1,-1,0.630445796673,0.0431856224990232
"344","Roos et al. (2017) with pasture",2050,"Roos et al. (2017) with pasture","Agriculture","EL HD + PASTURE","Agriculture",1560,41,0.371543684652313,-1,-1,-0.869484704518807,0.508177346167992,0.0431856224990232
"345","Roos et al. (2017) with pasture",2050,"Roos et al. (2017) with pasture","Agriculture","WR: INT PD + PASTURE","Agriculture",1560,41,0.481963083121676,10.3571843678908,1.29477301667298,0.704264859025837,0.418891657663435,0
"351","Roos et al. (2017) with pasture",2050,"Roos et al. (2017) with pasture","Agriculture","WR: ART PD + PASTURE","Agriculture",1560,41,0.0116317744511511,-1,5.20047864975624,-1,0.418891657663435,0
"352","Roos et al. (2017) with pasture",2050,"Roos et al. (2017) with pasture","Agriculture","WR: ART HD + PASTURE","Agriculture",1560,41,0.0351589565290398,-1,4.84288038286848,-1,0.322208277512408,0.0431856224990232
