"","Study","ScenYear","Model","Scope","Scenario..author.code.","Cropland.scope","Initial_condition","Delta_initial","C_price_cat","Cropland","Rum_meat_crop_feed","Dairy_crop_feed","Mon_feed","Plant_food","C_price","rstand"
"308","Muller et al. (2017)",2050,"SOLm","Agriculture","50Conc_20Org_CCyes","Agriculture",1354.61,-164.39,"No",0.376847191841084,-0.494836908403116,-0.48197449795425,-0.672623523009356,0.315263202288909,0,2.46241310666114
"329","Searchinger et al. (2018)",2050,"GlobAgri-WRR","Agriculture","BAU","Agriculture",1547,28,"No",0.116992663781217,0.650283825519497,0.915775720025273,0.0977081491850231,0.214546653102117,0,0.440631314677106
"331","Searchinger et al. (2018)",2050,"GlobAgri-WRR","Agriculture","Highly ambitious","Agriculture",1547,28,"No",-0.123699013849117,-0.0220487695150515,0.654119664594358,-0.0153238406550293,0.0700025816030632,0,-0.644580764337804
"332","Searchinger et al. (2018)",2050,"GlobAgri-WRR","Agriculture","Breakthrough technologies","Agriculture",1547,28,"No",-0.260685002947771,-0.154130589229378,0.430890322784836,-0.147878094201914,-0.0698514797004958,0,-0.69997342008907
"528","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-FAO yield_Diet-RICH+bau (0.7+G+FAO+RICH+bau)","Agriculture",1341.34687562195,-177.65312437805,"No",0.369204436321672,2.48900956654806,3.20867471480453,1.35164170714119,0.274363890725617,0,-1.80044725351097
"530","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-yield gap closed_Diet-RICH+mono (0.7+G+YGC+RICH+mono)","Agriculture",1341.34687562195,-177.65312437805,"No",0.430952227368576,-1,-1,3.3790905551377,0.0157192110011786,0,1.63449866746676
"531","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-FAO yield_Diet-RICH+mono (0.7+G+FAO+RICH+mono)","Agriculture",1341.34687562195,-177.65312437805,"No",0.471779648335861,-1,-1,4.49419053734783,0.274363890725617,0,-1.51160039088642
"532","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-high yield_Diet-BAU+rumi (0.7+G+HY+BAU+rumi)","Agriculture",1341.34687562195,-177.65312437805,"No",0.210392594303449,2.82479382940159,1.96272819105628,-1,0.11701713763889,0,1.59611404459759
"534","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-FAO yield_Diet-BAU+rumi (0.7+G+FAO+BAU+rumi)","Agriculture",1341.34687562195,-177.65312437805,"No",0.291859889630838,3.16973544796831,2.22992383693403,-1,0.217756083738949,0,1.45595281689807
"544","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-yield gap closed_Diet-MEAT+bau (0.7+G+YGC+MEAT+bau)","Agriculture",1341.34687562195,-177.65312437805,"No",0.0798735532101183,0.397245529187011,1.73832715715845,0.223448889246873,-0.243112180160233,0,2.01098705740697
"547","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-high yield_Diet-MEAT+mono (0.7+G+HY+MEAT+mono)","Agriculture",1341.34687562195,-177.65312437805,"No",0.201783906416881,-1,-1,2.53713927861952,-0.128934455512872,0,1.36634123886424
"549","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-FAO yield_Diet-MEAT+mono (0.7+G+FAO+MEAT+mono)","Agriculture",1341.34687562195,-177.65312437805,"No",0.270354652771795,-1,-1,2.85613857695656,-0.0503768202010348,0,1.0691154844401
"551","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-yield gap closed_Diet-VEGET+rumi (0.7+G+YGC+VEGET+rumi)","Agriculture",1341.34687562195,-177.65312437805,"No",-0.29449457660189,-1,2.20930038787251,-1,-0.128314284606129,0,-1.53577502782471
"554","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-high yield_Diet-VEGET+bau (0.7+G+HY+VEGET+bau)","Agriculture",1341.34687562195,-177.65312437805,"No",-0.229770295381375,-1,2.18122188903483,-0.712261784502967,0.00318088413941831,0,-2.2473311414342
"556","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-FAO yield_Diet-VEGET+bau (0.7+G+FAO+VEGET+bau)","Agriculture",1341.34687562195,-177.65312437805,"No",-0.148293331236316,-1,2.46812253685229,-0.686311918914375,0.0936534307196311,0,-2.28745433951367
"563","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-rough_Crop-yield gap closed_Diet-RICH+mono (0.7+R+YGC+RICH+mono)","Agriculture",1341.34687562195,-177.65312437805,"No",0.344007797990703,-1,-1,2.25524297850105,0.0157192110011786,0,2.16693046319562
"576","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-rough_Crop-high yield_Diet-MEAT+mono (0.7+R+HY+MEAT+mono)","Agriculture",1341.34687562195,-177.65312437805,"No",0.11496582238382,-1,-1,1.62936965009722,-0.128934455512872,0,1.60977849834768
"578","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-rough_Crop-FAO yield_Diet-MEAT+mono (0.7+R+FAO+MEAT+mono)","Agriculture",1341.34687562195,-177.65312437805,"No",0.193911415358679,-1,-1,1.86650113047734,-0.0503768202010348,0,1.53929458446672
"580","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-rough_Crop-high yield_Diet-VEGET+rumi (0.7+R+HY+VEGET+rumi)","Agriculture",1341.34687562195,-177.65312437805,"No",-0.357327819698622,-1,0.354363519371103,-1,0.00318088413941831,0,-2.11813467529296
"581","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-rough_Crop-FAO yield_Diet-VEGET+rumi (0.7+R+FAO+VEGET+rumi)","Agriculture",1341.34687562195,-177.65312437805,"No",-0.279238932421732,-1,0.476507709447011,-1,0.0936534307196311,0,-2.05531004342273
"582","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-rough_Crop-organic yields_Diet-VEGET+rumi (0.7+R+Org+VEGET+rumi)","Agriculture",1341.34687562195,-177.65312437805,"No",-0.0706907017051436,-1,0.861683633650579,-1,0.378954325689969,0,-2.28130625130641
"594","Tilman & Clark (2014)",2050,"Tilman & Clark (2014)","Food","BAU-2050 - all measures","Agriculture",1549.1997,30.1996999999999,"No",-0.0327005848131865,-0.249267856857487,-0.143053803585563,0.0119708865939441,-0.0974903778120743,0,-2.25636397215654
"597","Tilman & Clark (2014)",2050,"Tilman & Clark (2014)","Food","Veg - all measures","Agriculture",1549.1997,30.1996999999999,"No",-0.263207796782322,-1,0.0132011700403067,-0.806836829729775,-0.275739400539066,0,-2.2587166578338
"664","Weindl et al. (2017)",2050,"MAgPIE 3","Agriculture","SSP2-Catch up+Static WP","Agriculture",1389,-130,"No",0.352490535553469,0.846748545270541,1.31592201986908,0.19611897071018,-0.0105956910607981,0,2.33340673725526
