"","Study","ScenYear","Model","Scope","Scenario..author.code.","Initial_condition","Delta_initial","CH4","Rum_meat_kcal_GHG","Dairy_kcal_GHG","Non_rum_kcal_GHG","Plant_kcal_GHG","Yield","GHG_eff_CH4"
"2","Bajzelj et al. (2014)","2050","Bajzelj et al. (2014)","Agriculture","CT2",150.4,15.8749179,0.620061598843916,0.642896570344756,0.480282940041975,0.797410870809896,0.424676804851153,0.157894736842105,0
"3","Bajzelj et al. (2014)","2050","Bajzelj et al. (2014)","Agriculture","CT3",150.4,15.8749179,0.136518946713853,0.0466656900388491,0.418406796848447,-0.089757220250208,0.326936760584516,0.105263157894737,0
"5","Bajzelj et al. (2014)","2050","Bajzelj et al. (2014)","Agriculture","YG2",150.4,15.8749179,0.582156186254833,0.642896570344756,0.480282940041975,0.797410870809896,0.424676804851153,0.842105263157895,0
"6","Bajzelj et al. (2014)","2050","Bajzelj et al. (2014)","Agriculture","YG3",150.4,15.8749179,0.0792240420527004,0.0466656900388491,0.418406796848447,-0.089757220250208,0.326936760584516,0.815789473684211,0
"170","Clark et al. (2020)","2045","Clark et al. (2020)","Food","Converge_2050+Diet Intensity Slider 100%+Medium_Fertility+Efficiency Slider 50%+Efficiency_Increased_020%+50% To Max Yields + 50% from BAU trends+Waste_Reduced_25%+Waste Slider 50%",122.489183017857,-12.0358990821429,-0.540000673442034,-0.462743775164068,0.577848024477967,-0.331486242119399,0.321527493171185,1.03301950769921,0.166666667
"195","Clark et al. (2020)","2050","Clark et al. (2020)","Food","Converge_2050+Diet Intensity Slider 100%+Medium_Fertility+Efficiency Slider 0%+Efficiency_Increased_00%+0% To Max Yields + 50% from BAU trends+Waste_Reduced_0%+Waste Slider 0%",122.489183017857,-12.0358990821429,-0.480027153318459,-0.583552765170254,0.493578585911858,-0.358841607905644,0.430510967952593,0.676168871211728,0
"198","Conijn et al. (2018)","2050","BIOSPACS","Agriculture","(+Diet)",138.291935546794,3.76685344679376,-0.0733133493244861,-0.0847046423775345,-0.137056925731803,-0.0919053729388295,0.747332141530787,0,0
"199","Conijn et al. (2018)","2050","BIOSPACS","Agriculture","(+Feed)",138.291935546794,3.76685344679376,0.496706658435078,0.361134466739601,0.278819254638413,0.352233996946312,0.548581554140418,0,0
"203","Conijn et al. (2018)","2050","BIOSPACS","Agriculture","(+All)",138.291935546794,3.76685344679376,-0.285574929262986,-0.387725661361061,-0.422971799736326,-0.391275849326701,0.557994025442972,0.5,0
"252","FAO (2018)","2035","FAO GAPS - ENVISAGE","Agriculture","SSS",145.34,10.8149179,0.251551392389597,0.331005578844826,0.312340315551753,0.279697482956616,0.386546619755326,0.154291206812565,0
"255","FAO (2018)","2040","FAO GAPS - ENVISAGE","Agriculture","SSS",145.34,10.8149179,0.268158751130231,0.344443588737121,0.335862666622647,0.296401747169063,0.450344590837128,0.174689035581797,0
