"","Study","ScenYear","Model","Scope","Scenario..author.code.","Water.scope","Initial_condition","Delta_initial","Water","All_feed_water","Plant_food_water","Yield","WPinc"
"1","Damerau et al. (2016)","2050","Damerau et al. (2016)","Agriculture","2050 Increased protein (from animal sources)","Water Footprint Network - Mekonnen & Hoekstra (2011)",1741.59487809586,-65.4051219041407,0.108462289515688,0.0716850524973904,0.120173945126049,0,-0.141927637593062
"2","Damerau et al. (2016)","2050","Damerau et al. (2016)","Agriculture","2050 Replaced foods","Water Footprint Network - Mekonnen & Hoekstra (2011)",1741.59487809586,-65.4051219041407,-0.0447870431879527,0.0531118344923489,0.0534288114975094,0,-0.166243913761107
"3","Damerau et al. (2016)","2050","Damerau et al. (2016)","Agriculture","2050 Macro-nutrient shift","Water Footprint Network - Mekonnen & Hoekstra (2011)",1741.59487809586,-65.4051219041407,-0.286515894342704,0.748297514278884,-0.144369069723812,0,-0.0134069455090788
"23","Davis et al. (2016)","2025","Davis et al. (2016)","Food","S3","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.0485496145913309,-0.209558711009199,0.131711321077278,0,0
"27","Davis et al. (2016)","2025","Davis et al. (2016)","Food","S3 + prod","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,-0.0713805918385198,-0.209558711009199,0.131711321077278,0,0.113466059841618
"31","Davis et al. (2016)","2030","Davis et al. (2016)","Food","S3","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.0374725782524234,-0.304234756379096,0.162919638288702,0,0
"35","Davis et al. (2016)","2030","Davis et al. (2016)","Food","S3 + prod","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,-0.122476377185827,-0.304234756379096,0.162919638288702,0,0.147573619429075
"38","Davis et al. (2016)","2035","Davis et al. (2016)","Food","S2","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.535844740947128,-0.399492533669471,0.157042611144919,0,0
"39","Davis et al. (2016)","2035","Davis et al. (2016)","Food","S3","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.0174719115457538,-0.406941713042468,0.189650086262759,0,0
"42","Davis et al. (2016)","2035","Davis et al. (2016)","Food","S2 + prod","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.341189463890091,-0.399492533669471,0.157042611144919,0,0.177034716998565
