"","Study","ScenYear","Model","Scope","Scenario..author.code.","Water.scope","Initial_condition","Delta_initial","Water","Rum_meat_crop_feed_water","Dairy_crop_feed_water","Mon_feed_water","Plant_food_water","Yield","WUEinc","rstand"
"166","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_40Org","FAO AQUASTAT 2013",1371.32,-435.68,0.591284310007876,0.456350880705133,0.535127366058423,0.546978165609305,0.469530602340553,0.209756097560976,0,1.96500211108155
"167","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_20Org","FAO AQUASTAT 2013",1371.32,-435.68,0.592451069042966,0.435519520406964,0.513806640267181,0.495356163250418,0.472375313943729,0.246341463414634,0,1.95731428771436
"168","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_0Org_W50","FAO AQUASTAT 2013",1371.32,-435.68,0.588031969197562,0.384763086905948,0.482131530318414,0.410083198853085,0.474093993870648,0.327190791219512,0,1.88455069821291
"173","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_80Org_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.575102820639967,0.317212029608234,0.376374471795177,0.523019930632934,0.45939631725424,0.34574398902439,0,1.83952140776604
"174","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_60Org_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.566271913193128,0.428703338548293,0.506337446855027,0.621344022282666,0.462833677108077,0.145050182195122,0,1.8204926267306
"175","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_40Org_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.558935915759998,0.406753792403873,0.482978665725228,0.563450917758537,0.465856183186451,0.178049392926829,0,1.74025076910503
"176","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_20Org_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.552825015313712,0.386857841933503,0.46273461866618,0.509906369220803,0.468404570664296,0.210863377073171,0,1.67097153000852
"177","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_0Org_W50_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.588031969197562,0.384763086905948,0.482131530318414,0.410083198853085,0.474093993870648,0.327190791219512,0,1.88455069821291
"193","Springmann et al. (2018)",2050,"EAT-Lancet","Food","TECH + HW + BAU + SSP3","IMPACT 3",1807.07799547358,0.0779954735799038,0.0537245485472015,0.759340785511364,0.554560407423081,0.689642770812051,0.539769602274787,0.420351434660392,0.233343326088586,-2.04236611599673
"202","Springmann et al. (2018)",2050,"EAT-Lancet","Food","TECH + QW + BAU + SSP3","IMPACT 3",1807.07799547358,0.0779954735799038,-0.0212192837656079,0.727219573219837,0.53422111014792,0.711159315703535,0.467298594844094,0.420351434660392,0.233343326088586,-2.2583290593472
"211","Springmann et al. (2018)",2050,"EAT-Lancet","Food","TECH_p + FW + BAU + SSP3","IMPACT 3",1807.07799547358,0.0779954735799038,0.203252305136217,0.823583210094418,0.595239001973403,0.672661720472961,0.684711617136172,0.529577464788732,0.23234561193135,-1.755301251918
"220","Springmann et al. (2018)",2050,"EAT-Lancet","Food","TECH_p + HW + BAU + SSP3","IMPACT 3",1807.07799547358,0.0779954735799038,0.0533629044231423,0.759340785511364,0.554560407423081,0.689642770812051,0.539769602274787,0.529577464788732,0.23234561193135,-2.17410217584687
"229","Springmann et al. (2018)",2050,"EAT-Lancet","Food","TECH_p + QW + BAU + SSP3","IMPACT 3",1807.07799547358,0.0779954735799038,-0.0215817959333953,0.727219573219837,0.53422111014792,0.711159315703535,0.467298594844094,0.529577464788732,0.23234561193135,-2.39007320608202
"268","Weindl et al. (2017)",2050,"MAgPIE 3","Agriculture","SSP2-Baseline+Static WP","LPJmL",1022.59777602863,-784.40222397137,0.611996937775531,0.985808838220416,1.89795955018766,0.716691999121685,0.39413928648416,0.39821596,-0.0171945704441513,1.89597325833438
"270","Weindl et al. (2017)",2050,"MAgPIE 3","Agriculture","SSP2-Catch up+Static WP","LPJmL",1022.59777602863,-784.40222397137,0.69150109500474,1.60219677229781,2.26329473518762,0.685414580581262,0.39413928648416,0.40906935,-0.014802646408097,2.45675692669888
"276","Weindl et al. (2017)",2050,"MAgPIE 3","Agriculture","DEMI-Baseline + YIELD","LPJmL",1022.59777602863,-784.40222397137,0.157180101640452,0.465396488708677,0.953846345843565,-0.0334076972322009,0.567121427887401,0.35577975,0.0178031460784944,-2.00020043910285
"277","Weindl et al. (2017)",2050,"MAgPIE 3","Agriculture","DEMI-Divergence + YIELD","LPJmL",1022.59777602863,-784.40222397137,0.122635858787179,0.138933674467206,0.698996822472665,0.0197282510729091,0.567121427887401,0.34535062,0.0204712984163788,-2.14632501152154
"278","Weindl et al. (2017)",2050,"MAgPIE 3","Agriculture","DEMI-Catch up + YIELD","LPJmL",1022.59777602863,-784.40222397137,0.237929437636825,0.759156311135571,1.31063567856283,-0.0580934014366805,0.567121427887401,0.36877166,0.0164667854863632,-1.45974769369625
"279","Weindl et al. (2017)",2050,"MAgPIE 3","Agriculture","DEMI-Moderation + YIELD","LPJmL",1022.59777602863,-784.40222397137,0.167373933429118,0.308686776487381,1.04925155202857,-0.00834644098831494,0.567121427887401,0.35762835,0.0236608962158462,-1.8463234806864
"475","Willet et al. (2019)",2030,"EAT-Lancet","Food","SSP3_BMK_half_w_BMK, 2500kcal","IMPACT 3",1807.07799547358,0.0779954735799038,0.197753582535749,0.317373357797492,0.284383273550167,0.351544203847099,0.236353610811823,0,0,-1.89065653419944
