"","Model","Scenario","Year","CO2_LUC","delta_Pasture","delta_Cropland","delta_Forest_net","Carbon_price","C_price_cat","rstand"
"1264","IMAGE 3.2","SSP2_SPA2_45I_LIRE",2040,-2414.92114983101,-21.10396,6.94983999999999,2.50771999999992,1.46,"Yes",-1.89459835618663
"1275","MESSAGEix-GLOBIOM 1.0","LowEnergyDemand_1.3_IPCC",2015,5862.49986666667,3.48495999999977,1.30066000000002,1.8335999999998,0,"No",0.383808994665588
"1276","MESSAGEix-GLOBIOM 1.0","LowEnergyDemand_1.3_IPCC",2020,5470.96916666667,3.48498000000027,1.30056,1.83346000000033,2.50311115730943,"Yes",0.615579462951164
"2327","MESSAGEix-GLOBIOM_1.1","EN_NPi2020_450",2025,2542.18817124184,-38.0272122222765,-3.26118449877717,-28.8509969178238,1456.40329279355,"Yes",2.03546052552271
"2330","MESSAGEix-GLOBIOM_1.1","EN_NPi2020_450",2040,-1897.9581895393,-28.2891840980762,-0.667309961497222,-16.9772492631997,1949.82987670996,"Yes",0.701821816229157
"2331","MESSAGEix-GLOBIOM_1.1","EN_NPi2020_450",2045,-2401.60806547393,-19.5894702589324,-0.572486392485189,-8.4552405891759,2261.98288716638,"Yes",1.17720675487693
"2332","MESSAGEix-GLOBIOM_1.1","EN_NPi2020_450",2050,-2917.93491722077,-16.1867045885489,-1.74534305263282,-6.32207984349248,2411.9626776805,"Yes",1.55753889405146
"2636","MESSAGEix-GLOBIOM_1.2","COV_GreenPush",2050,2807.80976666667,-0.111200000000008,0.924119999999994,2.97721999999999,0,"No",1.57918177621408
"2660","MESSAGEix-GLOBIOM_1.2","COV_GreenPush_max_GDP",2050,2808.10677588966,-0.111278084420064,0.924121229041975,2.97767831297997,0,"No",1.57941214509987
"2668","MESSAGEix-GLOBIOM_1.2","COV_GreenPush_min_GDP",2050,2807.80976666667,-0.111200000000008,0.924119999999994,2.97721999999999,0,"No",1.57918177621408
"2676","MESSAGEix-GLOBIOM_1.2","COV_NoPolicyNoCOVID",2050,2805.73952587523,-0.117424662756002,0.92887655035197,2.97921383189391,0,"No",1.57747030102318
"2700","MESSAGEix-GLOBIOM_1.2","COV_Restore",2050,2807.8495098479,-0.111200000000008,0.92412166716199,2.97731137842998,0,"No",1.57921255583394
"2724","MESSAGEix-GLOBIOM_1.2","COV_SelfReliance",2050,2807.85282705407,-0.111200000000008,0.924121816751995,2.97732410194803,0,"No",1.57921518205876
"2748","MESSAGEix-GLOBIOM_1.2","COV_SelfReliance_max_GDP",2050,2807.08207013151,-0.117821097571959,0.928875779831969,2.98113604244804,0,"No",1.57851153748344
"2756","MESSAGEix-GLOBIOM_1.2","COV_SelfReliance_min_GDP",2050,2807.80976666667,-0.111200000000008,0.924119999999994,2.97721999999999,0,"No",1.57918177621408
"2764","MESSAGEix-GLOBIOM_1.2","COV_SmartUse",2050,2807.82907926882,-0.111200000000008,0.92412081013199,2.97726440397601,0,"No",1.5791967331082
"2931","REMIND-MAgPIE 1.7-3.0","EMF33_1.5C_full",2045,4189.8554,-27.15612,26.77552,-0.0588000000000165,238.20192,"Yes",2.14053398746553
"2939","REMIND-MAgPIE 1.7-3.0","EMF33_1.5C_nofuel",2045,3911.5772,-23.03418,22.64144,-0.0709399999999704,306.67329,"Yes",2.22490389306793
"2940","REMIND-MAgPIE 1.7-3.0","EMF33_1.5C_nofuel",2050,2841.0917,-14.08076,14.06106,-0.00674000000008093,390.09795,"Yes",2.45307975248299
"3027","REMIND-MAgPIE 1.7-3.0","EMF33_WB2C_nobeccs",2045,3351.4873,-21.35176,21.15732,0.0528399999999692,508.11112,"Yes",2.17399055675352
"3043","REMIND-MAgPIE 1.7-3.0","EMF33_WB2C_none",2045,1180.2458,-9.90302000000002,9.19937999999997,-0.324940000000016,865.86335,"Yes",1.64265834598422
"3044","REMIND-MAgPIE 1.7-3.0","EMF33_WB2C_none",2050,821.3562,-6.4616,6.27598000000003,-0.0432999999999538,1105.36338,"Yes",2.38202800407862
"3112","REMIND-MAgPIE 1.7-3.0","PEP_1p5C_red_eff",2030,-1660.2028,-17.79754,0.503800000000001,0.0102799999999199,360.687,"Yes",-1.98008941119706
"3116","REMIND-MAgPIE 1.7-3.0","PEP_1p5C_red_eff",2050,-4785.5628,-7.67121999999999,7.66852000000003,0.0155200000001512,1170.2642,"Yes",-1.80028821730198
"3155","REMIND-MAgPIE 1.7-3.0","PEP_2C_red_NDC",2045,-2803.6577,-17.93784,17.94374,0.00875999999998598,532.5116,"Yes",-2.27244479085132
"3172","REMIND-MAgPIE 1.7-3.0","PEP_2C_red_goodpractice",2050,-3770.1936,-13.8068,13.80326,0.0146799999999079,555.2025,"Yes",-2.25214492729035
"3180","REMIND-MAgPIE 1.7-3.0","PEP_2C_red_netzero",2050,-3572.7161,-13.55208,13.54856,0.0146999999999036,468.4546,"Yes",-2.22381384593694
"3225","REMIND-MAgPIE 1.7-3.0","SMP_2C_lifesty",2035,-2116.2959,-20.4874800000001,-8.27348000000002,-8.65654000000004,54.2502,"Yes",-1.65631012928318
"3244","REMIND-MAgPIE 2.0-4.1","Diff_1300Gt_hybrid_def",2015,3551.8594,-4.20484000000006,7.59414000000002,3.4378799999999,1.8241,"Yes",-1.62678060726476
"3246","REMIND-MAgPIE 2.0-4.1","Diff_1300Gt_hybrid_def",2025,4843.9901,-5.26037999999999,-1.85574000000001,4.93892000000001,57.6426,"Yes",1.20342185271941
"3247","REMIND-MAgPIE 2.0-4.1","Diff_1300Gt_hybrid_def",2030,4015.49,-2.62054000000007,0.239859999999999,1.45299999999993,70.1142,"Yes",0.859979269506627
"3249","REMIND-MAgPIE 2.0-4.1","Diff_1300Gt_hybrid_def",2040,-173.3173,-12.64588,1.60382,-3.57550000000001,109.5888,"Yes",-1.07149743674756
"3250","REMIND-MAgPIE 2.0-4.1","Diff_1300Gt_hybrid_def",2045,-1480.3035,-17.5506399999999,-4.02421999999997,-9.94919999999984,141.2555,"Yes",-1.01680294733332
"3251","REMIND-MAgPIE 2.0-4.1","Diff_1300Gt_hybrid_def",2050,-2097.7693,-16.9905000000001,0.983219999999983,-1.48336000000008,182.4687,"Yes",-1.17775453097799
"3252","REMIND-MAgPIE 2.0-4.1","Diff_1300Gt_no-transfer_def",2015,3551.8594,-4.20484000000006,7.59414000000002,3.4378799999999,1.8241,"Yes",-1.62678060726476
"3254","REMIND-MAgPIE 2.0-4.1","Diff_1300Gt_no-transfer_def",2025,4566.2018,-5.58442000000005,-3.58532,4.7059999999999,253.3916,"Yes",1.42329413543054
"3255","REMIND-MAgPIE 2.0-4.1","Diff_1300Gt_no-transfer_def",2030,4224.7479,-2.74016000000001,0.266220000000021,2.94088000000006,249.1874,"Yes",1.30729386184029
"3256","REMIND-MAgPIE 2.0-4.1","Diff_1300Gt_no-transfer_def",2035,4304.0187,-5.93822,1.18679999999999,1.7866199999999,301.5269,"Yes",1.97400348528539
"3259","REMIND-MAgPIE 2.0-4.1","Diff_1300Gt_no-transfer_def",2050,-2713.6459,-20.97246,4.61008000000002,-1.64201999999986,611.3778,"Yes",-1.14769358093053
"3260","REMIND-MAgPIE 2.0-4.1","Diff_1300Gt_uniform-pricing_def",2015,3551.8594,-4.20484000000006,7.59414000000002,3.4378799999999,1.8241,"Yes",-1.62678060726476
"3262","REMIND-MAgPIE 2.0-4.1","Diff_1300Gt_uniform-pricing_def",2025,4365.0132,-4.75946000000004,-1.88316,6.53171999999991,48.5526,"Yes",0.83644919186615
"3265","REMIND-MAgPIE 2.0-4.1","Diff_1300Gt_uniform-pricing_def",2040,-88.8604,-13.9749800000001,1.14586000000004,-7.12048,100.9369,"Yes",-0.992784395406274
"3266","REMIND-MAgPIE 2.0-4.1","Diff_1300Gt_uniform-pricing_def",2045,-1470.2737,-12.29424,-6.33082000000004,-5.12973999999995,128.8243,"Yes",-0.946492393061985
"3267","REMIND-MAgPIE 2.0-4.1","Diff_1300Gt_uniform-pricing_def",2050,-1952.5976,-17.8549,1.00790000000002,-8.81515999999997,164.4161,"Yes",-1.15813203738479
"3268","REMIND-MAgPIE 2.0-4.1","Diff_No-policy_baseline",2015,3581.2016,-4.30724,7.37836000000002,2.54726000000005,1.2159,"Yes",-1.59740388062425
"3269","REMIND-MAgPIE 2.0-4.1","Diff_No-policy_baseline",2020,3741.6082,-4.55799999999999,5.95056,-0.769120000000066,0,"No",-0.8840714313843
"3272","REMIND-MAgPIE 2.0-4.1","Diff_No-policy_baseline",2035,4714.6817,-2.06482000000005,6.22754000000004,-1.33591999999999,0,"No",1.32042848397397
"3273","REMIND-MAgPIE 2.0-4.1","Diff_No-policy_baseline",2040,4522.2472,-4.87817999999997,6.27883999999999,-5.25716000000007,0,"No",1.72481348736357
"3274","REMIND-MAgPIE 2.0-4.1","Diff_No-policy_baseline",2045,3752.6498,-6.28094000000001,6.99361999999996,-3.05895999999998,0,"No",1.67933190411465
"3275","REMIND-MAgPIE 2.0-4.1","Diff_No-policy_baseline",2050,3023.2961,-9.51376,7.68182000000002,-3.76399999999999,0,"No",1.68187686676241
"3314","REMIND-MAgPIE 2.1-4.2","CEMICS_SSP2-1p5C-minCDR",2045,170.4312,3.37287999999999,5.28381999999997,9.26306,1118.806,"Yes",1.27184929454017
"3315","REMIND-MAgPIE 2.1-4.2","CEMICS_SSP2-1p5C-minCDR",2050,231.3922,1.21253999999999,6.11570000000002,7.57258000000002,1118.8055,"Yes",1.81796190120152
"3544","REMIND-MAgPIE 2.1-4.2","EN_INDCi2030_600_COV",2035,-98.7886,-2.61575999999995,2.45956000000001,-0.0488799999998717,2037.1166,"Yes",1.67833914234643
"3552","REMIND-MAgPIE 2.1-4.2","EN_INDCi2030_600_COV_NDCp",2035,-41.0508,-4.25814,4.04739999999997,-0.10341999999996,1689.0717,"Yes",1.12140306530558
"3553","REMIND-MAgPIE 2.1-4.2","EN_INDCi2030_600_COV_NDCp",2040,148.3871,-13.0693,13.10162,0.208140000000002,2155.7329,"Yes",2.07686099339415
"3834","REMIND-MAgPIE 2.1-4.2","EN_NPi2020_400",2045,-20.8409,1.73900000000003,7.76104,10.2145,1269.8764,"Yes",1.23236426695158
"4063","REMIND-MAgPIE 2.1-4.3","DeepElec_SSP2_ HighRE_Budg1100",2030,606.7649,-2.95511999999999,4.57192,2.01404000000007,97.3595,"Yes",-1.38372522645021
"4071","REMIND-MAgPIE 2.1-4.3","DeepElec_SSP2_ HighRE_Budg1300",2030,610.0817,-3.05953999999992,4.54818,1.79590000000003,59.5559,"Yes",-1.43660150884326
"4083","REMIND-MAgPIE 2.1-4.3","DeepElec_SSP2_ HighRE_Budg900",2050,77.0582,-0.104500000000007,7.923,8.59072000000001,672.5805,"Yes",0.935951038268339
"4087","REMIND-MAgPIE 2.1-4.3","DeepElec_SSP2_Base",2030,4872.7963,0.361779999999999,10.44896,5.41128000000003,0,"No",1.19783824535556
"4088","REMIND-MAgPIE 2.1-4.3","DeepElec_SSP2_Base",2035,5494.5743,-0.457799999999952,14.16948,2.40930000000003,0,"No",1.90522539348345
"4095","REMIND-MAgPIE 2.1-4.3","DeepElec_SSP2_Npi",2030,5145.801,2.38396000000002,8.76705999999999,2.70868000000005,1.4084,"Yes",1.44232014106887
"4096","REMIND-MAgPIE 2.1-4.3","DeepElec_SSP2_Npi",2035,5929.803,0.179979999999978,14.6331,0.750140000000011,1.7451,"Yes",2.16539759292786
"4176","WITCH 5.0","EN_INDCi2030_1000",2035,-1484.36491066771,-93.955566690065,-11.8009438338332,-56.0117727845037,107.680005034659,"Yes",1.72076971746079
"4192","WITCH 5.0","EN_INDCi2030_1000f",2035,-1435.7563109138,-83.3349092272884,-9.47907153305882,-44.7280068936307,91.1187411304577,"Yes",1.40852338942216
"4448","WITCH 5.0","EN_INDCi2030_600f_NDCp",2035,-1599.32672485715,-74.0495278410304,-15.1969655405192,-59.5273263860188,164.423410403855,"Yes",1.39530023921774
"4456","WITCH 5.0","EN_INDCi2030_700f",2035,-1583.96079428901,-105.119358716275,-15.855363650063,-69.3988416448908,145.517727298768,"Yes",2.14320064397618
"4480","WITCH 5.0","EN_INDCi2030_800_NDCp",2035,-1610.131602524,-80.2411865396321,-17.8482744790632,-67.3515326354872,190.258803338624,"Yes",1.69498622929884
"4488","WITCH 5.0","EN_INDCi2030_800f",2035,-1504.02646229284,-98.9002536006692,-13.2282975901004,-61.6054880182466,119.56833412209,"Yes",1.89595732975317
"4504","WITCH 5.0","EN_INDCi2030_900",2035,-1581.26257975361,-103.798731911221,-15.2984466898214,-67.7372516977133,140.000278687063,"Yes",2.08010532360459
"4520","WITCH 5.0","EN_INDCi2030_900f",2035,-1470.24465586898,-90.9861643755336,-11.1887356484066,-52.9342850099208,103.055727230317,"Yes",1.63567732958999
"4678","WITCH 5.0","EN_NPi2020_400f",2025,-249.46008690779,-79.5081813332822,-12.0966052896854,-61.8469231410752,121.829874642076,"Yes",1.19520440978238
"4686","WITCH 5.0","EN_NPi2020_450",2025,-358.754513746631,-91.0947779966394,-15.2395271558708,-70.0748985889988,287.216040861595,"Yes",1.80785878745484
"4702","WITCH 5.0","EN_NPi2020_500",2025,-344.679555501252,-90.5488853089194,-18.8552585120798,-77.3321950805698,199.608031228844,"Yes",1.85046647919742
"4718","WITCH 5.0","EN_NPi2020_600",2025,-336.285888321954,-81.1652249761134,-12.8525614782538,-63.5914713895608,132.904553327682,"Yes",1.22599424332047
"4784","WITCH-GLOBIOM 4.4","CD-LINKS_INDC2030i_1600",2035,-1526.56500304903,-85.664132527436,-18.5142672961018,-53.545046746984,91.099110074207,"Yes",1.47448623334778
"4795","WITCH-GLOBIOM 4.4","CD-LINKS_INDCi",2050,220.515615775993,3.81034734004597,2.30067355534015,6.03053917695411,16.67314538,"Yes",1.01999010184319
"4808","WITCH-GLOBIOM 4.4","CD-LINKS_NPi",2035,2398.0958259829,4.29496495804206,2.82637553814561,5.49334630713361,1.443502103,"Yes",1.00943371283329
"4809","WITCH-GLOBIOM 4.4","CD-LINKS_NPi",2040,2291.95467932403,4.32662476834994,2.8808418270464,5.53975756152238,1.444252414,"Yes",1.44756676721712
"4810","WITCH-GLOBIOM 4.4","CD-LINKS_NPi",2045,2111.29688169399,4.12944340541399,2.440992547266,5.76985236285802,1.372872305,"Yes",1.87363231768379
"4811","WITCH-GLOBIOM 4.4","CD-LINKS_NPi",2050,1895.23088856918,4.12723324386407,2.4601337138798,5.76697180961182,1.251129059,"Yes",2.23188994951141
"4824","WITCH-GLOBIOM 4.4","CD-LINKS_NPi2020_1600",2035,-1647.35734778077,-19.7585210587939,-0.33649386570321,-8.91252781419923,126.8961722,"Yes",-1.13197646423151
"4830","WITCH-GLOBIOM 4.4","CD-LINKS_NPi2020_400",2025,-348.476019634777,-96.852104727062,-21.7422376177206,-90.3852015233027,273.1456423,"Yes",1.70574828787244
"4835","WITCH-GLOBIOM 4.4","CD-LINKS_NPi2020_400",2050,-2258.745256948,-15.326970609754,7.5504873677268,0.890006296724937,1099.046427,"Yes",0.872481726893204
