"","Model","Scenario","Year","CO2_LUC","delta_Pasture","delta_Cropland","delta_Forest_net","Carbon_price","C_price_cat","rstand"
"197","AIM/CGE 2.1","EMF33_Med2C_nofuel",2035,933.8224,-35.04058,-7.10201999999999,6.42839999999987,223.06207,"Yes",1.61359101247495
"203","AIM/CGE 2.1","EMF33_Med2C_none",2025,1262.9389,-84.5599399999999,-10.4382,-35.6090999999999,55.86922,"Yes",1.64888364123299
"205","AIM/CGE 2.1","EMF33_Med2C_none",2035,837.6488,-36.307,-8.43901999999998,5.00412000000014,231.05775,"Yes",1.66801438419771
"211","AIM/CGE 2.1","EMF33_WB2C_cost100",2025,1291.0575,-83.2455,-9.60098000000003,-34.0319400000001,54.59146,"Yes",1.59021140195993
"219","AIM/CGE 2.1","EMF33_WB2C_full",2025,1292.3883,-83.0026800000001,-9.57237999999998,-33.81714,54.37564,"Yes",1.5847687899999
"222","AIM/CGE 2.1","EMF33_WB2C_full",2040,2767.7564,-6.04723999999996,7.31711999999998,24.9421400000001,380.19388,"Yes",2.14334466886045
"262","AIM/CGE 2.2","EN_INDCi2030_1000f",2040,-97.7551,-25.6099,-3.76289999999999,33.27906,142.6092,"Yes",1.91811034167681
"270","AIM/CGE 2.2","EN_INDCi2030_1200",2040,-94.0734,-24.55546,-3.73831999999998,33.4597,136.9838,"Yes",1.88445437558439
"334","AIM/CGE 2.2","EN_INDCi2030_800f",2040,-105.3021,-27.84792,-3.59195999999997,32.8056000000001,155.1484,"Yes",1.9734578471038
"342","AIM/CGE 2.2","EN_INDCi2030_900f",2040,-105.1742,-27.80912,-3.59825999999998,32.8154,154.9239,"Yes",1.97274525383336
"436","AIM/CGE 2.2","EN_NPi2020_300f",2030,1064.7703,-19.93102,-4.86772000000001,37.45768,158.3653,"Yes",1.74718705741486
"439","AIM/CGE 2.2","EN_NPi2020_300f",2045,-4120.3681,2.88768,7.21207999999997,18.0393799999999,140.9108,"Yes",-2.31446535208089
"444","AIM/CGE 2.2","EN_NPi2020_400f",2030,1067.4419,-19.0497600000001,-5.00657999999999,38.0600399999999,153.4045,"Yes",1.73504642926639
"447","AIM/CGE 2.2","EN_NPi2020_400f",2045,-3788.3854,2.84744000000001,6.16915999999997,14.45062,109.2927,"Yes",-2.07714265076981
"448","AIM/CGE 2.2","EN_NPi2020_400f",2050,-4018.7424,-5.94129999999996,19.78404,16.4674999999999,142.4403,"Yes",-2.4071447908893
"452","AIM/CGE 2.2","EN_NPi2020_500f",2030,1074.6681,-16.7074000000001,-5.13068000000003,39.6221399999999,140.8607,"Yes",1.68564335965473
"460","AIM/CGE 2.2","EN_NPi2020_600",2030,1064.7703,-19.93102,-4.86772000000001,37.45768,158.3653,"Yes",1.74718705741486
"468","AIM/CGE 2.2","EN_NPi2020_600f",2030,1088.0184,-13.509,-4.24387999999999,39.4246000000001,126.5521,"Yes",1.52202401085344
"476","AIM/CGE 2.2","EN_NPi2020_700",2030,1064.7703,-19.93102,-4.86772000000001,37.45768,158.3653,"Yes",1.74718705741486
"479","AIM/CGE 2.2","EN_NPi2020_700",2045,-4049.3509,3.50028000000002,5.89593999999997,16.9486199999999,126.9634,"Yes",-2.2156255987791
"484","AIM/CGE 2.2","EN_NPi2020_700f",2030,1100.6316,-11.0199,-3.76089999999999,39.91432,112.4023,"Yes",1.41411487733175
"492","AIM/CGE 2.2","EN_NPi2020_800",2030,1071.5038,-17.7150000000001,-5.10700000000002,38.9571399999998,146.1539,"Yes",1.70892928779518
"496","AIM/CGE 2.2","EN_NPi2020_800",2050,-3683.2275,-6.19753999999994,16.29198,13.9345600000001,137.1779,"Yes",-1.93184071391858
"508","AIM/CGE 2.2","EN_NPi2020_900",2030,1088.0184,-13.509,-4.24387999999999,39.4246000000001,126.5521,"Yes",1.52202401085344
"522","GCAM 4.2","ADVANCE_2020_1.5C-2100",2020,-401.390996295667,-3.66091872940005,10.44697791022,4.35171187941987,89.327538,"Yes",-1.42949575609514
"524","GCAM 4.2","ADVANCE_2020_1.5C-2100",2030,3883.20490201967,-11.0266388907203,30.5428056287,8.02010027137967,138.699936,"Yes",1.69064787043821
"525","GCAM 4.2","ADVANCE_2020_1.5C-2100",2035,1963.860862359,-7.52680681816,19.70488450728,5.25903132872004,177.02019,"Yes",1.48968037783541
"528","GCAM 4.2","ADVANCE_2020_1.5C-2100",2050,-2538.97590072867,0.713144855259998,-5.35331543227999,-0.304528291420001,368.012052,"Yes",1.49610387499443
"530","GCAM 4.2","ADVANCE_2020_Med2C",2020,-401.390996295667,-3.66091872940005,10.44697791022,4.35171187941987,89.327538,"Yes",-1.42949575609514
"531","GCAM 4.2","ADVANCE_2020_Med2C",2025,-2600.97181447767,-1.31471224739998,0.456234167220009,1.82425177601999,34.569,"Yes",-2.01030577023899
"532","GCAM 4.2","ADVANCE_2020_Med2C",2030,-1135.19959826167,-2.72254593647995,7.59078390298,3.2451701375001,44.11998,"Yes",-0.835777713925136
"534","GCAM 4.2","ADVANCE_2020_Med2C",2040,1372.040389181,-4.75182726719995,12.56885172806,3.91063847386008,71.866674,"Yes",1.8353878391844
"538","GCAM 4.2","ADVANCE_2020_WB2C",2020,-401.391032962333,-3.66091872940005,10.44697789022,4.35171185941986,89.327538,"Yes",-1.42949578242287
"539","GCAM 4.2","ADVANCE_2020_WB2C",2025,-2666.46264469933,-2.31449194919996,-0.635938952399965,1.75931808320015,62.1,"Yes",-1.91258382775556
"541","GCAM 4.2","ADVANCE_2020_WB2C",2035,3131.913412012,-8.69424429813998,23.30103850228,6.36885144693997,101.154276,"Yes",2.03522287544315
"543","GCAM 4.2","ADVANCE_2020_WB2C",2045,-1001.80666040033,-1.99916899317996,3.77943494010001,1.69448734492012,164.76993,"Yes",1.25343665081329
"544","GCAM 4.2","ADVANCE_2020_WB2C",2050,-1716.94454814667,0.676470745659935,-4.03113877376004,-0.0113019781001182,210.292542,"Yes",1.78275017700671
"546","GCAM 4.2","ADVANCE_2030_1.5C-2100",2020,-401.390957979,-3.66091872940005,10.44697791222,4.35171188141985,89.327538,"Yes",-1.42949572742739
"547","GCAM 4.2","ADVANCE_2030_1.5C-2100",2025,-1226.54964082567,-3.66379106573995,7.81019231554183,3.39051548280186,95.248152,"Yes",-1.33805903574891
"552","GCAM 4.2","ADVANCE_2030_1.5C-2100",2050,-3174.81604205333,1.04443450848003,-7.15700910700002,-0.673440567719945,486.01116,"Yes",1.31522792387076
"554","GCAM 4.2","ADVANCE_2030_Med2C",2020,-401.391473519667,-3.66091933140005,10.44697830822,4.3517136954199,89.327538,"Yes",-1.42949610680502
"555","GCAM 4.2","ADVANCE_2030_Med2C",2025,-1226.60417192867,-3.66383079057996,7.810086828162,3.39051011278207,95.248152,"Yes",-1.33809136221837
"558","GCAM 4.2","ADVANCE_2030_Med2C",2040,1249.824383005,-4.55850068828004,12.0519127785,3.7859757208199,68.853996,"Yes",1.76987959154237
"559","GCAM 4.2","ADVANCE_2030_Med2C",2045,1327.60992152433,-4.43800226011999,11.26199115772,3.36998804120008,87.877296,"Yes",2.42867578428899
"562","GCAM 4.2","ADVANCE_2030_Price1.5C",2020,-401.391032962333,-3.66091872940005,10.44697789022,4.35171185941986,89.327538,"Yes",-1.42949578242287
"563","GCAM 4.2","ADVANCE_2030_Price1.5C",2025,-1226.549704908,-3.66379184173993,7.81019005152202,3.39051057678207,95.248152,"Yes",-1.33805895481953
"568","GCAM 4.2","ADVANCE_2030_Price1.5C",2050,-2623.325643191,0.731447960439982,-5.41756130489998,-0.318296054060056,368.012052,"Yes",1.43673814293843
"570","GCAM 4.2","ADVANCE_2030_WB2C",2020,-401.391473519667,-3.66091933140005,10.44697830822,4.3517136954199,89.327538,"Yes",-1.42949610680502
"571","GCAM 4.2","ADVANCE_2030_WB2C",2025,-1226.60417192867,-3.66383079057996,7.810086828162,3.39051011278207,95.248152,"Yes",-1.33809136221837
"573","GCAM 4.2","ADVANCE_2030_WB2C",2035,2435.85323577933,-8.81598468328002,19.656180049836,5.86122527315606,107.897922,"Yes",1.7841670106671
"575","GCAM 4.2","ADVANCE_2030_WB2C",2045,-1344.6695977,-1.46623342128005,2.24827905481998,1.38055914653996,175.754592,"Yes",1.10569754380982
"576","GCAM 4.2","ADVANCE_2030_WB2C",2050,-1789.725626491,0.699254526140248,-4.22830464211997,-0.0554004023797008,224.312238,"Yes",1.76253442090752
"578","GCAM 4.2","ADVANCE_NoPolicy",2020,-1583.75951284467,-2.01998260220007,6.86832404391998,3.3029513611199,0,"No",-2.24982747859084
"579","GCAM 4.2","ADVANCE_NoPolicy",2025,-1394.13745837667,-1.42044197999994,5.22583715106002,2.82177719386009,0,"No",-1.48761066294222
"582","GCAM 4.2","ADVANCE_NoPolicy",2040,147.167021096333,-1.72270129606004,5.53685414461997,2.47230077595996,0,"No",1.2184792823972
"583","GCAM 4.2","ADVANCE_NoPolicy",2045,12.3978358863333,-1.12309826886003,3.99105196972,2.01246439445999,0,"No",1.73019014636359
"584","GCAM 4.2","ADVANCE_NoPolicy",2050,-349.908252470333,-0.448187561819941,2.05789878430001,1.43904671988007,0,"No",2.09571480824839
"585","GCAM 5.2","NGFS1_Immediate 2C with CDR (Orderly, Rep)",2015,3260.792354,-8.88625620000002,11.4157352,-0.456579599999985,0,"No",-0.571788643525764
"587","GCAM 5.2","NGFS1_Immediate 2C with CDR (Orderly, Rep)",2025,1695.792281,-10.1087704000001,-9.99074759999999,-7.68000001230007e-05,96.564761154785,"Yes",1.03286153326354
"589","GCAM 5.2","NGFS1_Immediate 2C with CDR (Orderly, Rep)",2035,130.7922081,-11.2384486000001,13.13777,3.13999998973191e-05,157.2934717046,"Yes",-0.653001704997134
"590","GCAM 5.2","NGFS1_Immediate 2C with CDR (Orderly, Rep)",2040,-651.7078284,-10.8808133999999,13.5313354,-6.11999998918478e-05,200.7508453412,"Yes",-0.690897474819046
