"","Model","Scenario","Year","CO2_LUC","delta_Pasture","delta_Cropland","delta_Forest_net","Carbon_price","C_price_cat"
"4089","REMIND-MAgPIE 2.1-4.3","DeepElec_SSP2_Base",2040,5768.8405,-2.66662000000006,17.18922,8.19281999999994,0,"No"
"4090","REMIND-MAgPIE 2.1-4.3","DeepElec_SSP2_Base",2045,5729.114,0.0993800000000192,8.30555999999997,1.93546000000006,0,"No"
"4091","REMIND-MAgPIE 2.1-4.3","DeepElec_SSP2_Base",2050,5724.695,-0.419899999999961,11.59204,1.83364000000002,0,"No"
"4096","REMIND-MAgPIE 2.1-4.3","DeepElec_SSP2_Npi",2035,5929.803,0.179979999999978,14.6331,0.750140000000011,1.7451,"Yes"
"4097","REMIND-MAgPIE 2.1-4.3","DeepElec_SSP2_Npi",2040,6300.0348,-1.56953999999996,16.88078,7.34654,2.1497,"Yes"
"4098","REMIND-MAgPIE 2.1-4.3","DeepElec_SSP2_Npi",2045,6161.8376,0.261119999999937,9.89246000000003,2.20655999999999,2.6016,"Yes"
"4099","REMIND-MAgPIE 2.1-4.3","DeepElec_SSP2_Npi",2050,5830.633,0.341160000000036,12.17652,7.38797999999997,3.134,"Yes"
"4136","WITCH 5.0","CO_2Deg2030",2035,-1611.40355513924,-119.779942547374,-20.3741844749918,-82.5931166592094,203.544533404725,"Yes"
"4176","WITCH 5.0","EN_INDCi2030_1000",2035,-1484.36491066771,-93.955566690065,-11.8009438338332,-56.0117727845037,107.680005034659,"Yes"
"4432","WITCH 5.0","EN_INDCi2030_500f",2035,-1608.41266467333,-118.429359020743,-20.2521809521618,-83.6535641027851,238.729522751411,"Yes"
"4440","WITCH 5.0","EN_INDCi2030_600f",2035,-1606.36572325386,-113.739815138015,-19.303623934873,-79.867553553319,181.221275839486,"Yes"
"4456","WITCH 5.0","EN_INDCi2030_700f",2035,-1583.96079428901,-105.119358716275,-15.855363650063,-69.3988416448908,145.517727298768,"Yes"
"4472","WITCH 5.0","EN_INDCi2030_800",2035,-1614.48692021678,-118.268510259075,-21.0989117398968,-85.3674096403235,207.098837111019,"Yes"
"4480","WITCH 5.0","EN_INDCi2030_800_NDCp",2035,-1610.131602524,-80.2411865396321,-17.8482744790632,-67.3515326354872,190.258803338624,"Yes"
"4488","WITCH 5.0","EN_INDCi2030_800f",2035,-1504.02646229284,-98.9002536006692,-13.2282975901004,-61.6054880182466,119.56833412209,"Yes"
"4504","WITCH 5.0","EN_INDCi2030_900",2035,-1581.26257975361,-103.798731911221,-15.2984466898214,-67.7372516977133,140.000278687063,"Yes"
"4686","WITCH 5.0","EN_NPi2020_450",2025,-358.754513746631,-91.0947779966394,-15.2395271558708,-70.0748985889988,287.216040861595,"Yes"
"4702","WITCH 5.0","EN_NPi2020_500",2025,-344.679555501252,-90.5488853089194,-18.8552585120798,-77.3321950805698,199.608031228844,"Yes"
"4784","WITCH-GLOBIOM 4.4","CD-LINKS_INDC2030i_1600",2035,-1526.56500304903,-85.664132527436,-18.5142672961018,-53.545046746984,91.099110074207,"Yes"
"4800","WITCH-GLOBIOM 4.4","CD-LINKS_NDC2030i_1000",2035,-1707.45161769048,-126.755004276804,-29.6387369308042,-99.4179012100903,223.884695337335,"Yes"
"4809","WITCH-GLOBIOM 4.4","CD-LINKS_NPi",2040,2291.95467932403,4.32662476834994,2.8808418270464,5.53975756152238,1.444252414,"Yes"
"4810","WITCH-GLOBIOM 4.4","CD-LINKS_NPi",2045,2111.29688169399,4.12944340541399,2.440992547266,5.76985236285802,1.372872305,"Yes"
"4811","WITCH-GLOBIOM 4.4","CD-LINKS_NPi",2050,1895.23088856918,4.12723324386407,2.4601337138798,5.76697180961182,1.251129059,"Yes"
"4830","WITCH-GLOBIOM 4.4","CD-LINKS_NPi2020_400",2025,-348.476019634777,-96.852104727062,-21.7422376177206,-90.3852015233027,273.1456423,"Yes"
